ID,問題,難易度,解答,別答,意味,同音異義語用
I0335,【カンシャク】持ちの事破り,◆２,癇癪,,"👉かんしゃくもちのことやぶり。
感情を抑えきれず、すぐに怒り出す癇癪持ちは、物事をぶち壊してしまいやすいということ。〈新明解故事ことわざ辞典〉
＊『諺語大辞典』",カンシャク
I0336,【カンテン】の慈雨,◆２,干天,旱天,"👉かんてんのじう。
ひでり続きのときに雨が降るように、困り果てたときに救われるたとえ。また、待望していたことが実現するたとえ。〈漢字ペディア〉
＊『遅過ぎた日記〈長与善郎〉マニラの停戦協定に思ふ･八月二三日』",カンテン
I0337,千日の【カンバツ】に一日の洪水,◆２,旱魃,干魃,"👉せんにちのかんばつにいちにちのこうずい。
千日続くひでりと、一日ですべてを押し流す洪水とは、同程度の被害をもたらすということ。瞬時に災害をもたらす洪水の恐ろしさをいう。〈漢字ペディア〉
●〈平成20年度･第2回出題,大問㈨,小問10〉
＊『諺語大辞典』",カンバツ
I0338,【キキ】の跼躅するは駑馬の安歩に如かず,◆２,騏驥,,"👉ききのきょくちょくするはどばのあんぽにしかず。
どんなにすぐれた人間でも怠けていれば、平凡だが努力し続ける人間にはかなわないというたとえ。〈新明解故事ことわざ辞典〉
★「騏驥」は、一日に千里を走るという名馬。
★「跼躅」は、ぐずぐずして進まないこと。
★「駑馬」は、足ののろい馬。
★「安歩」は、静かにゆっくりと歩くこと。
★すぐれて足の速い馬でも、ぐずぐずしていれば、ゆっくりと歩き続ける駄馬に及ばないという意から。
＊『史記-淮陰侯伝』",キキ
I0339,傷持つ足は【ササラ】,◆２,簓,,"👉きずもつあしはささら。
身のうしろ暗さから、簓の音にも臆すること。〈故事俗信ことわざ大辞典〉
★「簓」は、竹の先を細く割った楽器。
＊『人情本･湊の月-後･七回』",ササラ
I0340,【シャクシ】は耳搔きにならず,◆２,杓子,,"👉しゃくしはみみかきにならず。
大きいものは形が似ていても、小さいもののかわりになるとは限らないたとえ。〈漢字ペディア〉
＊『国民の品位』",シャクシ
I0341,【キビ】に付す,◆２,驥尾,,"👉きびにふす。
すぐれた人にしたがって物事を成しとげること。また、愚者も賢者にしたがっていれば思いのほか志をとげることができるたとえ。多く、自分の行動をへりくだっていう言葉。〈漢字ペディア〉
★「驥」は、一日に千里を走るという名馬。
★自分自身の力では遠くへ飛べない青ばえも、名馬の尾について行けば、一日に千里も行くことができる意。
＊『史記-伯夷伝』",キビ
I0342,朽索の六馬を【ギョ】するが如し,◆２,馭,御,"👉きゅうさくのりくばをぎょするがごとし。
困難で危険なことのたとえ。〈漢字ペディア〉
★「朽索」は、くさった綱。
★「六馬」は、天子の馬車を引く六馬の馬。
★くさった綱で六頭の馬をあやつるようだという意から。
＊『書経-五子之歌』",ギョ
I0343,【キョウド】の末魯縞に入る能わず,◆２,強弩,,"👉きょうどのすえろこうにいるあたわず。
初めは強いものでも衰えては力がなくなり、何事もできなくなることのたとえ。英雄や強国の末路にいう。〈故事俗信ことわざ大辞典〉
★「強弩」は、引き金仕掛けの強い石弓。
★「魯縞」は、魯の国で生産される薄手の絹。
★強い弓から放たれた矢も、ついには力が弱って、魯国に産する薄い絹をつらぬくこともできないほどになる意。
＊『漢書-韓安国伝』",キョウド
I0344,金の卵も生む【ガチョウ】を殺すな,◆２,鵝鳥,鵞鳥,"👉きんのたまごもうむがちょうをころすな。
目先の利益のために、大局的な見通しを失ってはならないという戒め。〈新明解故事ことわざ辞典〉
★毎日一個ずつ金の卵を生む鵞鳥を持っていた強欲者が、腹の中にはさぞ多くの金があるだろうと思い、腹を割いたが、何も出てこなかった上に鵞鳥を殺してしまったというイソップ寓話の「金の卵を生む鵞鳥」に由来する。
＊『イソップ寓話』",ガチョウ
I0345,空谷の【キョウオン】,◆２,跫音,,"👉くうこくのきょうおん。
思いがけない喜びのたとえ。また、非常に珍しいことのたとえ。懐かしい人が訪ねて来たり、うれしい便りが届いたりすると。孤立しているときに賛同者を得た場合にも用いる。〈新明解故事ことわざ辞典〉
★「空谷」は、人のいないさびしい谷。
★「跫音」は、足音。
★人気のない寂しい谷に聞こえる人の足音という意から。
＊『荘子-徐無鬼』",キョウオン
I0346,草、【レイゴ】に満つ,◆２,囹圄,,"👉くさ、れいごにみつ。
政治がよく行われていて、犯罪がないことのたとえ。〈新明解故事ことわざ辞典〉
★「囹圄」は、牢獄。
★牢獄に罪人がいないために、中に雑草が生い茂るという意から。
＊『隋書-循吏伝･劉曠』",レイゴ
I0347,鯨に【シャチホコ】,◆２,鯱,,"👉くじらにしゃちほこ。
どこまでもつきまとって、害を与えることのたとえ。また、邪魔にされてもどこまでもついていくことのたとえ。〈新明解故事ことわざ辞典〉
＊『浄瑠璃･蘆屋道満大内鑑-三』",シャチホコ
I0348,【クシ】の歯を挽く,◆２,櫛,,"👉くしのはをひく。
同じような物事が次から次へと絶え間なく行われること。また、人の往来などが絶えないこと。〈新明解故事ことわざ辞典〉
★「挽く」は、のこぎりでひいて作る。
★櫛の歯を作るとき、次々に挽くように削っていくことから。
＊『太平記-一〇･新田義貞謀叛事』",クシ
I0349,紅は【ソノウ】に植えても隠れなし,◆２,園生,,"👉くれないはそのうにうえてもかくれなし。
すぐれた人物はどこにいてもひときわ目立つことのたとえ。〈漢字ペディア〉
★あざやかな赤色のベニバナは他の草にまぎれていても目立つことから。
＊『義経記-二･鏡の宿吉次宿に強盗の入る事』",ソノウ
I0350,群蟻【セイセン】に付く,◆２,腥羶,,"👉ぐんぎせいせんにつく。
人々が私利私欲のために利益のあるところに群がり集まることのたとえ。〈新明解故事ことわざ辞典〉
★「群蟻」は、群がった蟻。
★「腥羶」は、なまぐさいもの。羊の肉。
★たくさんの蟻が羊の肉に集まることから。
●〈平成29年度･第2回出題,大問㈧,小問７〉
＊『盧坦-与李渤書』",セイセン
I0351,白頭新の如く、【ケイガイ】故の如し,◆２,傾蓋,傾葢,"👉はくとうしんのごとく、けいがいこのごとし。
交友の深さは付き合った年月の長さによらず、互いの心を知る深さによるたとえ。〈漢字ペディア〉
★「傾蓋」は、車の蓋(ｶｻ)を傾けて親しく話し合う意。
★ともに白髪になるまで長い間付き合っても、新しい友人のように心が通わないこともあるが、ちょっと車を止めて車の蓋(ｶｻ)を傾けて話しただけでも、意気投合して昔からの親友のようになれる意から。
＊『鄒陽-獄中上書自明』",ケイガイ
I0352,【ケイギョク】の艱,◆２,桂玉,,"👉けいぎょくのかん。
よそから物価の高いところに来て生活に苦しむこと。〈漢字ペディア〉
★「桂」は、香木。
★「玉」は、宝玉。
★「艱」は、悩む、苦しむ意。
★中国戦国時代の遊説家蘇秦(ｿｼﾝ)が、楚の威王に会うために楚を訪れたが、王に面会するのに三か月も待たされ、その間、宝玉よりも高い食べ物、香木よりも高い薪(ﾀｷｷﾞ)の値段に悩まされたという故事から。
＊『戦国策-楚策』",ケイギョク
I0353,【ケイキョク】の道,◆２,荊棘,荆棘,"👉けいきょくのみち。
苦難に満ちた人生行路のたとえ。〈新明解故事ことわざ辞典〉
★「荊棘」は、イバラ、バラなど、とげのある低木。
＊不明",ケイキョク
I0354,桂林の一枝、【コンザン】の片玉,◆２,崑山,,"👉けいりんのいっし、こんざんのへんぎょく。
少しばかりの出世のたとえ。出世したことを謙遜していう語。また、科挙(ｶｷｮ:官吏の登用試験)に合格したことを謙遜していうことば。転じて、容易に得がたい人物や物事。また、高潔で世俗を抜け出ている人物のたとえ。〈新明解故事ことわざ辞典〉
★「桂林」は、桂の木犀(ﾓｸｾｲ)など香りのよい木の総称。芳香樹の林。
★「崑山」は、中国の想像上の山で崑崙山(ｺﾝﾛﾝｻﾞﾝ)。宝玉の産地とされる。
＊『晉書-郤詵伝』",コンザン
I0355,【ケ】にも晴れにも歌一首,◆２,褻,,"👉けにもはれにもうたいっしゅ。
一つ覚えで無芸であること。ばかの一つ覚え。〈漢字ペディア〉
★「褻」は、常日ごろ。ふだん。平生。
★ふだんでも晴れの席の時でも同じ歌一首しかよめない意。
＊『虎寛本狂言･舟ふな』",ケ
I0356,【ケンガ】の弁,◆２,懸河,,"👉けんがのべん。
よどみない弁舌。勢いがよくすらすらと流れるような話しぶり。〈漢字ペディア〉
★「懸河」は、傾斜が急で激しく流れる川。急流。
＊『三教指帰･上』",ケンガ
I0357,【ケント】の争い,◆２,犬兎,"犬兔
犬兔","👉けんとのあらそい。
無益な争い、また無益な争いをして第三者に利益をもっていかれるたとえ。〈漢字ペディア〉
★イヌがウサギを追い、ともに走り疲れて死んだのを農夫が拾った故事から。
＊『戦国策-斉策･宣玉』",ケント
I0358,凱風南よりして彼の【キョクシン】を吹く,◆２,棘心,,"👉がいふうみなみよりしてかのきょくしんをふく。
母親が愛情をもって子供を暖かく見守り育てることのたとえ。〈新明解故事ことわざ辞典〉
★「凱風」は、万物を成長発育させる暖かい南風で、母の慈愛を表す。
★「棘心」は、とげのあるいばらの木の芽生えで、手のかかる子を表す。
★暖かい南風が吹いて、いばらの若い芽を育てる意から。
●〈平成20年度･第1回出題,大問㈨,小問７〉
＊『詩経-邶風･凱風』",キョクシン
I0359,【コウケツ】を絞る,◆２,膏血,,"👉こうけつをしぼる。
人民に重い税金を課し、厳しく取り立てること。また心血を注ぐこと。〈新明解故事ことわざ辞典〉
★「膏血」は、肉のあぶらと血の意から、苦労して得た利益や財産のこと。
★人民が苦労して得た利益や財産をしぼり取る意から。
＊『日本外史-二二･徳川氏正記』",コウケツ
I0360,好言は口よりし、【ユウゲン】も口よりす,◆２,莠言,,"👉こうげんはくちよりし、ゆうげんもくちよりす。
よい言葉は口から出るが、悪いことばもまた、口から出るということ。〈新明解故事ことわざ辞典〉
★「好言」は、よいことば。
★「莠言」は、人を惑わす有害な言葉。「莠」は水田に生える有害な雑草。
＊『詩経-小雅･正月』",ユウゲン
I0361,合抱の木も【ゴウマツ】に生ず,◆２,毫末,,"👉ごうほうのきもごうまつにしょうず。
どんなに強く大きいものでも、はじめは弱く小さいものだということ。〈新明解故事ことわざ辞典〉
★「合抱」は、両手を広げて抱えるほどの大きさ。
★「毫末」は、毛の先。きわめて小さいもの。
★一抱えもある大木も、最初は小さい芽生えから大きくなったものだという意から。
＊『老子-六四』",ゴウマツ
I0362,【ゴウリ】の差は千里の謬り,◆２,毫釐,,"👉ごうりのさはせんりのあやまり。
ごく小さな原因が、きわめて大きな結果をもたらすことのたとえ。〈新明解故事ことわざ辞典〉
★「毫釐」は、わずか。少しの意。
★初めはわずかな違いが、やがては途方もない違いになるということ。
＊『礼記-経解』",ゴウリ
I0363,鉤を窃む者は【チュウ】せられ、国を窃む者は諸侯となる,◆２,誅,,"👉こうをぬすむものはちゅうせられ、くにをぬすむものはしょこうとなる。
道理に合わないことのたとえ。〈新明解故事ことわざ辞典〉
★「鉤」は、帯留め。
★「諸侯」は、封建時代の領主。
★小さな物を盗むこそ泥は死刑に処せられ、国を奪う大泥棒は領主と為ることから。
＊『荘子-胠篋』",チュウ
I0364,【コキュウ】にして羔袖す,◆２,狐裘,,"👉こきゅうにしてこうしゅうす。
全体としては良いのに、一個所だけ欠点があることのたとえ。また、部分的に悪いところはあるが、全体から見れば立派であるということ。〈故事俗信ことわざ大辞典〉
★「狐裘」は、狐の腋の下の白い毛皮で作った立派なかわごろも。
★「羔袖」は、小羊の皮で作った粗末な袖。
★高価な狐のかわごろもに小羊の皮の袖をつける意から。
＊『春秋左伝-襄公一四年』",コキュウ
I0365,琥珀は【フカイ】を取らず,◆２,腐芥,,"👉こはくはふかいをとらず。
どのような時にも身の潔白を保ち、信念を曲げないことのたとえ。〈新明解故事ことわざ辞典〉
★「琥珀」は、地質時代の樹脂類が地中に埋没して化石となった物。美玉。宝石。静電気を起こしやすく、物を吸いつける。
★「腐芥」は、腐ったごみ。
★琥珀は塵を吸いつける性質があるが、けがれたごみまでは吸いつけないという意から。
＊『管蠡抄-一〇』",フカイ
I0366,【コムソウ】に尺八,◆２,虚無僧,,"👉こむそうにしゃくはち。
必ずついている物、あるべき物のたとえ。〈新明解故事ことわざ辞典〉
★「虚無僧」は、有髪の托鉢僧。深編み笠をかぶり、首に袈裟をかけ、尺八を吹いて諸国を回り修行した。
類：坊主に袈裟
＊『諺語大辞典』",コムソウ
I0367,財宝は地獄の【イエヅト】,◆２,家苞,,"👉ざいほうはじごくのいえづと。
この世で蓄えた金や宝は、罪の報いで地獄へ行くときの土産となるにすぎないということ。また、金や宝を持てば、死ぬ時もそれに心が残って、往生のさまたげになるということ。〈新明解故事ことわざ辞典〉
★「家苞」は、我が家に持ち帰る土産物。
＊『浄瑠璃･蝉丸-五』",イエヅト
I0368,【ロ】三年に棹八年,◆２,櫓,艪,"👉ろさんねんにさおはちねん。
何事も一人前になるにはそれなりの修業が必要だということ。〈漢字ペディア〉
★櫓を使って舟をあやつれるようになるには三年かかり、棹は八年かかる。櫓よりも棹を使いこなすほうが難しいことから。
＊『天理本諺苑』",ロ
I0369,桜三月、【ショウブ】は五月,◆２,菖蒲,,"👉さくらさんがつ、しょうぶはごがつ。
時季の花を言った言葉。桜の見ごろは三月で、菖蒲の見ごろは五月であるということ。〈新明解故事ことわざ辞典〉
＊『諺語大辞典』",ショウブ
I0370,雑魚も【ウオヒレ】,◆２,魚鰭,,"👉ざこもうおひれ。
大小の違いはあっても、持つべきものを持っていることのたとえ。〈新明解故事ことわざ辞典〉
★小魚でもヒレを持っている意から。
＊『俳諧･世話尽-曳言之話』",ウオヒレ
I0371,【サヤバシ】りより口走り,◆２,鞘走,,"👉さやばしりよりくちばしり。
失言への戒め。〈漢字ペディア〉
★刀が鞘から抜け出るよりも、口から失言が出るほうが危険であるということ。
＊『諺苑』",サヤバシ
I0372,【シシ】に鞭打つ,◆２,死屍,,"👉ししにむちうつ。
亡くなった人の言動に対して非難や攻撃を加えること。〈漢字ペディア〉
＊『史記-伍子胥伝』",シシ
I0373,蜆千より【ホラ】貝一つ,◆２,法螺,,"👉しじみせんよりほらがいひとつ。
役に立たないものがたくさんあるより、役に立つものが一つある方がよいということ。〈新明解故事ことわざ辞典〉
★蜆の殻を多く集めてみても、法螺貝のように音は出ないということから。
＊『譬喩尽-七』",ホラ
I0374,風に草【ナビ】く,◆２,靡,,"👉かぜにくさなびく。
人民が権力者の言うがままになる、また、小人が有徳者に服することなどのたとえ。〈故事俗信ことわざ大辞典〉
★風の吹くままに、草がなびき従う意。
＊『論語-顔淵』",ナビ
I0375,疾風に【ケイソウ】を知る,◆２,勁草,,"👉しっぷうにけいそうをしる。
困難や試練に遭遇してはじめて、その人の意志や節操の堅固さが分かるというたとえ。〈新明解故事ことわざ辞典〉
★「疾風」は、はやく激しく吹く風。はやて。
★「勁草」は、強い草。節操の固い人のたとえ。
★強い風が吹いてはじめて、風にも負けぬ強い草を見分けることができる意から。
＊『後漢書-王覇伝』",ケイソウ
I0376,【ジャ】あれば香し,◆２,麝,,"👉じゃあればかんばし。
才能や徳のある者は、自然に世に認められるというたとえ。〈新明解故事ことわざ辞典〉
★「麝」は、麝香。ジャコウジカの雄の下腹部の腺(ｾﾝ)を乾燥して作る香料。
★麝香のあるところには、自然に高い香気が漂っているという意から。
＊『金剛川老註-上』",ジャ
I0377,【ジャクソウ】風の起こる所を知る,◆２,鵲巣,,"👉じゃくそうかぜのおこるところをしる。
動物の行動を見て色々なことを予知･予測することができるということ。〈新明解故事ことわざ辞典〉
★「鵲」は、かささぎ。
★かささぎは、その年の風の状態を予知して巣を作ることから。
＊『淮南子-繆称訓』",ジャクソウ
I0378,一簞の食、【イッピョウ】の飲,◆２,一瓢,,"👉いったんのし、いっぴょうのいん。
きわめて貧しい食事のこと。また、清貧に甘んずること。〈新明解故事ことわざ辞典〉
★「簞」は、わりご。竹製の食器。
★「瓢」は、ひさご。酒や水を入れる器。
★わりご一杯の飯と、ひさご一杯の飲み物という意から。
＊『論語-雍也』",イッピョウ
I0379,【ジャコウ】は臍故命をとらるる,◆２,麝香,,"👉じゃこうはへそゆえいのちをとらるる。
長所がかえって災難を招くもとになるというたとえ。〈新明解故事ことわざ辞典〉
★ジャコウジカは下腹部に良い香りの香料を製する腺を持っているために、人に狙われて殺されるという意から。
＊『諺苑』",ジャコウ
I0380,【シャミ】から長老にはなれぬ,◆２,沙弥,,"👉しゃみからちょうろうにはなれぬ。
物事には順序や段階があり、それを順に踏んでいかなければ上位に上がれないということ。〈漢字ペディア〉
★「沙弥」は、仏門に入ったばかりの未熟な僧。
★「長老」は、学徳のすぐれた高僧の意。禅宗では、住職の称に用いる。
＊『俳諧･世話尽-曳言之話』",シャミ
I0381,【シュウト】の物で相婿もてなす,◆２,舅,,"👉しゅうとのものであいむこもてなす。
他人の持ち物でちゃっかりと人に自分の義理を果たすこと。自分のふところを痛めずに、他人に振る舞うこと。〈漢字ペディア〉
★「相婿」は、姉妹の夫どうしの呼び名。
★配偶者の父に招待された婿同士が、そこに出された料理や酒を勧め合って義理を果たすという意から。
類：人の褌で相撲をとる
＊『浄瑠璃･文武五人男-名所尽し』",シュウト
I0382,【シュウトメ】の十七見た者ない,◆２,姑,,"👉しゅうとめのじゅうしちみたみたものない。
真偽がはっきりしない、あてにならない話であるということ。〈漢字ペディア〉
★若いころの自慢話をする姑の、当時の姿を見た者はいないことから。
＊『諺語大辞典』",シュウトメ
I0383,重箱に【ニシ】め,◆２,煮染,,"👉じゅうばこににしめ。
外見は立派なのに中身が粗末なこと。また、内容と外見が一致しないことのたとえ。〈新明解故事ことわざ辞典〉
★「煮染め」は、肉や野菜などをよく煮て、しっかり味をしみこませた料理。
★立派な重箱の中に醬油で煮染めた粗末な料理が入っていることから。
＊『日本俚諺大全』",ニシ
I0384,重箱の隅を【ヨウジ】でほじくる,◆２,楊枝,楊子,"👉じゅうばこのすみをようじでほじくる。
取るに足りないささいなことまで取り上げて、詮索(ｾﾝｻｸ)したり口出ししたりするたとえ。〈漢字ペディア〉
★重箱の隅に残った物を楊枝でほじくり出すようにして食べるということから。
＊『日本俚諺大全』",ヨウジ
I0385,【シュウビ】を開く,◆２,愁眉,,"👉しゅうびをひらく。
心配がなくなり、ほっと安心する。〈漢字ペディア〉
★「愁眉」は、うれいを含んだ眉。
＊『菅家文草-二･賀和平』",シュウビ
I0386,【シュツラン】の誉れ,◆２,出藍,,"👉しゅつらんのほまれ。
弟子が師よりもまさるようになることのたとえ。〈新明解故事ことわざ辞典〉
＊『中州集』",シュツラン
I0387,【ショウジョウ】は血を惜しむ、犀は角を惜しむ,◆２,猩猩,,"👉しょうじょうはちをおしむ。さいはつのをおしむ。
どんな者にも、守り通すべき大切なものがあるというたとえ。〈新明解故事ことわざ辞典〉
★「猩猩」は、中国古代の伝説上の動物で猿の一種とされる。その血をとって染色に用いるといわれた。
★「犀」は、実在の犀で、角は漢方薬の解熱剤に使われる。
＊『義経記-四･土佐坊義経の討手に上る事』",ショウジョウ
I0388,猩猩能く言えども【キンジュウ】を離れず,◆２,禽獣,,"👉しょうじょうよくいえどもきんじゅうをはなれず。
鳥や獣と人間との違いは礼儀を知っているかどうかであり、礼儀を知らない人間は、どんなにうまく話ができても鳥や獣と同じだというたとえ。〈新明解故事ことわざ辞典〉
★「猩猩」は、古代中国の想像上の怪獣で、人に似て酒を好み、人語を理解するという。
★「禽獣」は、鳥や獣。
★猩猩は人間の言葉を上手に話すといっても、結局は獣に過ぎないという意から。
＊『礼記-曲礼･上』",キンジュウ
I0389,【ショキュウ】の交わり,◆２,杵臼,,"👉しょきゅうのまじわり。
貧富や貴賤を問題にしない交友。主従の関係を越えた交友のこと。〈新明解故事ことわざ辞典〉
★「杵臼」は、きねとうす。もち米をつくのに用いる。
＊『後漢書-呉祐伝』",ショキュウ
I0390,【シラ】げの中の籾,◆２,精,,"👉しらげのなかのもみ。
よりすぐった中に悪いものが混じっていることのたとえ。〈新明解故事ことわざ辞典〉
★「精げ」は、精米した米。
★「籾」は、脱穀する前の外皮に包まれたままの米。
★精白した米の中に混じったもみごめの意から。
＊『世話類聚』",シラ
I0391,尻切れ【トンボ】,◆２,蜻蛉,蜻蜓,"👉しりきれとんぼ。
物事が中途で切れて、完結しないこと。また、何をやっても長続きしない人に対する皮肉の言葉。〈新明解故事ことわざ辞典〉
＊『俚言集覧』",トンボ
I0392,【シワ】ん坊と灰吹きは溜まるほど汚い,◆２,吝,,"👉しわんぼうとはいふきはたまるほどきたない。
けちんぼうは、金がたまればたまるほどいよいよ意地汚くなる。〈故事俗信ことわざ大辞典〉
★「吝ん坊」は、けちん坊。
★「灰吹き」は、タバコの吸い殻入れの筒。
＊『諺語大辞典』",シワ
I0393,【シワ】ん坊の柿の種,◆２,吝,,"👉しわんぼうのかきのたね。
極端なけちん坊をののしった言葉。〈新明解故事ことわざ辞典〉
★「吝ん坊」は、けちん坊。
★けちな人は、役に立たない柿の種さえも捨てない意から。
＊『浮世草子･世間長者形気-五･一』",シワ
I0394,沈香も焚かず屁も【ヒ】らず,◆２,放,,"👉じんこうもたかずへもひらず。
目立った長所も欠点もない、役にも立たないが害にもならない。可もなく不可もなく平凡であることのたとえ。〈新明解故事ことわざ辞典〉
★沈香のようなよい香りもないが、おならのような悪臭もないということから。
＊『尾張俗諺-京師通諺』",ヒ
I0395,人中の【キキ】,◆２,騏驥,,"👉じんちゅうのきき。
人々の中にあって、ずばぬけてすぐれた人のたとえ。〈新明解故事ことわざ辞典〉
★「騏驥」は、一日に千里走るという駿馬。
＊『南史-徐勉伝』",キキ
I0396,【ジンチョウゲ】は枯れても芳し,◆２,沈丁花,瑞香,"👉じんちょうげはかれてもかんばし。
すぐれているものは、最後まで本質的な価値を失わないこと。〈新明解故事ことわざ辞典〉
★ジンチョウゲは枯れても、よい香りを漂わせることから。
＊『諺語大辞典』",ジンチョウゲ
I0397,頭巾と見せて【ホオカム】り,◆２,頰冠,"頬冠
頰被
頬被","👉ずきんとみせてほおかむり。
見かけの体裁はととのえていても、内情は苦しいことのたとえ。〈新明解故事ことわざ辞典〉
★頭巾をかぶっているつもりでも、実際は顔を隠す頰冠りにしか見えないという意から。
＊『諺苑』",ホオカム
I0398,【セイア】の見,◆２,井蛙,,"👉せいあのけん。
狭い見識のたとえ。〈新明解故事ことわざ辞典〉
★「井蛙」は、井戸の中にすむ蛙。転じて、世間知らず、見識の狭い人の意。
★井戸の中に居る蛙は外の広い世界を知らず、狭い物の見方しかできない意から。
＊『読本･椿説弓張月-拾遺･四八回』",セイア
I0399,【セイコク】を失わず,◆２,正鵠,,"👉せいこくをうしなわず。
的の中心をはずさないこと。物事の要点や急所を正確にとらえること。〈新明解故事ことわざ辞典〉
★「正鵠」は、弓の的の中央に在る黒い点。転じて、急所、狙いどころの意。
＊『礼記-射義』",セイコク
I0400,【イバク】修まらず,◆２,帷幕,,"👉いばくおさまらず。
男女の関係、風紀が乱れていること。帷薄(ｲﾊｸ)修まらず。〈故事俗信ことわざ大辞典〉
★「帷幕」は、婦人の居室。
＊『孔子家語-五刑解』",イバク
I0401,精を得て【ソ】を忘る,◆２,麤,麁,"👉せいをえてそをわする。
物事の真髄をつかんで、本質的ではないことは忘れてしまうこと。本質だけをとらえ、外形などにとらわれないことのたとえ。〈新明解故事ことわざ辞典〉
★「麤」は、粗と同じで、粗末なもの。
★一番すぐれた点をつかまえて、できの悪さは心にかけない意から。
＊『列子-説符』",ソ
I0402,【セッチン】の錠前,◆２,雪隠,,"👉せっちんのじょうまえ。
咳ばらいをすること。〈新明解故事ことわざ辞典〉
★「雪隠」は、便所。
★昔、便所の中では咳ばらいをして、あとから来た人に使用中であることを知らせたことから。
＊『諺語大辞典』",セッチン
I0403,泉石【エンカ】の病,◆２,煙霞,烟霞,"👉せんせきえんかのやまい。
自然を愛し、その中で暮らすことに取りつかれ、それを病気のかかったようだと表現したもの。〈新明解故事ことわざ辞典〉
★「泉石」は、泉水と庭石。
★「煙霞･烟霞」は、もやとかすみ。また、もややかすみでぼんやりかすんで見える風景。
＊『唐書-隠逸伝･田遊巖』",エンカ
I0404,戦戦【リツリツ】日に一日を慎め,◆２,慄慄,,"👉せんせんりつりつひにいちじつをつつしめ。
おごりたかぶらず、注意深く反省しながら毎日を慎み深く送れということ。〈新明解故事ことわざ辞典〉
★「戦戦」は、おそれてびくびくするさま。
★「慄慄」は、ふるえおそれるさま。
＊『淮南子-人間訓』",リツリツ
I0405,仙人の千年、【カゲロウ】の一時,◆２,蜉蝣,蜻蛉,"👉せんにんのせんねん、かげろうのいっとき。
長短の差はあるが、どちらも一生であるということ。また、同じ一生でも、長短の差が大きいことのたとえ。〈新明解故事ことわざ辞典〉
★「蜉蝣･蜻蛉」は、カゲロウ目の昆虫の総称。成虫は寿命が数時間から数日と短いため、はかないもののたとえにされる。
＊『俚言集覧』",カゲロウ
I0406,【ソウイ】未だ瘳（い）えず,◆２,創痍,,"👉そういいまだいえず。
戦争による傷手(ｲﾀﾃﾞ)から十分に立ち直っていないこと。〈新明解故事ことわざ辞典〉
★「創痍」は、刀で受けたきず。
★戦場で受けた傷あとがまだ治っていない意から。
＊『史記-季布伝』",ソウイ
I0407,【ソウモウ】の臣,◆２,草莽,,"👉そうもうのしん。
官職に就かない民間人。〈漢検四字熟語辞典〉
★「草莽」は、草むら･田舎。転じて在野･民間をいう。
＊『孟子-万章･下』",ソウモウ
I0408,【ソウリン】実ちて礼節を知る,◆２,倉廩,,"👉そうりんみちてれいせつをしる。
人は生活が安定し、ゆとりができてはじめて礼儀や節度をわきまえるようになる。〈漢字ペディア〉
＊『史記-貨殖伝』",ソウリン
I0409,駕籠【カ】き駕籠に乗らず,◆２,舁,,"👉かごかきかごにのらず。
仕事でいつも扱っていても、自分のためには使わないことのたとえ。他人のために尽くすばかりで、自分のことには手が回らないこと。紺屋の白袴。槍持ち槍を使わず。髪結い髪結わず。〈故事俗信ことわざ大辞典〉
＊『俚言集覧』",カ
I0410,泰山の【アマダレ】は石を穿つ,◆２,霤,,"👉たいざんのあまだれはいしをうがつ。
わずかな力でも、長い間積み重ねれば大きな結果をもたらす。微力を積みあげて大事をなしとげるたとえ。〈故事俗信ことわざ大辞典〉
★泰山からしたたり落ちる水滴が、やがては石に穴をあける意。
＊『枚乗-諫呉王書』",アマダレ
I0411,鯛なくば【エソ】,◆２,狗母魚,鱛,"👉たいなくばえそ。
よいものがなければ、それに代わるもので我慢するよりほかないというたとえ。〈新明解故事ことわざ辞典〉
★「狗母魚･鱛」は、上等なかまぼこの材料になる魚。
★かまぼこを作るのに、鯛がなければ、それより劣っていてもエソを使わざるを得ないということから。
＊『譬喩尽-八』",エソ
I0412,雨後の【タケノコ】,◆２,筍,笋,"👉うごのたけのこ。
同じような物事が、次から次へ続いて起こることのたとえ。〈漢字ペディア〉
★雨が降ったあとは、たけのこが次々に生えてくることから。
＊『面白半分〈宮武外骨〉衆議院議員総選挙夢想彙報』",タケノコ
I0413,蛸に骨なし【クラゲ】に目なし,◆２,海月,水母,"👉たこにほねなしくらげにめなし。
わかりきったことのたとえ。〈新明解故事ことわざ辞典〉
★蛸に骨がなく、くらげに目がないのは、誰でも知っている当たり前の事であることから。
＊『諺語大辞典』",クラゲ
I0414,【アダ】な素足も貧から起こる,◆２,婀娜,,"👉あだなすあしもひんからおこる。
色っぽい素足を見せるのも、足をおおい隠す足袋が買えないほど貧乏だからである。〈故事俗信ことわざ大辞典〉
★「婀娜」は、色っぽい様子、なまめかしいさま。
＊『いろは短句』",アダ
I0415,【タドン】に目鼻,◆２,炭団,,"👉たどんにめはな。
色黒で目鼻だちがはっきりしない。醜い顔のたとえ。〈新明解故事ことわざ辞典〉
★「炭団」は、炭の粉を丸く固めた燃料。
＊『合巻･教草女房形気-三･五段』",タドン
