ID,問題,指定,語群,難易度,解答,問題熟語の意味,解答熟語の意味
H0264,【祝儀】,≒,"ふじゅ
ふくさ
てんとう",◆１,"纏頭
纒頭","▼【祝儀】シュウギ
1.祝いの儀式。祝賀式･結婚式など。⇔不祝儀
2.祝いの儀式のときに贈る金品。引出物。
3.心づけ。チップ。はな。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔纏頭〕テントウ／テンドウ／はな
芸人などへの祝儀。心づけ。〈漢字ペディア〉
★もとは衣服を与えられ、これを頭にまとったことから。
◇漢字ペディア大見出し
●H28-2㈦"
H0265,【瞬息】,≒,"とっさ
はっく
きぜん",◆１,咄嗟,"▼【瞬息】シュンソク
わずかの間。瞬間。〈日本国語大辞典〉
★一回瞬きをし、また、息をする間の意。","▼〔咄嗟〕トッサ
┌一瞬のこと。短い時間。〈漢字ペディア〉
┌ごくわずかな時間。〈大辞泉〉
◇漢字ペディア大見出し
●H19-1㈦"
H0266,【庶民】,≒,"はつらつ
かんすい
れいげん",◆１,黎元,"▼【庶民】ショミン
一般の人々。大衆。≒民衆、平民〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔黎元〕レイゲン
人民。万民。たみ。黎民。黎首。〈日本国語大辞典〉
★「黎」は、黒の意。「元」は、首の意で、冠をかぶらないので黒髪を出している者の意から。一説に、「黎」は、もろもろの意。「元」は、善の意で、人はみな善であるとする考えから。
◇漢字ペディア大見出し
●H25-3㈦"
H0267,【掌握】,≒,"ふくしょく
しゅうらん
かくぶつ",◆１,収攬,"▼【掌握】ショウアク
手のなかに握りもつこと。転じて、物事を自分の意のままに動かすこと。≒把握〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔収攬〕シュウラン
┌うまく自分の手に集めて、にぎること。〈漢字ペディア〉
┌人の心などをとらえて手中におさめること。〈大辞泉〉
◇漢字ペディア大見出し
●H16-1㈦"
H0268,【親狎】,≒,"じっこん
いんしん
らんだ",◆１,昵懇,"▼【親狎】シンコウ
親しみ、なれること。近づき、親しむこと。親近。〈日本国語大辞典〉
◇漢字ペディア小見出し","▼〔昵懇〕ジッコン
┌親しくつき合うさま。こころやすいこと。懇意。〈漢字ペディア〉
┌親しく心安いこと。〈漢字源〉
◇漢字ペディア大見出し
●H17-1㈦"
H0269,【垂涎】,≒,"だい
さっしゅ
りかく",◆１,朶頤,"▼【垂涎】スイゼン／スイセン／スイエン
┌1.よだれをたらす。
└2.非常にうらやましがること。〈漢字源〉
┌ほしくてたまらぬ。〈字通〉
┌1.食べたくてよだれをたらすこと。
├2.非常にほしがること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔朶頤〕ダイ
┌1.あごを動かして食べること。食欲の盛んなこと。また、うらやみ欲しがること。
└2.強い国が弱い国を征服しようとすること。〈大辞泉〉
┌1.あごを下げ動かして、物を食べようとするさま。
└2.物欲しげなさま。〈漢字ペディア〉
◇漢字ペディア大見出し
●H28-3㈦"
H0270,【凄絶】,≒,"しれつ
げきせき
そうかい",◆１,熾烈,"▼【凄絶／悽絶】セイゼツ
この上ないほどすさまじいさま。≒凄愴、悽愴〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔熾烈〕シレツ
┌火勢が強いように、勢いが激しくさかんなこと。また、そのさま。≒激烈、猛烈〈漢字ペディア〉
┌1.火や光が焼き付けるように強いこと。
└2.戦いや争いなどの勢いが盛んで激しいこと。〈漢字源〉
◇漢字ペディア大見出し
●H16-1㈦／●H20-1㈦"
H0271,【正鵠】,≒,"たんげい
こうけい
しんい",◆１,肯綮,"▼【正鵠】セイコク／セイコウ
1.的の中央にある黒点。
2.物事の中心となる部分。急所。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔肯綮〕コウケイ
┌物事の急所。重要な点。〈漢字ペディア〉
┌物事の急所。かなめ。〈大辞泉〉
★骨に肉がはまり込んで、骨と肉とが結合している所。そこに包丁を当てれば肉を骨から切り離すことができるので、物事の急所、重要な点の意に用いる。〈漢字源〉
◇漢字ペディア大見出し
●H15-1㈦／●H17-1㈦／●H18-3㈦／●H24-2㈦"
H0272,【席捲】,≒,"ふうび
たんげい
おうしょう",◆１,風靡,"▼【席捲／席巻】セッケン
領土を占領すること。また激しい勢いで勢力の範囲を広げること。〈漢字ペディア〉
★席(ﾑｼﾛ)を巻き上げるように領土を占領していくという意。
◇漢字ペディア大見出し","▼〔風靡〕フウビ
草木が風になびくように、大勢の人をなびきしたがわせること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H23-2㈦"
H0273,【絶筆】,≒,"さいり
けんれん
かくりん",◆１,獲麟,"▼【絶筆】ゼッピツ
1.生前の最後に書いた文字･文章･絵画などの作品。
2.書くことをやめること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔獲麟〕カクリン
1.絶筆。また、物事の終わり。
2.孔子の死。転じて、臨終。〈漢字ペディア〉
◇漢字ペディア大見出し
★孔子が『春秋』を著したとき、「魯(ﾛ)の哀公が西方に狩りをして麟(麒麟のこと)を獲た」と書いて世を去った故事から。
●H18-3㈦／●H20-3㈦／●H22-2㈦"
H0274,【専占】,≒,"ぼくぜい
ろうだん
ほうてき",◆１,壟断,"▼【専占】センセン
自分ひとりで占有すること。ひとりじめ。〈日本国語大辞典〉","▼〔壟断〕ロウダン
1.切り立って高い丘。
2.利益をひとり占めにするたとえ。昔、中国で、商人が市場を高所から見渡して安い物を買い占め、それを高く売って利益を得たという故事から。〈漢字ペディア〉
◇漢字ペディア大見出し
●H19-2㈦"
H0275,【専有】,≒,"ろうだん
ふくよう
そうろう",◆１,壟断,"▼【専有】センユウ
自分だけで所有すること。ひとりじめすること。⇔共有〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔壟断〕ロウダン
1.切り立って高い丘。
2.利益をひとり占めにするたとえ。昔、中国で、商人が市場を高所から見渡して安い物を買い占め、それを高く売って利益を得たという故事から。〈漢字ペディア〉
●H16-2㈦／●H21-2㈦"
H0276,【煽動】,≒,"げきしょう
しそう
ほうし",◆１,"指嗾
使嗾","▼【煽動／扇動】センドウ
世間の人の気持ちをあおり、ある行動をとるように仕向けること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔指嗾／使嗾〕シソウ
┌さしずして、唆す。嗾ける。〈漢字源〉
┌人を唆すこと。嗾けること。≒使嗾、教唆〈漢字ペディア〉
◇漢字ペディア大見出し
●H29-2㈦"
H0277,【僧俗】,≒,"のうさい
げんぞく
しそ",◆１,緇素,"▼【僧俗】ソウゾク
僧侶と俗人。出家と在家。緇素。〈日本国語大辞典〉","▼〔緇素〕シソ
1.黒衣と白衣。
2.僧と俗人。≒僧俗〈漢字ペディア〉
◇漢字ペディア大見出し
●H28-1㈦"
H0278,【相剋】,≒,"はいじく
かんかく
ぼくとつ",◆１,"扞格
捍格","▼【相剋／相克】ソウコク
┌1.対立･矛盾するものが互いに争うこと。
└2.五行説で、木は土に、土は水に、水は火に、火は金に、金は木に勝つこと。⇔相生〈漢字ペディア〉
┌1.対立･矛盾する二つのものが互いに相手に勝とうと争うこと。
└2.五行説で、木は土に、土は水に、水は火に、火は金に、金は木にそれぞれ剋(ｶ)つとされること。五行相克。〈大辞泉〉
◇漢字ペディア大見出し","▼〔扞格／捍格〕カンカク
互いに相手をこばみ、受け入れないこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H18-3㈦"
H0279,【蒼氓】,≒,"けんしゅ
そうきゅう
ばくしん",◆１,黔首,"▼【蒼氓】ソウボウ
┌人々。民衆。≒蒼生、蒼民〈漢辞海〉
┌もろもろのたみ。≒蒼生、蒼民〈字源〉
┌「蒼生」に同じ。〈漢字ペディア〉
┌民(ﾀﾐ)。人民。蒼生。〈大辞泉〉
◇漢字ペディア大見出し","▼〔黔首〕ケンシュ
┌中国、秦(ｼﾝ)の時代の人民。民衆が冠をかぶらず、黒い頭髪のままだったことから。また、黒い頭巾をかぶっていたことからともいう。のちに、人民の通称となる。〈漢字ペディア〉
┌くろい頭。人民のこと。冠をかぶらずに黒髪をあらわしていることから。また、一説に、黒頭巾をかぶったからという。古くは黎民(ﾚｲﾐﾝ)･黎首(ﾚｲｼｭ)といい、秦代には黔首といった。≒黔細、黔庶、黔愚、黔黎〈漢字源〉
◇漢字ペディア大見出し
●H27-1㈦"
H0280,【造詣】,≒,"うんちく
せんぎょう
けんさん",◆１,"蘊蓄
薀蓄","▼【造詣】ゾウケイ
学問や技芸などの分野で、深くすぐれている知識や理解。≒識見、蘊蓄〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔蘊蓄／薀蓄〕ウンチク
深く研究し、身にたくわえた知識。〈漢字ペディア〉
◇漢字ペディア大見出し
●H18-2㈦"
H0281,【卒然】,≒,"こうえん
きつりつ
てんちゅう",◆１,溘焉,"▼【卒然／率然】ソツゼン
にわかなさま。≒突然〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔溘焉〕コウエン
┌思いがけず急に起こること。突然のこと。多く、人の死去についていう。〈漢字ペディア〉
┌にわかなさま。多く、人の死去のさまにいう。〈大辞泉〉
◇漢字ペディア大見出し
●H26-2㈦"
H0282,【体面】,≒,"たいじ
てきめん
こけん",◆１,"沽券
估券","▼【体面】タイメン
世間に対する見栄(ﾐｴ)。世間体。≒面目〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔沽券／估券〕コケン
1.人の値打ち。体面。品位。
2.土地や家などの売り渡しの証券。〈漢字ペディア〉
◇漢字ペディア大見出し
●R01-1㈦"
H0283,【泰斗】,≒,"やた
せきじゅ
なんめん",◆１,碩儒,"▼【泰斗】タイト
ある分野における権威者。泰山北斗の略。〈日本国語大辞典〉
★山の泰山と北斗星の意。
◇漢字ペディア大見出し","▼〔碩儒〕セキジュ
ひろく深い学問を身につけた学者。大学者。大儒。鴻儒。〈日本国語大辞典〉
◇漢字ペディア大見出し
●H15-1㈦"
H0284,【退屈】,≒,"りょうれき
べいべつ
ぶりょう",◆１,無聊,"▼【退屈】タイクツ
1.あきていやになること。
2.することがなく、時間をもてあますこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔無聊〕ブリョウ／ムリョウ
1.することがなく、退屈なこと。つれづれ。
2.気になることがあって楽しめないこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H14-3㈦"
H0285,【大黒】,≒,"ぼんさい
りろく
びゃくごう",◆１,梵妻,"▼【大黒】ダイコク<br1.(仏)「大黒天」の略。仏･法･僧の三宝の守護神。中国や日本では、食物の神として寺の台所にまつった。
2.七福神の一人。頭巾をかぶり、左肩に大きな袋を負い、右手に打ち出の小づちを持つ福徳の神。
3.僧の妻の俗称。〈漢字ペディア〉
★大黒天は、元来厨(ｸﾘﾔ)にまつられた神であるところから、寺院の飯炊き女をいい、また、私妾や妻をもいうようになったという。また、世を憚って厨だけに居て、世間に出さないからとも、大黒天の甲子祭から、子(寝)祭とのしゃれからともいう。
◇漢字ペディア大見出し","▼〔梵妻〕ボンサイ
(仏)僧の妻。大黒。〈漢字ペディア〉
◇漢字ペディア大見出し
●H30-2㈦"
H0286,【脱稿】,≒,"かくひつ
かくりん
すうまつ",◆１,"擱筆
閣筆","▼【脱稿】ダッコウ
原稿を最後まで書き終えること。⇔起稿〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔擱筆〕カクヒツ
筆をおく。特に、文章を書き終えて筆を下におく。⇔起筆〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-1㈦／●H17-3㈦"
H0287,【端倪】,≒,"ぎゃくと
へいげい
ぜってん",◆１,逆睹,"▼【端倪】タンゲイ
┌1.物事のはじめと終わり。
└2.物事のなりゆきをおしはかること。推測すること〈漢字ペディア〉
┌1.物事の初めと終わり。事の始終。
└2.物事の本と末、終わりと始めを推しはかること。あらかじめ予想すること。推測。〈大辞泉〉
◇漢字ペディア大見出し","▼〔逆睹〕ギャクト／ゲキト
あらかじめ見通しをつけること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H22-3㈦"
H0288,【鳥目】,≒,"がちゅう
がんけん
あとぶつ",◆１,阿堵物,"▼【鳥目】チョウモク
穴のあいた銭。また、金銭。〈漢字ペディア〉
★昔の銭で、中央にあいた穴が鳥の目に似ていたことから。
◇漢字ペディア大見出し","▼〔阿堵物〕アトブツ
銭の異名。〈漢字ペディア〉
★中国六朝(ﾘｸﾁｮｳ)時代の俗語で、このもの、の意。晋の王衍(ｵｳｴﾝ)が金銭を忌んで呼んだところからという。
◇漢字ペディア大見出し
●H22-2㈦"
H0289,【鶴首】,≒,"ぎょうぼう
ふけい
てきよう",◆１,翹望,"▼【鶴首】カクシュ
鶴のように首を長くして、物事の到来を待ちわびること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔翹望〕ギョウボウ
首をのばして待ち望むこと。物事の実現を強く願うこと。切望。≒鶴首〈漢字ペディア〉
◇漢字ペディア大見出し
●H17-1㈦／●H20-1㈦／●H23-1㈦"
H0290,【挺身】,≒,"じんすい
わいく
りょりょく",◆１,尽瘁,"▼【挺身】テイシン
 身を投げ出し、人に先んじて事にあたること。
◇漢字ペディア小見出し","▼〔尽瘁〕ジンスイ
全力をつくして労苦すること。ほねおり。≒尽力〈漢字ペディア〉
◇漢字ペディア大見出し
●H21-2㈦／●H24-1㈦"
H0291,【天河】,≒,"けいでん
しゅうびん
ぎんかん",◆１,銀漢,"▼【天河】テンガ
あまのがわ。銀河。天漢。〈日本国語大辞典〉","▼〔銀漢〕ギンカン
あまのがわ。≒銀河〈漢字ペディア〉
◇漢字ペディア大見出し
●H28-3㈦"
H0292,【天資】,≒,"ぎょうそ
ひんしつ
とうしゅ",◆１,"稟質
禀質","▼【天資】テンシ
生まれつき備わっている性質や資質。≒天性、天賦、天質〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔稟質〕ヒンシツ
生まれつきの性質。≒稟性、稟賦、天性〈漢字ペディア〉
◇漢字ペディア大見出し
●H19-1㈦"
H0293,【天性】,≒,"ひんしつ
せんけん
いとん",◆１,"稟質
禀質","▼【天性】テンセイ
生まれつきの性質。≒天資、天成〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔稟質〕ヒンシツ
生まれつきの性質。≒稟性、稟賦、天性〈漢字ペディア〉
◇漢字ペディア大見出し
●H14-3㈦"
H0294,【添刪】,≒,"ふえつ
かいしゅん
さんじょ",◆１,"斧鉞
斧戉","▼【添刪／添竄】テンザン／テンサン
詩文･答案などの語句を補ったり除いたりして直すこと。≒添削〈漢辞海〉
◇漢字ペディア小見出し","▼〔斧鉞／斧戉〕フエツ
1.おのとまさかり。
2.昔中国で、天子から諸侯に生殺の権のしるしとして、また、出征の将軍に兵士を統率するしるしとして与えられたもの。転じて、兵器。また、征伐をいう。
3.重刑。重い刑罰。②が軍中での極刑具であったところから。
4.手を入れてなおすこと。文章の詩句をけずること。添削。〈日本国語大辞典〉
◇漢字ペディア大見出し
●H23-3㈦"
H0295,【点竄】,≒,"きつぎゃく
ふえつ
はいたく",◆１,"斧鉞
斧戉","▼【点竄】テンザン
┌文章の字句を訂正すること。〈漢字ペディア〉
┌文章などの字句を、ところどころあらためること。〈漢字源〉
◇漢字ペディア大見出し","▼〔斧鉞／斧戉〕フエツ
1.おのとまさかり。
2.昔中国で、天子から諸侯に生殺の権のしるしとして、また、出征の将軍に兵士を統率するしるしとして与えられたもの。転じて、兵器。また、征伐をいう。
3.重刑。重い刑罰。②が軍中での極刑具であったところから。
4.手を入れてなおすこと。文章の詩句をけずること。添削。〈日本国語大辞典〉
◇漢字ペディア大見出し
●H22-1㈦"
H0296,【徒然】,≒,"ぶりょう
けっか
ばんこく",◆１,無聊,"▼【徒然】トゼン／つれづれ
1.何もすることがなく退屈なさま。
2.つくづくと物思いにひたるさま。また、しんみりともの寂しいさま。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔無聊〕ブリョウ／ムリョウ
1.することがなく、退屈なこと。つれづれ。
2.気になることがあって楽しめないこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-3㈦"
H0297,【登極】,≒,"とうか
あんが
せんそ",◆１,践祚,"▼【登極】トウキョク
天子の位につくこと。即位。登祚(ﾄｳｿ)。〈大辞泉〉
★「極」は、最高の位の意。","▼〔践祚〕センソ
天皇の位につくこと。天皇の地位を受けつぐこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H29-1㈦"
H0298,【盗品】,≒,"きんかく
ぞうぶつ
とうあん",◆１,贓物,"▼【盗品】トウヒン
ぬすんだ品物。贓品(ｿﾞｳﾋﾝ)。贓物。〈日本国語大辞典〉","▼〔贓物〕ゾウブツ／ゾウモツ
┌窃盗･詐欺などで不法に侵害して手に入れた他人の財物。盗品など。≒贓品〈漢字ペディア〉
┌不正手段によって得た財物。≒贓品〈漢辞海〉
┌犯罪によって他人の財産を侵害し、手に入れた物。盗品の類。贓品。ぞうもつ。〈大辞泉〉
◇漢字ペディア大見出し
●H29-1㈦"
H0299,【陶冶】,≒,"かんよう
こうきん
ふえつ",◆１,涵養,"▼【陶冶】トウヤ
1.陶器を焼くことと鋳物(ｲﾓﾉ)を作ること。
2.才能･素質を引き出し、人材を育てること。≒薫陶〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔涵養〕カンヨウ
自然に心にしみこむように育てること。徐々に育成していくこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H21-1㈦"
H0300,【瞳人】,≒,"せきし
すうじょう
ぼうし",◆１,眸子,"▼【瞳人】ドウジン
ひとみ。広く、目。〈漢辞海〉
★相手の瞳の中に自分の姿が映るから。","▼〔眸子〕ボウシ
ひとみ。黒目。瞳孔。〈漢字ペディア〉
◇漢字ペディア大見出し
●H30-1㈦"
H0301,【読経】,≒,"ぎゃくと
かんきん
ふうじゅ",◆１,諷誦,"▼【読経】ドキョウ／ドッキョウ
声を出して経文を読み上げること。≒読誦(ﾄﾞｸｼﾞｭ)、⇔看経(ｶﾝｷﾝ)〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔諷誦〕フウジュ／フジュ／フウショウ
(仏)経文などを声を出して読むこと。読経(ﾄﾞｷｮｳ)。〈漢字ペディア〉
◇漢字ペディア大見出し
●H25-1㈦"
H0302,【廃頽】,≒,"えきせい
さんじょう
しきび",◆１,式微,"▼【廃頽／廃退】ハイタイ
┌≒退廃、頽廃
├1.すたれくずれること。衰えすたれること。
└2.道徳などがすたれること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔式微〕シキビ／ショクビ
勢いがひどく衰えること。〈漢字ペディア〉
★「式」は、助辞。「微」は、衰えるの意。
◇漢字ペディア大見出し
●H27-3㈦"
H0303,【白面】,≒,"だいこく
ひやく
こうふん",◆１,黄吻,"▼【白面】ハクメン
1.素顔。
2.色の白い顔。
3.年が若く、経験の少ないこと。未熟なこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔黄吻〕コウフン
1.ひなどりの黄色いくちばし。
2.年少で経験の浅いこと。また、その人。≒黄口(ｺｳｺｳ)〈漢字ペディア〉
◇漢字ペディア大見出し
●H29-3㈦"
H0304,【八荒】,≒,"うだい
ろっぴ
けいし",◆１,宇内,"▼【八荒】ハッコウ
国の八方の遠い果て。地上のありとあらゆる方面。国のすみずみ。天下。全世界。八極。八紘(ﾊｯｺｳ)。〈日本国語大辞典〉
★「荒」は、国の果ての意。
◇漢字ペディア下付き","▼〔宇内〕ウダイ
あめのした。天下。世界。〈漢字ペディア〉
◇漢字ペディア大見出し
●H23-1㈦"
H0305,【繁華】,≒,"じょくしょ
いんしん
りひ",◆１,殷賑,"▼【繁華】ハンカ
いつも人が多く集まって、にぎやかなさま。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔殷賑〕インシン
┌非常ににぎやかで、活気にあふれること。≒繁華〈漢字ペディア〉
┌活気があってにぎやかなこと。また、そのさま。≒繁華〈大辞泉〉
┌栄え賑わうこと。にぎわしいこと。〈新大字典〉
◇漢字ペディア大見出し
●H15-3㈦"
H0306,【卑猥】,≒,"いんび
わいさ
へんすい",◆１,"淫靡
婬靡","▼【卑猥／鄙猥】ヒワイ
いやしくて、みだらなこと。下品でけがわらしいこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔淫靡／婬靡〕インビ
男女の関係や風俗などが乱れているさま。〈漢字ペディア〉
◇漢字ペディア大見出し
●H18-1㈦"
H0307,【肥沃】,≒,"こうゆ
いじょう
ぶりょう",◆１,膏腴,"▼【肥沃】ヒヨク
土地の栄養分が十分で、作物の生育に適していること。≒肥饒(ﾋｼﾞｮｳ)〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔膏腴〕コウユ
地味が豊かで肥えていること。また、その土地。≒膏沃、肥沃〈漢字ペディア〉
◇漢字ペディア大見出し
●H18-3㈦"
H0308,【匹耦】,≒,"そんぷうし
こうれい
ききゅう",◆１,伉儷,"▼【匹耦／匹偶】ヒツグウ
1.相手や仲間になること。また、その相手や仲間。
2.結婚すること。また、つれあい、めおと。≒配偶〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔伉儷〕コウレイ
夫婦。伴侶。つれあい。配偶者。〈漢字ペディア〉
◇漢字ペディア大見出し
●H25-2㈦"
H0309,【表掲】,≒,"ひょうぼう
ほうへん
はいせい",◆１,標榜,"▼【表掲】ヒョウケイ
人目にふれるようにかかげること。掲示。〈大辞泉〉
◇漢字ペディア下付き","▼〔標榜〕ヒョウボウ
1.主義･主張を公然と掲げること。
2.人の善行をほめ、それを札などに記して公衆に示すこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H24-3㈦"
H0310,【斧鉞】,≒,"はんろう
すいこう
ひんしつ",◆１,推敲,"▼【斧鉞／斧戉】フエツ
1.おのとまさかり。
2.昔中国で、天子から諸侯に生殺の権のしるしとして、また、出征の将軍に兵士を統率するしるしとして与えられたもの。転じて、兵器。また、征伐をいう。
3.重刑。重い刑罰。②が軍中での極刑具であったところから。
4.手を入れてなおすこと。文章の詩句をけずること。添削。〈日本国語大辞典〉
◇漢字ペディア大見出し","▼〔推敲〕スイコウ
┌詩や文章を作るとき、より適切な字句や表現を求めて、練り上げること。〈漢字ペディア〉
┌詩歌･文章の字句を良くしようとして、何度も作り直すこと。〈漢字源〉
★唐の賈島(ｶﾄｳ)が、「僧は推す月下の門」という句で「推す」にするか「敲く」にするかと、迷い苦しんだことから。
◇漢字ペディア大見出し
●H16-2㈦"
H0311,【父母】,≒,"あじゃり
こじ
こうどう",◆１,怙恃,"▼【父母】フボ／ブモ
父と母。両親。〈日本国語大辞典〉","▼〔怙恃〕コジ
1.たのみとすること。
2.父母。子がたのみとする者。詩経の「父無ければ何をか怙(ﾀﾉ)まん、母無ければ何をか恃(ﾀﾉ)まん」による。〈漢字ペディア〉
◇漢字ペディア大見出し
●R01-2㈦"
H0312,【腹心】,≒,"がいてい
ここう
けいきょく",◆１,股肱,"▼【腹心】フクシン
1.心の奥底。真心。
2.心から信頼していて、なんでも相談したりまかせたりすることのできる人。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔股肱〕ココウ
1.股(ﾓﾓ)と肱(ﾋｼﾞ)。
2.なくてはならないもの。最もたよりにするもの。手足となって働く大切な家来。腹心。〈日本国語大辞典〉
◇漢字ペディア小見出し
●H16-1㈦"
H0313,【覆載】,≒,"れいめい
こぼん
しょうじょう",◆１,霄壌,"▼【覆載】フウサイ
┌1.天が万物を覆い、地が万物を載せること。また、天地や君主の恩恵のたとえ。
└2.転じて、天と地。宇宙。乾坤(ｹﾝｺﾝ)。〈大辞林〉
┌1.万物をおおう天と、万物をのせる地。また、天が万物をおおい、地が万物をのせること。
└2.天地。宇宙。乾坤(ｹﾝｺﾝ)。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔霄壌〕ショウジョウ
┌1.天と地。天地。
└2.天地ほどに、大きな隔たりであることのたとえ。雲泥。〈漢辞海〉
┌天と地。また、天と地のように非常に隔たりのあるたとえ。≒雲泥〈漢字ペディア〉
◇漢字ペディア大見出し
●H29-3㈦"
H0314,【淵源】,≒,"らんしょう
えいまい
しそ",◆１,濫觴,"▼【淵源】エンゲン
物事の起源。≒根源、本源〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔濫觴〕ランショウ
物事の最初。起こり。起源。〈漢字ペディア〉
★揚子江も源に遡れば、觴(ｻｶｽﾞｷ)を濫(ｳ)かべるほどの細流であったとの意から。一説に、「濫」は、あふれる意で、觴を溢れさせるほどのわずかな水流をいうとも。
◇漢字ペディア大見出し
●H18-2㈦"
H0315,【僻陬】,≒,"しゃきょう
ふくへき
へんすい",◆１,"辺陲
辺垂","▼【僻陬】ヘキスウ
┌へんぴな土地。僻地。〈大辞林〉
┌「僻地」に同じ。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔辺陲／辺垂〕ヘンスイ
国のさかい。国の果て。辺境。辺陬。
◇漢字ペディア下付き
●H25-1㈦"
H0316,【碧空】,≒,"そうきゅう
てんけん
そくじつ",◆１,蒼穹,"▼【碧空】ヘキクウ
あおい空。≒青空、碧天〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔蒼穹〕ソウキュウ
あおぞら。大空。≒蒼天、蒼空〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-3㈦／●H17-3㈦"
H0317,【別懇】,≒,"わいせつ
しんじつ
ぎょうそ",◆１,親昵,"▼【別懇】ベッコン
とりわけ親しいこと。≒昵懇〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔親昵〕シンジツ
┌したしくしてなじむ。また、親しく仲の良い人。〈漢字源〉
┌よく親しみなじむこと。≒昵懇〈漢字ペディア〉
◇漢字ペディア大見出し
●H20-1㈦"
H0318,【輔佐】,≒,"かじ
ゆうえき
かくしゅ",◆１,誘掖,"▼【輔佐／補佐】ホサ
人の仕事に力添えして助けること。また、その役や人。≒補弼、輔弼〈漢字ペディア〉
◇漢字ペディア大見出し ","▼〔誘掖〕ユウエキ
導き助けること。導き教えること。〈漢字ペディア〉
★「誘」は、前に居て導く。「掖」は、側から助ける。
◇漢字ペディア大見出し
●H16-3㈦"
H0319,【輔弼】,≒,"さんじょう
きょうかく
りょうじ",◆１,賛襄,"▼【輔弼／補弼】ホヒツ
君主が政治を行うのを助けること。また、その役や人。≒補佐、輔佐〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔賛襄〕サンジョウ
┌助力して、事をなしとげさせる。〈新漢和大字典〉
┌たすけて成さしめる。〈字通〉
┌君徳をたすけてその治を成す。〈字源〉
┌助けて物事を行なうこと。君主を助けて政治を行なうこと。〈日本国語大辞典〉
★「襄」は、成す･行なうの意。
●H28-1㈦"
H0320,【輔弼】,≒,"びょうえい
そいん
ゆうえき",◆１,誘掖,"▼【輔弼／補弼】ホヒツ
君主が政治を行うのを助けること。また、その役や人。≒補佐、輔佐〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔誘掖〕ユウエキ
導き助けること。導き教えること。〈漢字ペディア〉
★「誘」は、前に居て導く。「掖」は、側から助ける。
◇漢字ペディア大見出し
●H20-3㈦"
H0321,【崩御】,≒,"はきょう
がいりゃく
とうか",◆１,"登遐
登霞
登仮","▼【崩御】ホウギョ
天皇･皇后･皇太后･太皇太后の死去を敬っていう語。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔登遐／登霞／登仮〕トウカ
┌天子の崩御をいう語。≒登霞〈大辞泉〉
┌≒登仮
├1.仙界に登る。天子などの死を間接的に表現した言い方。
└2.ある境界･状態にまで登りいたる。〈漢辞海〉
◇漢字ペディア下付き
●H25-1㈦"
