ID,難易度,四字熟語,読み,別読み,問題,問題読み,解答,別答,解答読み,出典,意味
D0189,◆１,銅駝荊棘,どうだけいきょく,,銅駝,どうだ,荊棘,荆棘,けいきょく,＊『晋書-索靖伝』,"➡銅駝荊棘／銅駝荆棘（どうだけいきょく）
国の滅亡を嘆くたとえ。〈漢字ペディア〉
★「駝」は、らくだ。
★「荊棘」は、いばらの意で、乱れた状態のたとえ。
★宮殿が破壊され尽くし、銅製の駱駝がイバラの中にうち捨てられているのを嘆く意。
★晋の索靖（ｻｸｾｲ）が、国が滅ぶのを予知し、洛陽の宮殿の門前に据えられた銅製の駱駝に対して、近いうちにいばら(荊棘)の中にうずもれるであろうと嘆いた故事から。
「銅駝(ﾄﾞｳﾀﾞ)の荊棘(ｹｲｷｮｸ)に在(ｱ)るを嘆く」
類：荊棘銅駝（けいきょくどうだ）
●H05-2㈣書／●H09-2㈣書／●H15-1㈣書／●H26-2㈣書"
D0190,◆１,撥乱反正,はつらんはんせい,,反正,はんせい,撥乱,,はつらん,＊『春秋公羊伝-哀公一四年』,"➡撥乱反正（はつらんはんせい）
乱れた世を治めて、もとの正常な世に戻すこと。〈漢検四字熟語辞典〉
★「撥」は、治めること。
★「反」は、返す意。
「乱(ﾗﾝ)を撥(ｵｻ)めて正に反(ｶｴ)す」
●H07-3㈣書／●H21-2㈣書／●H24-1㈣書"
D0191,◆１,雷霆万鈞,らいていばんきん,,雷霆,らいてい,万鈞,,ばんきん,＊『漢書-賈山伝』,"➡雷霆万鈞（らいていばんきん）
威勢が極めて大きく防ぎとめることのできないたとえ。〈漢検四字熟語辞典〉
★「雷霆」は、雷のとどろき。転じて威力などが激しいことの形容。
★「万鈞」は、きわめて重いこと。鈞は重さの単位で、周代では一鈞が7.7kg。
★雷鳴のとどろきがきわめて大きく重い意。
類：雷轟電撃（らいごうでんげき）
●H25-1㈣書"
D0192,◆１,蹇蹇匪躬,けんけんひきゅう,,匪躬,ひきゅう,蹇蹇,,けんけん,＊『易経-蹇』,"➡蹇蹇匪躬（けんけんひきゅう）
自分のことは二の次にして、主人や人に尽くすこと。〈漢検四字熟語辞典〉
★「蹇蹇」は、身を苦しめても忠義を尽くすこと。
★「匪躬」は、「躬(ﾐ)の故(ﾕｴ)に匪(ｱﾗ)ず」の略で、自分の功名や富を捨て去る意。
「王臣(ｵｳｼﾝ)蹇蹇、躬の故に匪ず」
●H09-2㈣書／●H18-1㈣書"
D0193,◆１,流金鑠石,りゅうきんしゃくせき,,流金,りゅうきん,鑠石,,しゃくせき,＊『楚辞-招魂』,"➡流金鑠石（りゅうきんしゃくせき）
厳しい暑さのたとえ。〈漢検四字熟語辞典〉
★昔、十個の太陽が同時に昇り金石などの堅剛なものもみな照らし溶かしたという故事による。
類：流金焦土（りゅうきんしょうど）
「金(ｷﾝ)を流(ﾅｶﾞ)し石(ｲｼ)を鑠(ﾄｶ)す」
●H15-3㈣書／●H27-3㈣書／●H30-3㈣書"
D0194,◆１,焚書坑儒,ふんしょこうじゅ,,坑儒,こうじゅ,焚書,,ふんしょ,＊『史記-秦始皇紀』,"➡焚書坑儒（ふんしょこうじゅ）
思想、学問、言論を弾圧すること。〈漢検四字熟語辞典〉
★「焚書」は、書物を焼き捨てること。
★「坑」は、穴埋めにすること。
★中国秦の始皇帝が行った、主として儒家に対する言論統制政策。法家の思想家であった宰相の李斯(ﾘｼ)の建言により、医薬、卜筮(ﾎﾞｸｾﾞｲ)、農事などの実用書以外を焼き、儒生を捕らえて四百六十余人を咸陽で穴埋めにして殺したといわれる事件から。
●H12-3㈣書"
D0195,◆１,蹇蹇匪躬,けんけんひきゅう,,蹇蹇,けんけん,匪躬,,ひきゅう,＊『易経-蹇』,"➡蹇蹇匪躬（けんけんひきゅう）
自分のことは二の次にして、主人や人に尽くすこと。〈漢検四字熟語辞典〉
★「蹇蹇」は、身を苦しめても忠義を尽くすこと。
★「匪躬」は、「躬(ﾐ)の故(ﾕｴ)に匪(ｱﾗ)ず」の略で、自分の功名や富を捨て去る意。
「王臣(ｵｳｼﾝ)蹇蹇、躬の故に匪ず」
●H09-2㈣書／●H18-1㈣書"
D0196,◆１,優游涵泳,ゆうゆうかんえい,,優游,ゆうゆう,涵泳,,かんえい,＊『論語-為政･集注』,"➡優游涵泳（ゆうゆうかんえい）
ゆったりとした気持ちで学問や技芸の深い境地を味わう。〈漢検四字熟語辞典〉
★「優游」は、ゆったりとしてこせつかないこと。
★「涵泳」は、水にひたり泳ぐ意から、ゆったりひたり味わう意。
●H24-3㈣書／●H27-1㈣書"
D0197,◆１,泉石膏肓,せんせきこうこう,,泉石,せんせき,膏肓,,こうこう,＊『旧唐書-田游巌伝』,"➡泉石膏肓（せんせきこうこう）
自然や山水の中で暮らしたいという気持ちが非常に強いこと。〈漢検四字熟語辞典〉
★「泉石」は、流水と石、山水のたたずまい。
★「膏」は。胸の下のところ。「肓」は、胸と腹の間の薄い膜。病気が入ったら治る見込みがない場所とされる。
★俗世を離れて山水の中で暮らしたい気持ちが癒やしがたい病気のように切なことをいう。
●H15-2㈣書／●H26-1㈣書"
D0198,◆１,得隴望蜀,とくろうぼうしょく,,望蜀,ぼうしょく,得隴,,とくろう,＊『後漢書-岑彭伝』,"➡得隴望蜀（とくろうぼうしょく）
人間の欲望には限りがないということ。〈漢検四字熟語辞典〉
★中国全土を再統一した後漢の光武帝(ｺｳﾌﾞﾃｲ)が、隴を平定したあと蜀をも手中に収めようとした自分の欲の深さを自嘲した故事から。
類：望蜀之嘆（ぼうしょくのたん）
「隴(ﾛｳ)を得て蜀(ｼｮｸ)を望む」
●H18-2㈣書"
D0199,◆１,一闔一闢,いっこういちびゃく,,一闔,いっこう,一闢,,いちびゃく,＊『易経-繫辞･上』,"➡一闔一闢（いっこういちびゃく）
あるいは閉じ、あるいは開く。陰と陽が消長するさま。〈漢検四字熟語辞典〉
★あるいは闔(ﾄ)じ、あるいは闢(ﾋﾗ)く意。
●H30-3㈣書"
D0200,◆１,載籍浩瀚,さいせきこうかん,,載籍,さいせき,浩瀚,,こうかん,＊『文心雕竜-事類類』,"➡載籍浩瀚（さいせきこうかん）
書物が多いことのたとえ。〈漢検四字熟語辞典〉
★「載籍」は、事柄を記載した書籍の意から、書物のこと。
★「浩瀚」は、書物の巻数が多い意。
類：汗牛充棟（かんぎゅうじゅうとう）
●H19-1㈣書／●H20-3㈣書"
D0201,◆１,鸞翔鳳集,らんしょうほうしゅう,,鳳集,ほうしゅう,鸞翔,,らんしょう,＊『傅咸-申懐賦』,"➡鸞翔鳳集（らんしょうほうしゅう）
賢才が集まりくるたとえ。〈漢検四字熟語辞典〉
★「鸞」は、鳳凰に似た伝説上の霊鳥。
★「鳳」は、鳳凰、聖天子の世に現れるという伝説上の霊鳥。
●H08-3㈣書"
D0202,◆１,脣歯輔車,しんしほしゃ,,輔車,ほしゃ,脣歯,唇歯,しんし,＊『春秋左氏伝-僖公五年』,"➡脣歯輔車／唇歯輔車（しんしほしゃ）
互いに密接な関係にあり、助け合ってはじめてなりたつ間柄のたとえ。〈漢字ペディア〉
★「輔車」は、添え木と荷台。また、頰骨（輔）と下顎の骨（車）という説もある。
★「脣歯」は、脣(ｸﾁﾋﾞﾙ)と歯。
★輔車と唇歯のように、一方が欠けると他方がだめになるような関係をいう。
類：脣亡歯寒（しんぼうしかん）／類：輔車相衣（ほしゃそうい）／類：輔車唇歯（ほしゃしんし）／類：輔車脣歯（ほしゃしんし）
「輔車は相依(ｱｲﾖ)り脣(ｸﾁﾋﾞﾙ)亡(ﾎﾛ)ぶれば歯寒し」
●H06-1㈣書／●H08-3㈣書"
D0203,◆１,兵馬倥偬,へいばこうそう,,兵馬,へいば,倥偬,,こうそう,＊『矢田挿雲-江戸から東京へ･七』,"➡兵馬倥偬（へいばこうそう）
戦争に明け暮れて忙しいこと。軍人の生活を言う。〈漢検四字熟語辞典〉
★「兵馬」は、武器と軍馬で戦争のこと。
★「倥偬」は、忙しい意。
類：戎馬倥偬（じゅうばこうそう）
●H20-3㈣書"
D0204,◆１,影駭響震,えいがいきょうしん,,響震,きょうしん,影駭,,えいがい,＊『文選･班固-答賓戯』,"➡影駭響震（えいがいきょうしん）
ひどく驚き恐れること。ちょっとしたものに驚くこと。〈漢検四字熟語辞典〉
★「影駭」は、影を見ただけで驚く意。
★「響震」は、音を聞いただけで震える意。
類：風声鶴唳（ふうせいかくれい）
●H28-3㈣書"
D0205,◆１,肩摩轂撃,けんまこくげき,,肩摩,けんま,轂撃,,こくげき,＊『戦国策-斉策』,"➡肩摩轂撃（けんまこくげき）
人や車の往来が多く、混雑しているさま。都会の雑踏。〈漢検四字熟語辞典〉
★「肩摩」は、肩と肩が擦れ合うこと。
★「轂撃」は、轂と轂がぶつかりあう意。
★人と人の肩がこすれあい、車と車の軸受けがぶつかり合うほどの混雑のこと。
類：比肩随踵（ひけんずいしょう）／類：轂撃肩摩（こくげきけんま）㈣書／●H18-2㈣書／●H22-3㈣書／●R01-1㈣書"
D0206,◆１,雪魄氷姿,せっぱくひょうし,,氷姿,ひょうし,雪魄,,せっぱく,＊『不明』,"➡雪魄氷姿（せっぱくひょうし）
雪のように清らかな魂魄と氷のような姿。梅の形容。また、高潔な人のたとえ。〈漢検四字熟語辞典〉
★梅は百花に先駆けて雪を凌いで清楚に白い花をつけるからいう。
類：氷姿雪魄（ひょうしせっぱく）／類：雪裏清香（せつりせいこう）
●H29-2㈣書"
D0207,◆１,妖姿媚態,ようしびたい,,妖姿,ようし,媚態,,びたい,＊『本事詩-人面桃花』,"➡妖姿媚態（ようしびたい）
いかにもなまめかしく美しい姿。また、そのような女性が人を惑わすような、笑い媚びるしぐさをすることにもいう。〈漢検四字熟語辞典〉
★「妖姿」は、なまめかしく美しい姿。
★「媚態」は、なまめかしくこびるさま。
●H16-3㈣書／●H27-2㈣書"
D0208,◆１,弊帚千金,へいそうせんきん,,千金,せんきん,弊帚,敝帚,へいそう,＊『東観漢紀-光武帝』,"➡弊帚千金／敝帚千金（へいそうせんきん）
身の程を知らないで思い上がるたとえ。〈漢検四字熟語辞典〉
★やぶれたほうき（弊帚）を千金の価値があると考えるという意。つまらない自分の物を貴重と考えること。
類：千金弊帚（せんきんへいそう）
●H23-2㈣書／●H25-1㈣書"
D0209,◆１,竜驤虎視,りょうじょうこし,りゅうじょうこし,虎視,こし,竜驤,,りょうじょう,＊『三国志-蜀書･諸葛亮伝』,"➡竜驤虎視（りょうじょうこし／りゅうじょうこし）
世に威勢を示し、意気が盛んなこと。〈漢検四字熟語辞典〉
★「竜驤」は、竜が天に昇る意。
★「虎視」は、虎が獲物をにらむこと。
★竜のように盛んで、虎のように威力があること。
類：竜驤虎躍（りょうじょうこやく）／類：竜驤虎歩（りょうじょうこほ）
●H16-3㈣書／●H18-3㈣書／●H21-3㈣書／●H28-1㈣書"
D0210,◆１,薤露蒿里,かいろこうり,,蒿里,こうり,薤露,,かいろ,＊『古今注-音楽』,"➡薤露蒿里（かいろこうり）
人生のはかないことのたとえ。〈漢検四字熟語辞典〉
★「薤露」は、ニラの上におりた朝露の意で、すぐに消えてしまうこと。
★「蒿里」は、もと山の名で、人が死ぬとその霊魂がここに集まり来ると言われた。転じて、墓地の意。
★「薤露」「蒿里」は、葬送のときの挽歌(ﾊﾞﾝｶ)の曲名。
★中国漢代の田横(ﾃﾞﾝｵｳ)が自殺したとき、門人がこれを悼んで作った曲を、のちに李延年(ﾘｴﾝﾈﾝ)がこの二曲に分けたとされる。
★貴人には薤露を歌い、下級官吏や庶民には蒿里を歌うとされる。
●H07-2㈣書／●H17-1㈣書／●H18-3㈣書／●H23-2㈣書"
D0211,◆１,扇枕温衾,せんちんおんきん,,扇枕,せんちん,温衾,,おんきん,＊『晋書-王延伝』,"➡扇枕温衾（せんちんおんきん）
親孝行なことのたとえ。〈漢検四字熟語辞典〉
★夏には枕元で扇であおいで涼しくし、冬には自分の体温で親の布団（衾）を温めてから親を寝かせる意。
類：扇枕温被（せんちんおんぴ）／類：温凊定省（おんせいていせい）
●H06-2㈣書／●H24-1㈣書"
D0212,◆１,戮力同心,りくりょくどうしん,,同心,どうしん,戮力,,りくりょく,＊『国語-斉語』,"➡戮力同心（りくりょくどうしん）
物事を心を一つにして行うこと。物事を協力して行うこと。〈漢字ペディア〉
類：協心戮力（きょうしんりくりょく）／類：一致団結（いっちだんけつ）／類：上下一心（しょうかいっしん）
「心を同じくして力を戮(ｱﾜ)す」
●H17-2㈣書"
D0213,◆１,懲羹吹膾,ちょうこうすいかい,,吹膾,すいかい,懲羹,,ちょうこう,＊『楚辞-九章･惜誦』,"➡懲羹吹膾（ちょうこうすいかい）
一度失敗したことに懲りて、必要以上に用心深くなりすぎること。〈漢検四字熟語辞典〉
★一度羹(ｱﾂﾓﾉ)で口に火傷をした者は、それに懲りて冷たい膾(ﾅﾏｽ)まで吹いて食べる意。
「羹(ｱﾂﾓﾉ)に懲(ｺ)りて膾(ﾅﾏｽ)を吹く」
●H21-2㈣書"
D0214,◆１,緇林杏壇,しりんきょうだん,,杏壇,きょうだん,緇林,,しりん,＊『荘子-漁夫』,"➡緇林杏壇（しりんきょうだん）
学問所･講堂のこと。〈漢検四字熟語辞典〉
★「緇林」は、樹木の生い茂った林のこと。
★孔子が黒いとばりのような緇帷(ｼｲ)の林に遊び、杏(ｱﾝｽﾞ)の花が咲く木の下の土の壇(一段高いところ)に休息したという故事から。
●H26-2㈣書"
D0215,◆１,阮籍青眼,げんせきせいがん,,青眼,せいがん,阮籍,,げんせき,＊『蒙求-阮籍青眼』,"➡阮籍青眼（げんせきせいがん）
阮籍の青い眼。心から人を歓迎すること。〈漢検四字熟語辞典〉
★「阮籍」は、三国時代の魏の人で、竹林の七賢の一人。老壮の学を好み、世俗を白眼視した。
★阮籍は青い目と白い目の使い分けが上手く、気に入った人は青眼で迎え、世俗の気に入らない人は白眼で応対したという故事から。
類：白眼青眼（はくがんせいがん）
●H11-1㈣書"
D0216,◆１,簞食壺漿,たんしこしょう,,簞食,たんし,壺漿,"瓠漿
壷漿",こしょう,＊『孟子-梁恵王･下』,"➡簞食壺漿／箪食壺漿／簞食壷漿／箪食壷漿／簞食瓠漿／箪食瓠漿（たんしこしょう）
自分たちを救ってくれた軍隊を歓迎すること。〈漢検四字熟語辞典〉
★竹の器の飯（簞食）と、壺の飲み物（壺漿）で軍隊を迎える意。
●H27-2㈣書／●H30-3㈣書"
D0217,◆１,七嘴八舌,しちしはちぜつ,,八舌,はちぜつ,七嘴,,しちし,＊『袁枚-牘外余言』,"➡七嘴八舌（しちしはちぜつ）
意見の多いこと。また、あちこちから意見の出ること。〈漢検四字熟語辞典〉
★七つの嘴(ｸﾁﾊﾞｼ)と、八つの舌の意。
●H23-1㈣書／●H24-3㈣書"
D0218,◆１,百折不撓,ひゃくせつふとう,ひゃくせつふどう,百折,ひゃくせつ,不撓,,ふとう,＊『蔡邕-橋太尉碑』,"➡百折不撓（ひゃくせつふとう／ひゃくせつふどう）
何度失敗しても志を曲げないこと。〈漢検四字熟語辞典〉
★「百折」は、何回も折れること。
★「不撓」は、たわまない、曲がらない意。
類：不撓不屈（ふとうふくつ）／類：独立不撓（どくりつふとう）
●H27-3㈣書"
D0219,◆１,驢鳴犬吠,ろめいけんばい,,犬吠,けんばい,驢鳴,,ろめい,＊『朝野僉載-庾信』,"➡驢鳴犬吠（ろめいけんばい）
拙劣でつまらない文章や聞くに値しない話のたとえ。〈漢検四字熟語辞典〉
★驢馬(ﾛﾊﾞ)や犬の鳴き声程度であり、ありふれていて聞く価値もない意。
類：犬吠驢鳴（けんばいろめい）／類：驢鳴狗吠（ろめいくばい）／類：驢鳴牛吠（ろめいぎゅうばい）
「驢(ﾛ)鳴(ﾅ)き犬(ｲﾇ)吠(ﾎ)ゆ」
●H07-3㈣書／●H14-3㈣書"
D0220,◆１,霑体塗足,てんたいとそく,,塗足,とそく,霑体,,てんたい,＊『国語-斉語』,"➡霑体塗足（てんたいとそく）
苦労して労働すること。〈漢検四字熟語辞典〉
★体を濡らし、足を泥塗れにして、野良仕事をすることから。
「体を霑(ｳﾙｵ)し、足に塗(ﾇ)る」
●H27-3㈣書"
D0221,◆１,漱石枕流,そうせきちんりゅう,,枕流,ちんりゅう,漱石,,そうせき,＊『晋書-孫楚伝』,"➡漱石枕流（そうせきちんりゅう）
強情で負け惜しみの強いこと。〈漢検四字熟語辞典〉
★中国西晋(ｾｲｼﾝ)の孫楚(ｿﾝｿ)は「石に枕(ﾏｸﾗ)し流れに漱(ｸﾁｽｽ)ぐ」と言うべきところを、「石に漱ぎ流れに枕す」と言ってしまい、誤りを指摘されると、「石に漱ぐのは歯を磨くため、流れに枕するのは耳を洗うためだ」と言ってごまかした故事から。
類：孫楚漱石（そんそそうせき）／類：指鹿為馬（しろくいば）／類：枕流漱石（ちんりゅうそうせき）
「流れに枕(ﾏｸﾗ)し石に漱(ｸﾁｽｽ)ぐ」
●H23-2㈣書"
D0222,◆１,筆力扛鼎,ひつりょくこうてい,,筆力,ひつりょく,扛鼎,,こうてい,＊『韓愈-病中贈張十八･詩』,"➡筆力扛鼎（ひつりょくこうてい）
文章の筆力が非常に強いこと。〈漢検四字熟語辞典〉
★「扛鼎」は鼎(ｶﾅｴ:三脚の銅器)を持ち上げる意。
★筆勢が鼎を持ち上げるほど強くてすばらしいと、韓愈(ｶﾝﾕ)が張籍(ﾁｮｳｾｷ)の文章をほめたたえた言葉から。
「筆力鼎(ｶﾅｴ)を扛(ｱ)ぐ」
●H19-2㈣書／●H21-1㈣書"
D0223,◆１,酔歩蹣跚,すいほまんさん,すいほばんさん,酔歩,すいほ,蹣跚,,まんさん,＊『花柳春話･二七』,"➡酔歩蹣跚（すいほまんさん／すいほばんさん）
酒に酔ってふらふら歩くさま。〈漢検四字熟語辞典〉
★「蹣跚」は、よろめくこと。
類：酔眼朦朧（すいがんもうろう）
●H10-3㈣書／●H21-2㈣書"
D0224,◆１,頽堕委靡,たいだいび,,委靡,いび,頽堕,頹堕,たいだ,＊『韓愈-送高閑上人序』,"➡頽堕委靡／頹堕委靡（たいだいび）
身体や気力などが、次第にくずれおとろえること。〈漢検四字熟語辞典〉
★「頽堕」は、崩れ落ちる、だらしがなくなること。
★「委靡」は、衰え弱る、ふるわないこと。
●H11-1㈣書"
D0225,◆１,爬羅剔抉,はらてきけつ,はらてっけつ,爬羅,はら,剔抉,,てきけつ,＊『韓愈-進学解』,"➡爬羅剔抉（はらてきけつ／はらてっけつ）
隠れた人材を見つけ出して用いること。また、人の秘密や欠点を暴き出すこと。〈漢検四字熟語辞典〉
★「爬」は、爪などで掻き寄せる。
★「羅」は、網で鳥を残らず捕る。
★「剔」「抉」は、そぎ取る、えぐり取る。
●H18-2㈣書／●H22-2㈣書／●H26-3㈣書"
D0226,◆１,俛首帖耳,ふしゅちょうじ,,帖耳,ちょうじ,俛首,俯首,ふしゅ,＊『韓愈-応科目時与人書』,"➡俛首帖耳／俯首帖耳（ふしゅちょうじ）
人にこびへつらう卑しい態度のこと。〈漢検四字熟語辞典〉
★「俛首」は、頭を下げる意。
★「帖耳」は、耳を垂れる意。
★犬が飼い主に服従するようすをいう。
「首(ｺｳﾍﾞ)を俛(ﾌ)し耳を帖(ﾀ)る」
●H12-1㈣書／●H19-3㈣書"
D0227,◆１,牛驥同皁,ぎゅうきどうそう,,同皁,どうそう,牛驥,,ぎゅうき,＊『鄒陽文-於獄中上梁王書』,"➡牛驥同皁（ぎゅうきどうそう）
賢者が愚者と同じ待遇を受けること。〈漢検四字熟語辞典〉
★足の遅い牛と、千里を走る駿馬（驥）が同じ飼葉桶(ｶｲﾊﾞｵｹ)の餌を食べる意。
類：牛驥一皁（ぎゅうきいっそう）／類：牛驥共牢（ぎゅうききょうろう）／類：利鈍斉列（りどんせいれつ）
「牛驥(ｷﾞｭｳｷ)皁(ｿｳ)を同じうす」
●H26-1㈣書"
D0228,◆１,笙磬同音,しょうけいどうおん,,同音,どうおん,笙磬,,しょうけい,＊『詩経-小雅･鼓鐘』,"➡笙磬同音（しょうけいどうおん）
人が心を合わせて仲良くするたとえ。〈漢検四字熟語辞典〉
★管楽器の「笙」と、打楽器の「磬」を一斉に演奏して調和する意。
●H10-3㈣書／●H25-3㈣書"
D0229,◆１,星火燎原,せいかりょうげん,,星火,せいか,燎原,,りょうげん,＊『後漢書-周紆伝』,"➡星火燎原（せいかりょうげん）
初めは小さな勢力でも次第に成長して侮れなくなる。〈漢検四字熟語辞典〉
★「星火」は、見える星のような小さな火。
★「燎原」は、野原を焼き払うこと。
★反乱や一揆などは初めは力が小さくてもだんだん広がって防ぎようがなくなることをたとえたもの。
●H07-1㈣書／●H25-2㈣書"
D0230,◆１,枕戈待旦,ちんかたいたん,,待旦,たいたん,枕戈,,ちんか,＊『晋書-劉琨伝』,"➡枕戈待旦（ちんかたいたん）
闘いの備えを怠らないこと。いつも戦場に身をさらしていること。〈漢検四字熟語辞典〉
★戈(ﾎｺ)を枕にして眠り、朝になるのを待つ意。
類：枕戈寝甲（ちんかしんこう）
「戈(ﾎｺ)を枕にして旦(ｱｼﾀ)を待つ」
●H08-2㈣書／●H24-2㈣書／●H28-1㈣書"
D0231,◆１,法界悋気,ほうかいりんき,ほっかいりんき,法界,ほうかい,悋気,,りんき,＊『評判記-難波物語』,"➡法界悋気（ほうかいりんき／ほっかいりんき）
他人のことを嫉妬したり、妬んだりすること。また、他人の恋愛を妬むこと。〈漢検四字熟語辞典〉
★「法界」は、仏教語で宇宙万物のこと。
★「悋気」は、嫉妬心の意。
●H07-1㈣書"
D0232,◆１,因循苟且,いんじゅんこうしょ,,因循,いんじゅん,苟且,,こうしょ,＊『不明』,"➡因循苟且（いんじゅんこうしょ）
旧い習慣や方法にこだわって、その場しのぎの手段をとること。また、決断力に欠け、ぐずぐずしてためらうさま。〈漢検四字熟語辞典〉
★「因循」は、因(ﾖ)り循(ｼﾀｶﾞ)うで、古いしきたりに従っているだけで、改めようとしないこと。ぐずぐずして煮え切らないさま。
★「苟且」は、かりそめ、間に合わせ、一時逃れの意。
類：因循姑息（いんじゅんこそく）
●H18-1㈣書／●H20-2㈣書"
D0233,◆１,頽堕委靡,たいだいび,,頽堕,たいだ,委靡,,いび,＊『韓愈-送高閑上人序』,"➡頽堕委靡／頹堕委靡（たいだいび）
身体や気力などが、次第にくずれおとろえること。〈漢検四字熟語辞典〉
★「頽堕」は、崩れ落ちる、だらしがなくなること。
★「委靡」は、衰え弱る、ふるわないこと。
●H11-1㈣書"
D0234,◆１,朱脣皓歯,しゅしんこうし,,朱脣,しゅしん,皓歯,,こうし,＊『楚辞-大招』,"➡朱脣皓歯／朱唇皓歯（しゅしんこうし）
美人の形容。〈漢検四字熟語辞典〉
★赤い脣(ｸﾁﾋﾞﾙ)と皓(ｼﾛ)い歯の意から。
●H09-2㈣書"
D0235,◆１,瞻望咨嗟,せんぼうしさ,,瞻望,せんぼう,咨嗟,,しさ,＊『欧陽脩-相州昼錦堂記』,"➡瞻望咨嗟（せんぼうしさ）
遠くのぞみ見てその素晴らしさにため息を吐く。高貴の人などを敬慕しうらやむこと。〈漢検四字熟語辞典〉
★「瞻望」は、のぞき見る、仰ぎ見る意。
★「咨嗟」は、ため息を吐くこと。"
D0236,◆１,躊躇逡巡,ちゅうちょしゅんじゅん,,逡巡,しゅんじゅん,躊躇,,ちゅうちょ,＊『赤木桁平-所謂「自然主義前派」に就て』,"➡躊躇逡巡（ちゅうちょしゅんじゅん）
ためらってすすまないこと。〈漢検四字熟語辞典〉
★「躊躇」は、ためらう、ぐずぐずする意。
★「逡巡」は、あとずさりする、ぐずぐずする意。
★ほぼ同意の熟語を重ねて意味を強めた四字句。
●H05-1㈣書"
D0237,◆１,嘯風弄月,しょうふうろうげつ,,弄月,ろうげつ,嘯風,,しょうふう,＊『太平記･一』,"➡嘯風弄月（しょうふうろうげつ）
自然の風景に親しみ、風流を好んで楽しむこと。〈漢検四字熟語辞典〉
★「嘯風」は、風に合わせて歌うこと。
★「弄月」は、月をながめ賞する意。
類：嘲風弄月（ちょうふうろうげつ）／類：悠悠自適（ゆうゆうじてき）
「風に嘯(ｳｿﾌﾞ)き月を弄(ﾓﾃｱｿ)ぶ」
●H06-2㈣書／●H07-2㈣書／●H16-1㈣書／●H20-1㈣書／●H22-1㈣書"
D0238,◆１,煮豆燃萁,しゃとうねんき,,煮豆,しゃとう,燃萁,然萁,ねんき,＊『曹植-七歩詩』,"➡煮豆燃萁／煮豆然萁（しゃとうねんき）
兄弟の仲が悪く、争う合うこと。〈漢検四字熟語辞典〉
★「煮豆」は、豆を煮ること。
★「燃萁」は、萁(ﾏﾒｶﾞﾗ)を燃やす意。
★中国三国時代、魏の曹丕(ｿｳﾋ)･曹植(ｿｳｼｮｸ)の兄弟はともに詩才に恵まれていた。父曹操(ｿｳｿｳ)の死後、即位して文帝となった曹丕は弟の才能を妬んで迫害し、あるとき曹植に「七歩歩く間に詩を一首作れ。できなければ殺す」と言った。これを聞いた曹植は「私は豆で、あなたは豆殻。豆と豆殻は同じ根から生まれたのに、豆殻は火となって釜の中の豆を煮て苦しめる。兄弟なのにどうして苦しめるのですか」という詩を作った。これを見た曹丕は深く恥じたという故事から。
類：七歩之才（しちほのさい）／類：兄弟鬩牆（けいていげきしょう）
「豆を煮るに萁(ﾏﾒｶﾞﾗ)を燃(ﾔ)く」
●H21-3㈣書"
D0239,◆１,檻猿籠鳥,かんえんろうちょう,,籠鳥,ろうちょう,檻猿,,かんえん,＊『白居易-山中与元九書因題書後』,"➡檻猿籠鳥／檻猿篭鳥（かんえんろうちょう）
自由を奪われ自分の思い通りに生きることのできない境遇のたとえ。〈漢検四字熟語辞典〉
★籠(ｶﾄﾞ)の鳥と、檻(ｵﾘ)の中の猿の意。
類：籠鳥檻猿（ろうちょうかんえん）
●H08-1㈣書／●H16-3㈣書／●H19-3㈣書「籠鳥檻猿」"
D0240,◆１,曠日弥久,こうじつびきゅう,,弥久,びきゅう,曠日,昿日,こうじつ,＊『戦国策-燕策』,"➡曠日弥久／昿日弥久（こうじつびきゅう）
無駄に長期間の日を過ごすこと。また、無駄に日時を費やして、事を長引かせたり、暇取らせたりすること。〈漢検四字熟語辞典〉
★「曠日」は、何もしないで日をむなしく送ること。
★「弥久」は、長引くこと。
類：曠日持久（こうじつじきゅう）
「日(ﾋ)を曠(ﾑﾅ)しくして久しきに弥(ﾜﾀ)る」
●H09-2㈣書"
D0241,◆１,一饋十起,いっきじっき,,十起,じっき,一饋,,いっき,＊『淮南子-氾論訓』,"➡一饋十起（いっきじっき）
賢者を求めるのに熱心なたとえ。〈漢検四字熟語辞典〉
★一度の食事中に十回も席を立つ意。
★中国古代、夏の禹王が善政のため賢者を熱心に求め、一回の食事で十回も席を立ち食事を中断して訪ねてきた賢者にあったという故事から。
類：吐哺握髪（とほあくはつ）／類：吐哺捉髪（とほそくはつ）
「一饋(ｲｯｷ)に十(ﾄ)たび起(ﾀ)つ」
●H10-3㈣書"
D0242,◆１,筆削褒貶,ひっさくほうへん,,筆削,ひっさく,褒貶,,ほうへん,＊『経学歴史』,"➡筆削褒貶（ひっさくほうへん）
批評の態度が公正で厳しい「春秋の筆法」を表す語。〈漢検四字熟語辞典〉
★「筆削」は、書くべきものは書き、取り去るべきものは削ること。
★「褒貶」は、褒めるべきところは褒め、貶(ｹﾅ)すべきところは貶すこと。
●H14-1㈣書／●H19-1㈣書"
