ID,問題,語群,難易度,解答,別答,出典,意味,四字熟語,ハイライト
E0129,気焔万丈、天下を吞む意気のさま。,"[鴉巣]生鳳
万目[睚眥]
兎起[鶻落]
[竜驤]虎視",◆１,りゅうじょう,りょうじょう,＊『三国志-蜀書･諸葛亮伝』,"竜驤虎視（りょうじょうこし／りゅうじょうこし）
★「竜驤」は、竜が天に昇る意。
★「虎視」は、虎が獲物をにらむこと。
★竜のように盛んで、虎のように威力があること。
類：竜驤虎躍（りょうじょうこやく）
類：竜驤虎歩（りょうじょうこほ）",竜驤虎視,竜驤
E0130,悩める民を救う人のたとえ。,"簞食[壺漿]
[霖雨]蒼生
人権[蹂躪]
一世[風靡]",◆１,りんう,,＊『不明』,"霖雨蒼生（りんうそうせい）
★「霖雨」は、幾日も降り続く雨。ここでは旱魃を救う三日以上降り続く恵みの雨。恩沢･恵みの意。
★「蒼生」は、草木が青々と茂る所であるが、転じて、多くの人民のこと。",霖雨蒼生,霖雨
E0131,領土を守り通す国家のたとえ。,"[金甌]無欠
[旗幟]鮮明
完璧[帰趙]
[銅駝]荊棘",◆１,きんおう,,＊『南史-朱异伝』,"金甌無欠（きんおうむけつ）
★「金甌」は、黄金のかめ(瓶)のこと。
★少しの傷もない黄金の甌(ｶﾒ)のように、完全で欠点がない意。
類：完全無欠（かんぜんむけつ）",金甌無欠,金甌
E0132,粗悪な者が善美な者のあとに続く。,"比肩[随踵]
[行尸]走肉
[霓裳]羽衣
狗尾[続貂]",◆１,ぞくちょう,,＊『晋書-趙王倫伝』,"狗尾続貂（くびぞくちょう／こうびぞくちょう）
★官爵を乱発するのをののしる語。
★「狗尾」は、犬の尾。
★「貂」は、てん。
★晋の趙王倫(ﾁｮｳｵｳﾘﾝ)の一族が力を得てみな高位高官に登り、貂(ﾃﾝ)の尾で飾った冠をつけたため、当時の人がこの様子では貂が不足し犬の尾の飾りの冠を付けるほかないと罵ったという故事から。
類：続貂之譏（ぞくちょうのそしり）",狗尾続貂,続貂
E0133,心に銘記して片時も忘れない。,"自己[韜晦]
旁時[掣肘]
彫心[鏤骨]
拳拳[服膺]",◆１,ふくよう,,＊『中庸』,"拳拳服膺（けんけんふくよう）
★「拳拳」は、両手で大切にささげ持つこと。
★「服膺」は、胸に刻んで忘れないことで、人の教えや言葉を常に心にとどめて大切に守る意。",拳拳服膺,服膺
E0134,往来の雑踏すること。,"肩摩[轂撃]
非難[囂囂]
兵馬[倥偬]
[澆季]溷濁",◆１,こくげき,,＊『戦国策-斉策』,"肩摩轂撃（けんまこくげき）
★「肩摩」は、肩と肩が擦れ合うこと。
★「轂撃」は、轂と轂がぶつかりあう意。
★人と人の肩がこすれあい、車と車の軸受けがぶつかり合うほどの混雑のこと。
類：比肩随踵（ひけんずいしょう）
類：轂撃肩摩（こくげきけんま）",肩摩轂撃,轂撃
E0135,相思の仲でも遠く離れていること。,"[蓴羹]鱸膾
[牽攣]乖隔
風雨[対牀]
浮雲[翳日]",◆１,けんれん,,＊『白居易-与微之書』,"牽攣乖隔（けんれんかいかく）
★「牽攣」は、互いに心引かれる意。
★「乖隔」は、遠く離れていること。",牽攣乖隔,牽攣
E0136,心が清らかで朗らかなこと。,"[琴瑟]相和
[灑掃]応対
[三釁]三浴
光風[霽月]",◆１,せいげつ,,＊『黄庭堅-濂渓詩序』,"光風霽月（こうふうせいげつ）
★「霽」は、晴れる意。
★太陽の光の中を爽やかに吹く風と、雨上がりの澄み切った空に出る月のこと。
類：明鏡止水（めいきょうしすい）
類：虚心坦懐（きょしんたんかい）",光風霽月,霽月
E0137,多くの船が連なり続くさま。,"傾側[偃仰]
旌旗[巻舒]
[舳艫]千里
[嚆矢]濫觴",◆１,じくろ,,＊『漢書-武帝紀』,"舳艫千里（じくろせんり）
★「舳」は、船のとも。
★「艫」は、船のへさき。
★「千里」は、はるかに続く長い距離。
★ある船の船尾に次の船の船首がくっつくようにして連なるさまをいう。",舳艫千里,舳艫
E0138,相手を自由自在に操り懐柔する。,"七縦[七擒]
[豁達]自由
[輾転]反側
籠鳥[檻猿]",◆１,しちきん,,＊『三国志-蜀書･諸葛亮伝･注』,"七縦七擒（しちしょうしちきん）
★「七縦」は、七回縦(ﾊﾅ)つこと。
★「七擒」は、七回擒(ﾄﾗ)えること。
★中国三国時代、蜀の諸葛亮が敵将の孟獲を七回擒(ﾄﾘｺ)にして、七回縦(ﾊﾅ)ったところ、ついに背かなくなったという故事から。
類：七擒七縦（しちきんしちしょう）",七縦七擒,七擒
E0139,声を上げて奮起させること。,"喋喋[喃喃]
[叱咤]激励
[砥礪]切磋
精励[恪勤]",◆１,しった,,＊『島原半島』,"叱咤激励（しったげきれい）
★「叱咤」は、大声でしかること。転じて、大声で励ますこと。
★「激励」は、励まして元気づける意。
類：鼓舞激励（こぶげきれい）
類：叱咤督励（しったとくれい）
類：啓発激励（けいはつげきれい）",叱咤激励,叱咤
E0140,人の地位や成功を横取りすること。,"[燕頷]虎頸
[跖狗]吠尭
七縦[七擒]
[鵲巣]鳩居",◆１,じゃくそう,,＊『詩経-召南･鵲巣』,"鵲巣鳩居（じゃくそうきゅうきょ）
★巣作りのうまい鵲(ｶｻｻｷﾞ)の巣に、巣作りのへたな鳩が入ってすみつく意。
類：鳩居鵲巣（きゅうきょじゃくそう）
類：鵲巣鳩占（じゃくそうきゅうせん）",鵲巣鳩居,鵲巣
E0141,君主が政務に精励するさま。,"鳳凰[銜書]
宵衣[旰食]
[寤寐]思服
発揚[蹈厲]",◆１,かんしょく,,＊『唐書-劉蕡伝』,"宵衣旰食（しょういかんしょく）
★夜明け前（宵）から正服を着て政治に励み、太陽が沈んで（旰）から夕食をとること。
★略して「宵旰」ともいう。",宵衣旰食,旰食
E0142,芸術作品などの玄妙なるさま。,"滑稽[洒脱]
千巌[万壑]
[瀟湘]八景
神韻[縹渺]",◆１,ひょうびょう,,＊『日本風景論』,"神韻縹渺／神韻縹緲／神韻縹眇（しんいんひょうびょう）
★「神韻」は、人間わざとは思えないようなすぐれた趣のこと。
★「縹渺」は、遠く遥かな意。",神韻縹渺,縹渺
E0143,状況に応じて適切な処理をとる。,"[深厲]浅掲
狐裘[羔袖]
一薫[一蕕]
狗吠[緇衣]",◆１,しんれい,,＊『詩経-邶風･匏有苦葉』,"深厲浅掲（しんれいせんけい）
★「厲」は、高くあげる意。
★「掲」は、着物のすそをからげること。
★川が深ければ着物を高くたくしあげ、浅ければすそをからげて渡るということから。
類：随機応変（ずいきおうへん）
類：量体裁衣（りょうたいさいい）
類：臨機応変（りんきおうへん）
「深ければ厲(ﾚｲ)し、浅ければ掲(ｹｲ)す」",深厲浅掲,深厲
E0144,慈母の鴻恩に報いる難しさをいう。,"寸草[春暉]
家鶏[野雉]
[舐糠]及米
曽母[投杼]",◆１,しゅんき,,＊『孟郊-遊子吟』,"寸草春暉（すんそうしゅんき）
★父母の恩は大きくその万分の一も報いることが難しいことのたとえ。
★「寸草」は、丈の低い草の意で、子が親の恩に報いようとするほんのわずかな心のたとえ。
★「春暉」は、春の陽光の意で、父母の広大な慈愛をいう。
類：寸草之心（すんそうのこころ）",寸草春暉,春暉
E0145,修養を積み有用の器となるたとえ。,"[蹇蹇]匪躬
[探驪]獲珠
[鏃礪]括羽
[甕牖]縄枢",◆１,ぞくれい,,＊『説苑-建本』,"鏃礪括羽（ぞくれいかつう）
★「括羽」は、矢筈(ﾔﾊｽﾞ)と鳥羽の意。
★竹に礪(ﾄ)いだ鏃(ﾔｼﾞﾘ)をつけ、さらに矢筈(ﾔﾊｽﾞ)と鳥羽をつけて鋭い矢にすることから。",鏃礪括羽,鏃礪
E0146,大変な苦労をすること。,"自己[韜晦]
炊金[饌玉]
彫心[鏤骨]
[三釁]三浴",◆１,るこつ,ろうこつ,＊『海潮音･序』,"彫心鏤骨（ちょうしんるこつ／ちょうしんろうこつ）
★心にきざみ骨に鏤(ﾁﾘﾊﾞ)める意。
類：粉骨砕身（ふんこつさいしん）
類：彫肝琢腎（ちょうかんたくじん）
「心に彫(ﾎ)り骨に鏤(ｷｻﾞ)む」",彫心鏤骨,鏤骨
E0147,戦いの準備を常に怠らないたとえ。,"倒載[干戈]
[枕戈]待旦
干戚[羽旄]
[轂撃]肩摩",◆１,ちんか,,＊『晋書-劉琨伝』,"枕戈待旦（ちんかたいたん）
★戈(ﾎｺ)を枕にして眠り、朝になるのを待つ意。
類：枕戈寝甲（ちんかしんこう）
「戈(ﾎｺ)を枕にして旦(ｱｼﾀ)を待つ」",枕戈待旦,枕戈
E0148,以心伝心の妙所をいう。,"雲烟[縹渺]
[渾然]一体
[結跏]趺坐
[拈華]微笑",◆１,ねんげ,,＊『五灯会元』,"拈華微笑／拈花微笑（ねんげみしょう）
★釈迦が弟子に説法している時、ハスの花を拈(ﾋﾈ)って見せたが、弟子たちはその意味が分からずただ一人迦葉(ｶｼｮｳ)だけが悟ってにっこりと笑った。そこで釈迦は彼に仏法の奥義を授けたという故事から。
類：破顔微笑（はがんみしょう）
類：以心伝心（いしんでんしん）
類：教外別伝（きょうげべつでん）
類：不立文字（ふりゅうもんじ）
類：維摩一黙（ゆいまいちもく）",拈華微笑,拈華
E0149,どこから見ても美しく鮮明なこと。,"明窓[浄几]
円滑[洒脱]
[輪奐]一新
八面[玲瓏]",◆１,れいろう,,＊『馬熙-開窓看雨･詩』,"八面玲瓏（はちめんれいろう）
★「八面」は、あらゆる方面のこと。
★「玲瓏」は、美しく輝くさま、美しく透き通るさま。
★どこから見ても曇りがなく鮮やかで美しい意。
類：八方美人（はっぽうびじん）",八面玲瓏,玲瓏
E0150,ひどく急ぎ慌てるたとえ。,"被髪[纓冠]
被髪[左袵]
朝耕[暮耘]
[朝齏]暮塩",◆１,えいかん,,＊『孟子-離婁･下』,"被髪纓冠（ひはつえいかん）
★「被髪」は、髪の毛をふり乱したさま。
★「纓冠」は、冠のひもを結ぶこと。
★髪をふり乱したまま冠のひもを結ぶ意。",被髪纓冠,纓冠
E0151,勢いが激しくすばやいたとえ。,"[慷慨]憤激
[霹靂]閃電
[波瀾]曲折
落英[繽紛]",◆１,へきれき,,＊『隋書-長孫晟伝』,"霹靂閃電（へきれきせんでん）
★「霹靂」は、急に激しく鳴る雷の意。
★「閃電」は、ぴかっと光る稲妻。
★急に激しく鳴りきらめきひかる稲妻の意。",霹靂閃電,霹靂
E0152,質素な家宅のこと。,"浮家[泛宅]
粗衣[糲食]
茅屋[采椽]
鑿窓[啓牖]",◆１,さいてん,,＊『漢書-芸文志』,"茅屋采椽／茅屋採椽（ぼうおくさいてん）
★「茅屋」は、かやぶきの屋根のこと。
★「采椽」は、山から切り出したままのたるきの意。",茅屋采椽,采椽
E0153,筆跡が黒々として精彩に富むさま。,"[燕頷]投筆
[鴉巣]生鳳
朱墨[爛然]
墨痕[淋漓]",◆１,りんり,,＊『落梅集』,"墨痕淋漓（ぼっこんりんり）
★「墨痕」は、墨で表現したもの。
★「淋漓」は、水や血などがしたたるさま。転じて、筆勢などの盛んなさま。",墨痕淋漓,淋漓
E0154,猛烈な暑さのたとえ。,"夏癸[殷辛]
流血[淋漓]
枕流[漱石]
流金[鑠石]",◆１,しゃくせき,,＊『楚辞-招魂』,"流金鑠石（りゅうきんしゃくせき）
★昔、十個の太陽が同時に昇り金石などの堅剛なものもみな照らし溶かしたという故事による。
類：流金焦土（りゅうきんしょうど）
「金(ｷﾝ)を流(ﾅｶﾞ)し石(ｲｼ)を鑠(ﾄｶ)す」",流金鑠石,鑠石
E0155,豪傑が拠点を構えて威勢を振るう。,"竜蟠[虎踞]
老驥[伏櫪]
豪放[磊落]
大廈[高楼]",◆１,こきょ,,＊『李白-永王東巡歌』,"竜蟠虎踞／竜盤虎踞（りょうばんこきょ／りゅうばんこきょ）
★「竜蟠」は、竜がとぐろを巻くこと。
★「虎踞」は、虎がうずくまる意。",竜蟠虎踞,虎踞
E0156,見識がなく、濫りに同調すること。,"得隴[望蜀]
家鶏[野鶩]
[矮子]看戯
[啐啄]同時",◆１,わいし,,＊『朱子語類･一一六』,"矮子看戯（わいしかんぎ）
★観劇のとき背の低い人（矮子）が高い人のうしろで芝居を見る意。
類：矮人観場（わいじんかんじょう）
類：観場矮人（かんじょうわいじん）
類：矮人看戯（わいじんかんぎ）",矮子看戯,矮子
E0157,物事が一気に進行すること。,"皓月[千里]
[一瀉]千里
[毫釐]千里
[舳艫]千里",◆１,いっしゃ,,＊『韓愈-貞女峡詩』,"一瀉千里（いっしゃせんり）
★「瀉」は、傾斜地を水が勢いよく流れ出すこと。
★水が傾斜地を流れ出すと一気に千里もの距離を流れ下る意。
類：一瀉百里（いっしゃひゃくり）",一瀉千里,一瀉
E0158,無駄な書物の刊行を非難する語。,"詩人[蛻骨]
[畳牀]架屋
載籍[浩瀚]
[禍棗]災梨",◆１,かそう,,＊『閲微草堂筆記』,"禍棗災梨（かそうさいり）
★棗や梨などは版木の材料だが、くだらぬ書物を刊行することは、棗や梨の木にはとんだ災難だということ。",禍棗災梨,禍棗
E0159,自由を束縛された境遇のたとえ。,"家鶏[野雉]
籠鳥[檻猿]
独立[不羈]
頑迷[固陋]",◆１,かんえん,,＊『白居易-山中与元九書因題書後』,"籠鳥檻猿（ろうちょうかんえん）
★かごの鳥と、おりの中の猿の意。
類：檻猿籠鳥（かんえんろうちょう）",籠鳥檻猿,檻猿
E0160,詩歌を詠むことを競う風流な遊び。,"杯盤[狼藉]
[秉燭]夜遊
花鳥[諷詠]
曲水[流觴]",◆１,りゅうしょう,,＊『王羲之-蘭亭集序』,"曲水流觴（きょくすいりゅうしょう）
★「曲水」は、いく曲がりも曲げて作った人工の小川のこと。
★「觴」は、杯の意。
類：流觴曲水（りゅうしょうきょくすい）
類：曲水之宴（きょくすいのえん）",曲水流觴,流觴
E0161,後先考えない、うわついた言動。,"剽疾[軽悍]
[軽佻]浮薄
[槃根]錯節
[訥言]敏行",◆１,けいちょう,,＊『両国立志編･一三』,"軽佻浮薄／軽窕浮薄（けいちょうふはく）
★「軽佻」は、考えが浅く調子にのった言動をすること。
★「浮薄」は、うわついていて軽々しい意。
類：軽佻浮華（けいちょうふか）
類：軽佻佞巧（けいちょうねいこう）
類：軽率短慮（けいそくたんりょ）
類：鼻先思案（はなさきしあん）",軽佻浮薄,軽佻
E0162,軽快で洗練されているさま。,"剣抜[弩張]
[嘯風]弄月
[軽佻]浮薄
軽妙[洒脱]",◆１,しゃだつ,,＊『芝木好子-湯葉』,"軽妙洒脱／軽妙灑脱（けいみょうしゃだつ）
★「軽妙」は、軽く快いこと。
★「洒脱」は、俗気がなくさっぱりしているさま。
類：滑稽洒脱（こっけいしゃだつ）",軽妙洒脱,洒脱
E0163,自分の利害を顧みず主君に尽くす。,"[蹇蹇]匪躬
一気[呵成]
一士[諤諤]
慧可[断臂]",◆１,けんけん,,＊『易経-蹇』,"蹇蹇匪躬（けんけんひきゅう）
★「蹇蹇」は、身を苦しめても忠義を尽くすこと。
★「匪躬」は、「躬(ﾐ)の故(ﾕｴ)に匪(ｱﾗ)ず」の略で、自分の功名や富を捨て去る意。
「王臣(ｵｳｼﾝ)蹇蹇、躬の故に匪ず」",蹇蹇匪躬,蹇蹇
E0164,意志が強く、飾り気がないこと。,"[一蹶]不振
[枉尺]直尋
[刮目]相待
剛毅[木訥]",◆１,ぼくとつ,,＊『論語-子路』,"剛毅木訥／剛毅朴訥／剛毅朴吶（ごうきぼくとつ）
★「剛毅」は、意志が強くくじけない。
★「木訥」は、飾り気がなく無口で無骨なこと。
「剛毅木訥仁(ｼﾞﾝ)に近し」",剛毅木訥,木訥
E0165,痩せさらばえた顔容のたとえ。,"荒瘠[斥鹵]
槁項[黄馘]
哀鳴[啾啾]
痩身[矮軀]",◆１,こうかく,,＊『荘子-列禦寇』,"槁項黄馘（こうこうこうかく）
★「槁項」は、やせ細った首筋。
★「馘」は、顔。
★やせ細った首と疲れ果てて黄色くなった顔の意。",槁項黄馘,黄馘
E0166,起源のたとえ。,"深根[固蔕]
[緊褌]一番
[嚆矢]濫觴
跼天[蹐地]",◆１,こうし,,＊『不明』,"嚆矢濫觴（こうしらんしょう）
★「嚆矢」は、かぶら矢の意で、昔戦いの開始のしるしにかぶら矢を敵陣に射かけたことから、物事のはじまりをいう。
★「濫觴」は、大河もそのはじまりは觴(ｻｶｽﾞｷ)にあふれるほどの小さな流れであることから、同じく物事のはじめの意。",嚆矢濫觴,嚆矢
E0167,踏み行うべき道理はすぐ側にある。,"[在邇]求遠
吹毛[求疵]
[瞻望]咨嗟
区聞[陬見]",◆１,ざいじ,,＊『孟子-離婁･上』,"在邇求遠（ざいじきゅうえん）
★邇(ﾁｶ)くに在るのに、遠い所に求めるという意。
類：舎近求遠（しゃきんきゅうえん）
類：舎近謀遠（しゃきんぼうえん）
「邇(ﾁｶ)きに在(ｱ)りて遠きに求む」",在邇求遠,在邇
E0168,書物の数がきわめて多いたとえ。,"零絹[尺楮]
[七嘴]八舌
[韋編]三絶
載籍[浩瀚]",◆１,こうかん,,＊『文心雕竜-事類類』,"載籍浩瀚（さいせきこうかん）
★「載籍」は、事柄を記載した書籍の意から、書物のこと。
★「浩瀚」は、書物の巻数が多い意。
類：汗牛充棟（かんぎゅうじゅうとう）",載籍浩瀚,浩瀚
E0169,貧乏の身で苦学すること。,"[在邇]求遠
[鑿壁]偸光
[槁項]黄馘
[郢書]燕説",◆１,さくへき,,＊『西京雑記･二』,"鑿壁偸光（さくへきとうこう）
★壁に穴を開けて（鑿壁）隣家の光を盗んで（偸光）学ぶ意。
★前漢の匡衡(ｷｮｳｺｳ)が若いとき貧乏で灯火の油が買えず、壁に穴を開けて隣家の灯の光で書物を読んで学問をし、のち大学者となった故事による。
類：匡衡壁鑿（きょうこうへきさく）
「壁を鑿(ｳｶﾞ)ちて光を偸(ﾇｽ)む」",鑿壁偸光,鑿壁
E0170,互いに手をとり合い協力すること。,"五行[相剋]
[拱手]傍観
[牛驥]同皁
左提[右挈]",◆１,ゆうけつ,,＊『漢書-張耳陳余伝』,"左提右挈（さていゆうけつ）
★左右の手でたずさえる意。
類：左提右携（さていゆうけい／さていうけい）",左提右挈,右挈
E0171,身を清めて大切な相手を待つこと。,"風鬟[雨鬢]
洗垢[索瘢]
[三釁]三浴
[灑掃]応対",◆１,さんきん,,＊『国語-斉語』,"三釁三浴（さんきんさんよく）
★「釁」は、香料を体に塗り付けること。
★「浴」は、湯浴みすること。
★幾度も体を洗い清め、幾度も香を塗り染めよい香りをつけて人を待つ意。
類：三薫三沐（さんくんさんもく）
類：三浴三薫（さんよくさんくん）",三釁三浴,三釁
E0172,三世帯が一家に同居すること。,"[尭階]三尺
一家[眷族]
翠帳[紅閨]
三世[一爨]",◆１,いっさん,,＊『唐書-崔邠伝』,"三世一爨（さんせいいっさん）
★三代の一族が一つの爨(ｶﾏﾄﾞ)で煮炊きして住む意。
類：三世同居（さんせいどうきょ）
類：三世同爨（さんせいどうさん）
類：三世同堂（さんせいどうどう）",三世一爨,一爨
E0173,恥辱を受けることのたとえ。,"残杯[冷炙]
顔厚[忸怩]
[槁木]死灰
[麪市]塩車",◆１,れいしゃ,,＊『顔氏家訓-雑芸』,"残杯冷炙（ざんぱいれいしゃ）
★飲み残りの酒と、冷え切った炙り物の肉の意。
類：残杯冷肴（ざんぱいれいこう）
類：残羹冷炙（ざんこうれいしゃ）",残杯冷炙,冷炙
E0174,あちこちから意見の出ること。,"百様[玲瓏]
南蛮[鴃舌]
[罵詈]雑言
[七嘴]八舌",◆１,しちし,,＊『袁枚-牘外余言』,"七嘴八舌（しちしはちぜつ）
★七つの嘴(ｸﾁﾊﾞｼ)と、八つの舌の意。",七嘴八舌,七嘴
E0175,書画が見苦しく拙いたとえ。,"[斟酌]折中
[彗氾]画塗
[春蚓]秋蛇
[雕文]刻鏤",◆１,しゅんいん,,＊『晋書-王羲之伝賛』,"春蚓秋蛇（しゅんいんしゅうだ）
★春の蚯蚓(ﾐﾐｽﾞ)や秋の蛇のように、字も行もうねうねと曲がりくねっているということ。",春蚓秋蛇,春蚓
E0176,学問や修養に励み大成を期すこと。,"[砥礪]切磋
冒雨[剪韮]
[鞭辟]近裏
[臍下]丹田",◆１,しれい,,＊『言志録』,"砥礪切磋／砥礪切瑳（しれいせっさ）
★「砥」「礪」「磋」は、とぎ磨く意。
★「切」は、骨などを断ち切る意。
類：切磋琢磨（せっさたくま）",砥礪切磋,砥礪
E0177,持ちつ持たれつの関係をいう。,"比肩[随踵]
[脣歯]輔車
七縦[七擒]
[刮目]相待",◆１,しんし,,＊『春秋左氏伝-僖公五年』,"脣歯輔車／唇歯輔車（しんしほしゃ）
★「輔車」は、添え木と荷台。また、頰骨（輔）と下顎の骨（車）という説もある。
★「脣歯」は、脣(ｸﾁﾋﾞﾙ)と歯。
★輔車と唇歯のように、一方が欠けると他方がだめになるような関係をいう。
類：脣亡歯寒（しんぼうしかん）
類：輔車相衣（ほしゃそうい）
類：輔車唇歯（ほしゃしんし）
類：輔車脣歯（ほしゃしんし）
「輔車は相依(ｱｲﾖ)り脣(ｸﾁﾋﾞﾙ)亡(ﾎﾛ)ぶれば歯寒し」",脣歯輔車,脣歯
E0178,間断なく仕事に明け暮れること。,"[一瀉]千里
蚤寝[晏起]
[旁時]掣肘
[晨夜]兼道",◆１,しんや,,＊『資治通鑑-漢紀』,"晨夜兼道（しんやけんどう）
★「晨夜」は、朝と夜、朝早くから夜遅くまで。
★「兼道」は、行程を倍にして行く、大急ぎで行くこと。
類：昼夜兼行（ちゅうやけんこう）",晨夜兼道,晨夜
E0179,至上の美食。,"玉肌[香膩]
宵衣[旰食]
[黄粱]一炊
炊金[饌玉]",◆１,せんぎょく,,＊『駱賓王-帝京篇』,"炊金饌玉（すいきんせんぎょく）
★金を炊いて食物とし、玉を取り揃えて膳に並べる意。
類：饌玉炊金（せんぎょくすいきん）
類：食前方丈（しょくぜんほうじょう）
「金を炊(ﾀ)き、玉を饌(ｾﾝ)す」",炊金饌玉,饌玉
E0180,酩酊してよろめくさま。,"[邯鄲]学歩
横行[闊歩]
酔歩[蹣跚]
[跂行]喙息",◆１,まんさん,ばんさん,＊『花柳春話･二七』,"酔歩蹣跚（すいほまんさん／すいほばんさん）
★「蹣跚」は、よろめくこと。
類：酔眼朦朧（すいがんもうろう）",酔歩蹣跚,蹣跚
E0181,小さな勢力が成長し猖獗を極める。,"星火[燎原]
為虎[傅翼]
南郭[濫竽]
烟波[縹渺]",◆１,りょうげん,,＊『後漢書-周紆伝』,"星火燎原（せいかりょうげん）
★「星火」は、見える星のような小さな火。
★「燎原」は、野原を焼き払うこと。
★反乱や一揆などは初めは力が小さくてもだんだん広がって防ぎようがなくなることをたとえたもの。",星火燎原,燎原
E0182,戦いに明け暮れること。,"[澆季]末世
[晨夜]兼道
旌旗[巻舒]
星火[燎原]",◆１,けんじょ,,＊『三国志-魏書･傅嘏伝』,"旌旗巻舒（せいきけんじょ）
★「旌旗」は、はた、旗の総称。
★「巻舒」は、巻いたり広げたりすること。
★軍旗を巻いたり、広げたりして戦いに明け暮れること。",旌旗巻舒,巻舒
E0183,仲間同士競い合って学徳を高める。,"[鏃礪]括羽
[崑山]片玉
戦戦[兢兢]
[切磋]琢磨",◆１,せっさ,,＊『詩経-衛風･淇奥』,"切磋琢磨／切瑳琢磨（せっさたくま）
★「切」は、象牙や獣骨を切る。
★「切」は、大まかに刀で形を整え、「磋」は、やすりで砥ぐことで、骨や象牙の細工の仕方。
★「琢」は、原石を打ち不純物を除き、「磨」は、砂･砥石(ﾄｲｼ)で磨き光沢を出すことで、玉石の細工の仕方。",切磋琢磨,切磋
E0184,酒を味わって小声で詩歌を吟ずる。,"残杯[冷炙]
嚆矢[濫觴]
[朮羹]艾酒
[浅斟]低唱",◆１,せんしん,,＊『不明』,"浅斟低唱（せんしんていしょう）
★「浅斟」は、軽く酒を酌み交わす。
★「低唱」は、低い声で詩や歌を歌うこと。
類：低唱浅斟（ていしょうせんしん）
類：浅酌低唱（せんしゃくていしょう）
類：浅酌微吟（せんしゃくびぎん）",浅斟低唱,浅斟
E0185,自然を愛好してやまない。,"[禹歩]舜趨
泉石[膏肓]
翼覆[嫗煦]
[紫髥]緑眼",◆１,こうこう,,＊『旧唐書-田游巌伝』,"泉石膏肓（せんせきこうこう）
★「泉石」は、流水と石、山水のたたずまい。
★「膏」は。胸の下のところ。「肓」は、胸と腹の間の薄い膜。病気が入ったら治る見込みがない場所とされる。
★俗世を離れて山水の中で暮らしたい気持ちが癒やしがたい病気のように切なことをいう。",泉石膏肓,膏肓
E0186,親に孝養を尽くすこと。,"[折檻]諫言
[偕老]同穴
[夏鑪]冬扇
扇枕[温衾]",◆１,おんきん,,＊『晋書-王延伝』,"扇枕温衾（せんちんおんきん）
★夏には枕元で扇であおいで涼しくし、冬には自分の体温で親の布団（衾）を温めてから親を寝かせる意。
類：扇枕温被（せんちんおんぴ）
類：温凊定省（おんせいていせい）",扇枕温衾,温衾
E0187,世の中の変遷が甚だしいこと。,"[霹靂]閃電
一縷[千鈞]
[袒裼]裸裎
桑田[滄海]",◆１,そうかい,,＊『劉希夷-代悲白頭翁』,"桑田滄海（そうでんそうかい）
★桑畑（桑田）が青海原（滄海）に変わる意。
類：滄海桑田（そうかいそうでん）
類：桑田碧海（そうでんへきかい）
類：東海桑田（とうかいそうでん）
類：滄海揚塵（そうかいようじん）
「桑田変じて滄海となる」",桑田滄海,滄海
E0188,天下泰平であることのたとえ。,"草満[囹圄]
[槿花]一朝
[禹湯]文武
衆賢[茅茹]",◆１,れいご,れいぎょ,＊『隋書-劉曠伝』,"草満囹圄（そうまんれいご／そうまんれいぎょ）
★「囹圄」は、牢獄のこと。
★獄舎に罪人がいないため、草が生い茂るということから。
「草(ｸｻ)、囹圄(ﾚｲｺﾞ)に満つ」",草満囹圄,囹圄
E0189,平和的交渉で有利に話を運ぶこと。,"[樽俎]折衝
扇枕[温衾]
[奸智]術数
罵詈[讒謗]",◆１,そんそ,,＊『晏子春秋-内編･雑上』,"樽俎折衝／尊俎折衝（そんそせっしょう）
★「樽俎」は、酒だると肉料理をのせる台。
★「折衝」は、敵の兵軍の勢いをくじく意。
類：折衝樽俎（せっしょうそんそ）",樽俎折衝,樽俎
E0190,飲食物を携えて軍隊を労うこと。,"[枉駕]来臨
[霖雨]蒼生
[一饋]十起
簞食[壺漿]",◆１,こしょう,,＊『孟子-梁恵王･下』,"簞食壺漿／簞食瓠漿（たんしこしょう）
★竹の器の飯（簞食）と、壺の飲み物（壺漿）で軍隊を迎える意。",簞食壺漿,壺漿
E0191,災いを防ぐ準備をしておくこと。,"拳拳[服膺]
[徙薪]曲突
烟波[縹渺]
[綢繆]未雨",◆１,ちゅうびゅう,,＊『詩経-豳風･鴟鴞』,"綢繆未雨（ちゅうびゅうみう）
★「綢繆」は、固めふさぐ、つくろうこと。
★「未雨」は、まだ雨が降らないうちにの意。
★小鳥が雨が降る前に巣の隙間を固めつくろうことから。
類：綢繆牖戸（ちゅうびゅうゆうこ）",綢繆未雨,綢繆
E0192,末節ばかりの技巧や小細工。,"彫虫[篆刻]
[春蚓]秋蛇
[麤枝]大葉
毫毛[斧柯]",◆１,てんこく,,＊『法言-吾子』,"彫虫篆刻／雕虫篆刻（ちょうちゅうてんこく）
★虫の形や複雑な篆書の字を刻みつけるような、こまかな細工ということから。
類：咬文嚼字（こうぶんしゃくじ）
類：雕虫の小技（ちょうちゅうのしょうぎ）",彫虫篆刻,篆刻
