ID,難易度,熟語,意味,読み,文章
A0150,◆１,軽躁,"軽躁（けいそう）
┌軽はずみに騒ぐこと。考えがあさはかなこと。〈漢字ペディア〉
┌落ち着きがなく騒がしいこと。思慮が浅く軽はずみなこと。また、そのさま。〈大辞泉〉",けいそう,軽はずみに騒ぐこと。考えがあさはかなこと。
A0151,◆１,緞帳,"緞帳（どんちょう）
┌1.(国)緞子(ﾄﾞﾝｽ)で作った幕。
└2.巻いてあげさげするようにした垂れ幕。また、下等の芝居小屋に用いたので、転じて、低級な芝居。また、へたな役者。〈漢字源〉
┌1.厚地の織物でつくった模様入りの布。帳(ﾄﾊﾞﾘ)などに用いる。
├2.劇場の舞台と観客席とを仕切る垂れ幕。厚地に絵や刺繍などを施した幕で、上下に開閉する。緞帳幕。
└3.｢緞帳芝居｣｢緞帳役者｣の略。〈大辞泉〉
┌1.刺繡(シシュウ)で模様をあしらった厚地の布。仕切りなどに用いる。
└2.劇場で、巻いて上げ下ろしする厚地の幕。〈漢字ペディア〉",どんちょう,緞子で作った幕。巻いてあげさげするようにした垂れ幕。また、下等の芝居小屋に用いたので、転じて、低級な芝居。また、へたな役者。
A0152,◆１,眈眈,"眈眈（たんたん）
┌鋭い目つきで獲物をねらうさま。また、野心をもって機会を狙うさま。〈大辞泉〉
┌1.見おろすさま。欲深く狙い視るさま。
└2.奥深いさま。〈漢字源〉
┌鋭い目つきでねらい見るさま。すきあらばとねらうさま。〈漢字ペディア〉",たんたん,鋭い目つきで獲物をねらうさま。また、野心をもって機会を狙うさま。
A0153,◆１,朴訥,"朴訥（ぼくとつ）
┌質朴で訥弁(ﾄﾂﾍﾞﾝ:くちべた)朴訥であること。かざりけがなく、口数が少ないこと。また、そのさま。〈大辞泉〉
┌口数が少なく飾り気のないこと。≒木訥〈漢字ペディア〉",ぼくとつ,質朴で訥弁朴訥であること。かざりけがなく、口数が少ないこと。また、そのさま。
A0154,◆１,玻璃,"玻璃（はり）
┌1.仏教で、七宝の一。水晶のこと。
├2.ガラスの異称。
└3.火山岩中に含まれる非結晶質の物質。〈大辞泉〉
┌天然ガラス。また、仏教で、七宝の一つである水晶のこと。〈漢字源〉
┌1.仏七宝の一つ。水晶。梵語(ﾎﾞﾝｺﾞ)の音訳による語。
└2.ガラスの別称。〈漢字ペディア〉
★瑠璃(ﾙﾘ)も玻璃も照(ﾃ)らせば光(ﾋｶ)る…すぐれた素質や才能をもつものは、どこにいても目立つというたとえ。〈大辞泉〉",はり,仏教で、七宝の一。水晶のこと。ガラスの異称。火山岩中に含まれる非結晶質の物質。
A0155,◆１,躊躇,"躊躇（ちゅうちょ）
┌1.ためらって、行きなやむ。また、物事を進めかねてためらう。
└2.あわてない。ゆったりとする。〈新漢和大字典〉
┌あれこれ迷って決心できないこと。ためらうこと。〈大辞泉〉
┌決心がつかず迷うこと。ぐずぐずと、ためらうこと。〈漢字ペディア〉
★「躊躇う／躊う」で「ためら-う」とも読む。",ちゅうちょ,ためらって、行きなやむ。また、物事を進めかねてためらう。あわてない。ゆったりとする。
A0156,◆１,茶筅,"茶筅（ちゃせん）
┌≒茶筌
├1.抹茶に湯を注ぎ、かき回して茶をたてる竹製の道具。
└2.「茶筅髪」の略。後ろに束ねてひもで結び、先を茶筅のようにした髪の結い方。男子は中世から、女子は江戸時代に普及した。〈漢字ペディア〉
┌1.抹茶をたてるとき、かきまわして泡を立てたり、練ったりする竹製の具。9センチくらいの竹筒の半分以上を細く割って穂とし、その末端を少し内に曲げたもの。煤竹(ｽｽﾀﾞｹ)･白竹･紫竹･青竹などを用いる。
└2.「茶筅髪(ﾁｬｾﾝｶﾞﾐ)」の略。〈大辞泉〉",ちゃせん,抹茶に湯を注ぎ、かき回して茶をたてる竹製の道具。「茶筅髪」の略。後ろに束ねてひもで結び、先を茶筅のようにした髪の結い方。男子は中世から、女子は江戸時代に普及した。
A0157,◆１,粗鬆,"粗鬆（そしょう、そそう）
┌こまやかでないこと。大ざっぱであらいこと。また、そのさま。〈大辞林〉
┌おおざっぱであらいこと。きめがあらく、ざらざらしていること。〈漢字ペディア〉
★「骨""粗鬆""症（こつそしょうしょう）」",そしょう、そそう,こまやかでないこと。大ざっぱであらいこと。また、そのさま。
A0158,◆１,琥珀,"琥珀（こはく）
┌1.地質時代の樹脂が地中で化石になったもの。ふつうは黄褐色で透明。装飾品に用いる。
└2.「琥珀織」の略。平織で横にうねを表した絹織物。着物の帯などに用いる。〈漢字ペディア〉
┌宝石の一つ。太古の松やになど樹脂の化石。黄色で透明または半透明のものが多い。〈漢字源〉
★琥珀は腐芥(ﾌｶｲ)を取(ﾄ)らず…廉潔の人は、不義･不正を身に近づけたりはしないということのたとえ。琥珀はちりを吸いつけるが、くさったごみまでは吸いつけないという意から。〈漢字ペディア〉",こはく,地質時代の樹脂が地中で化石になったもの。ふつうは黄褐色で透明。装飾品に用いる。「琥珀織」の略。平織で横にうねを表した絹織物。着物の帯などに用いる。
A0159,◆１,嘖嘖,"嘖嘖（さくさく）
┌やかましくいう。〈字通〉
┌人々が口々に言いはやすさま。しきりに言うさま。〈漢字ペディア〉",さくさく,やかましくいう。
A0160,◆１,迂闊,"迂闊（うかつ）
┌1.間が抜けて実際の役に立たない。
└2.(国)うっかりする。不注意である。〈漢字源〉
┌1.うっかりしていて心の行き届かないこと。また、そのさま。
└2.回り遠くて実情にそぐわないこと。実際の役に立たないこと。また、そのさま。〈大辞泉〉
┌注意力が足りずに、うっかりしているさま。〈漢字ペディア〉",うかつ,間が抜けて実際の役に立たない。うっかりする。不注意である。
A0161,◆１,不埒,"不埒（ふらち）
┌具人の道や法にはずれること。≒不届き〈漢字ペディア〉
┌1.道理にはずれていて、けしからぬこと。また、そのさま。ふとどき。
└2.要領を得ないこと。埒のあかないこと。また、そのさま。〈大辞泉〉",ふらち,具人の道や法にはずれること。
A0162,◆１,蛇蠍,"蛇蠍（だかつ、じゃかつ）
┌へびとさそり。人の恐れ嫌うもののたとえ。〈大辞林〉
┌へびとさそり。人が恐れ嫌うもののたとえ。〈大辞泉〉
┌へびと、さそり。おそれ嫌われるもの。〈字通〉
┌ヘビとサソリ。人がひどく恐れ、嫌うもののたとえ。≒蛇蝎〈漢字ペディア〉",だかつ、じゃかつ,へびとさそり。人の恐れ嫌うもののたとえ。
A0164,◆１,闊達,"闊達（かったつ）
┌心が広く、物事にこだわらないようす。≒豁達〈漢字ペディア〉
┌気持ちが大きく、小さなもの事にこだわらない。≒豁達〈漢字源〉
★自由闊達…心がおおらかで，物事にこだわらないこと。また、そのさま。〈大辞林〉",かったつ,心が広く、物事にこだわらないようす。
A0165,◆１,嫋嫋,"嫋嫋（じょうじょう）
┌1.なよなよとしなやかなさま。
└2.とぎれそうでとぎれず、細く長く続くものの形容。笛や風の音など。〈漢字源〉
┌1.しなやかなさま。
├2.風がそよそよと吹くようす。
└3.音声が細く長く続くさま。〈漢字ペディア〉
★余韻(ﾖｲﾝ)嫋嫋…音が鳴りやんでもなお残る響きが、細く長く続くさま。詩文の表現の背後に感じられる趣や、事が終わったあとに残る風情などのたとえ。〈漢字ペディア〉",じょうじょう,なよなよとしなやかなさま。とぎれそうでとぎれず、細く長く続くものの形容。笛や風の音など。
A0168,◆１,睚眥,"睚眥（がいさい、がいし）
┌目にかどをたてて、人をにらむこと。目くじらをたてること。〈漢字源〉
┌ちょっとにらむこと。憎らしそうににらむこと。〈漢字ペディア〉
★睚眥の怨(ｳﾗ)み…ほんのわずかなうらみ。ちょっとにらまれた程度のうらみの意から。〈漢字ペディア〉",がいさい、がいし,目にかどをたてて、人をにらむこと。目くじらをたてること。
A0169,◆１,恍惚,"恍惚（こうこつ）
┌1.ぼんやりとして見定めにくいさま。
└2.あるものに気を取られてうっとりするさま。また、ぼんやりするさま。〈漢字源〉
┌1.うっとりして我を忘れるさま。≒恍然
└2.頭のはたらきが鈍って判断力や理解力が劣るさま。特に、老年になってぼけた状態にいう。〈漢字ペディア〉",こうこつ,ぼんやりとして見定めにくいさま。あるものに気を取られてうっとりするさま。また、ぼんやりするさま。
A0170,◆１,蠕動,"蠕動（ぜんどう）
┌1.ミミズなどの虫が身をくねらせてうごめきながら進むこと。また一般に、うごめくこと。
└2.筋肉の収縮波が徐々に移行する型の運動。消化管壁が食物を送る運動などにみられる。蠕動運動。〈大辞泉〉
┌1.虫がうごめくこと。
└2.少しずつ静かに動くこと。〈新漢和大字典〉
┌うごめく。〈字通〉
┌1.うごめくこと。虫が動くこと。≒蠢動
└2.筋肉が収縮してできる波が徐々に動いていく運動。消化器官などに見られる。蠕動運動。〈漢字ペディア〉",ぜんどう,ミミズなどの虫が身をくねらせてうごめきながら進むこと。また一般に、うごめくこと。筋肉の収縮波が徐々に移行する型の運動。消化管壁が食物を送る運動などにみられる。蠕動運動。
A0171,◆１,瓔珞,"瓔珞（ようらく）
┌宝石を連ねて仏像の頭･首･胸などを飾るもの。寺院内の天蓋(ﾃﾝｶﾞｲ)の装飾にも用いる。〈漢字ペディア〉
┌珠の首飾り。仏像に用いる。〈字通〉
┌珠玉をつないでつくった首飾り。〈漢字源〉",ようらく,宝石を連ねて仏像の頭･首･胸などを飾るもの。寺院内の天蓋の装飾にも用いる。
A0172,◆１,阿闍梨,"阿闍梨（あじゃり、あざり）
┌1.徳が高く、弟子を教え導くことのできる僧。
└2.天台宗･真言宗での僧の位。〈漢字ペディア〉
┌1.仏語で、衆僧を教え導き、その模範たるべき高僧の敬称。
└2.(国)天台宗･真言宗の僧位。〈漢辞海〉
┌1.弟子たちの模範となる高僧の敬称。
├2.密教で、修行を完了し、伝法灌頂(ﾃﾞﾝﾎﾟｳｶﾝｼﾞｮｳ)を受けた僧。また、伝法灌頂の職位を受けた、天台宗・真言宗の僧。
└3.勅旨によって修せられる法会を執行する僧。〈大辞泉〉",あじゃり、あざり,徳が高く、弟子を教え導くことのできる僧。天台宗･真言宗での僧の位。
A0173,◆１,慫慂,"慫慂（しょうよう）
┌そうするように誘って、しきりに勧めること。〈大辞泉〉
┌そばから誘いすすめること。また、すすめそそのかすこと。〈漢字ペディア〉",しょうよう,そうするように誘って、しきりに勧めること。
A0174,◆１,懊悩,"懊悩（おうのう）
┌心の底から深く悩む。≒苦悩〈漢字源〉
┌心の奥で、悩みもだえること。≒煩悶、苦悩〈漢字ペディア〉",おうのう,心の底から深く悩む。
A0175,◆１,端倪,"端倪（たんげい）
┌1.物事のはじめと終わり。
└2.物事のなりゆきをおしはかること。推測すること〈漢字ペディア〉
┌1.物事の初めと終わり。事の始終。
└2.物事の本と末、終わりと始めを推しはかること。あらかじめ予想すること。推測。〈大辞泉〉
★端倪すべからず…物事の規模がどれほどなのか、おしはかれないこと。人格の大きいことなどにいう。〈漢字ペディア〉",たんげい,物事のはじめと終わり。物事のなりゆきをおしはかること。推測すること
A0176,◆１,琺琅,"琺琅（ほうろう）
┌金属器や陶磁器の表面に、さび止めや飾りとして焼き付ける釉(ｳﾜｸﾞｽﾘ)。また、焼きつけたもの。瀬戸引き･七宝焼など。〈漢字ペディア〉
┌珪石(ｹｲｾｷ)･石灰･長石･粘土･ソーダなどをとかしてつくる白色不透明のガラス質の物質。エナメル器物のうわぐすりとし、金属がさびるのを防ぎ、また装飾とする。〈漢字源〉",ほうろう,金属器や陶磁器の表面に、さび止めや飾りとして焼き付ける釉。また、焼きつけたもの。瀬戸引き･七宝焼など。
A0177,◆１,蕁麻疹,"蕁麻疹（じんましん）
┌皮膚がかゆくなり、一時的に赤くはれあがる急性の皮膚病。アレルギーが原因で起こる。〈漢字ペディア〉
┌急にかゆくなって平たい紅色の浮腫(ﾌｼｭ)を生じる発疹(ﾎｯｼﾝ)。漆などの植物や鯖･卵などの食品、また、寒冷刺激などによって起こり、数分から数時間で消失する。〈大辞泉〉",じんましん,皮膚がかゆくなり、一時的に赤くはれあがる急性の皮膚病。アレルギーが原因で起こる。
A0178,◆１,倥偬,"倥偬（こうそう）
┌1.忙しくてあわただしいさま。
└2.うろたえるさま。〈漢字源〉
┌あわただしいさま。いそがしいさま。せわしないさま。〈漢字ペディア〉",こうそう,忙しくてあわただしいさま。うろたえるさま。
A0179,◆１,瑇瑁,"瑇瑁（たいまい）
┌熱帯の海にすむかめの一種。その甲羅は黒くつやがあり、鼈甲と呼ばれ、装飾品の材料とする。〈漢字源〉
┌ウミガメ科のカメ。熱帯・亜熱帯の海にすむ。甲羅の長さは約一メートル。甲羅を鼈甲(ﾍﾞｯｺｳ)細工の材料にする。〈漢字ペディア〉",たいまい,熱帯の海にすむかめの一種。その甲羅は黒くつやがあり、鼈甲と呼ばれ、装飾品の材料とする。
A0180,◆１,芍薬,"芍薬（しゃくやく）
┌草の名。ボタン科の多年草。〈新漢和大字典〉
┌しゃくやく。〈字通〉
┌キンポウゲ科の多年草。アジア北東部原産。初夏、茎頂にボタンに似た大形で美しい紅･白色の花を開く。観賞用。根は薬用。〈漢字ペディア〉
★立(ﾀ)てば芍薬座(ｽﾜ)れば牡丹(ﾎﾞﾀﾝ)歩(ｱﾙ)く姿(ｽｶﾞﾀ)は百合(ﾕﾘ)の花(ﾊﾅ)…立っても座っても、また歩いても、姿が艶やかで魅力的な美人の形容。〈故事俗信ことわざ大辞典〉",しゃくやく,草の名。ボタン科の多年草。
A0181,◆１,昇汞,"昇汞（しょうこう）
┌塩化第二水銀の別称。無色透明で針状の結晶。猛毒。染色・消毒・写真材料などに用いる。〈漢字ペディア〉
┌塩化水銀(Ⅱ)のこと。〈大辞泉〉",しょうこう,塩化第二水銀の別称。無色透明で針状の結晶。猛毒。染色・消毒・写真材料などに用いる。
A0182,◆１,睥睨,"睥睨（へいげい）
┌1.横目でにらむこと。流し目で見ること。
└2.城壁のくぼみから敵情をのぞき見ること。転じて、周囲をにらみつけて勢いを示すこと。〈漢字ペディア〉
┌1.よこめでにらむ。
├2.城壁のくぼみから敵情をのぞき見ること。
└3.馬車で、上の屋根を支えるさお。〈漢字源〉",へいげい,横目でにらむこと。流し目で見ること。城壁のくぼみから敵情をのぞき見ること。転じて、周囲をにらみつけて勢いを示すこと。
A0183,◆１,招聘,"招聘（しょうへい）
礼をつくして、丁重にまねくこと。〈漢字ペディア〉",しょうへい,礼をつくして、丁重にまねくこと。
A0184,◆１,熱鬧,"熱鬧（ねっとう、ねつどう）
┌多数の人で混雑し、騒がしいこと。〈漢字ペディア〉
┌人が込みあって騒がしいこと。〈大辞泉〉",ねっとう、ねつどう,多数の人で混雑し、騒がしいこと。
A0185,◆１,垂涎,"垂涎（すいぜん、すいせん、すいえん）
┌1.よだれをたらす。
└2.非常にうらやましがること。〈漢字源〉
┌ほしくてたまらぬ。〈字通〉
┌1.食べたくてよだれをたらすこと。
├2.非常にほしがること。〈漢字ペディア〉",すいぜん、すいせん、すいえん,よだれをたらす。非常にうらやましがること。
A0186,◆１,闖入,"闖入（ちんにゅう）
┌突然、無断で入り込むこと。〈大辞泉〉
┌突然、無断で入りこんでくること。〈漢字ペディア〉",ちんにゅう,突然、無断で入り込むこと。
A0187,◆１,瑪瑙,"瑪瑙（めのう）
石英などの結晶の混合物。紅･緑･白などの美しいしま模様があり、装飾品などに用いられる。〈漢字ペディア〉",めのう,石英などの結晶の混合物。紅･緑･白などの美しいしま模様があり、装飾品などに用いられる。
A0188,◆１,軋轢,"軋轢（あつれき）
┌関係が悪くなること。仲がこじれること。不和。〈漢字ペディア〉
┌仲が悪くなること。〈大辞泉〉
┌1.車輪がすれあってきしる。
└2.きしみあい。つぶしあい。不和になる。反目する。人と人との間の仲たがい。〈新漢和大字典〉",あつれき,関係が悪くなること。仲がこじれること。不和。
A0189,◆１,匍匐,"匍匐（ほふく）
┌1.地面や床上に身をふせて手足を動かす。はらばう。
└2.はらばってでもかけつける。一生懸命に力を尽くすさまのたとえ。〈漢字源〉
┌腹ばうこと。また、腹ばいになって進むこと。〈漢字ペディア〉",ほふく,地面や床上に身をふせて手足を動かす。はらばう。はらばってでもかけつける。一生懸命に力を尽くすさまのたとえ。
A0190,◆１,闡明,"闡明（せんめい）
┌はっきりしない道理などを明らかにすること。〈漢字ペディア〉
┌明瞭でなかった道理や意義を明らかにすること。〈大辞泉〉",せんめい,はっきりしない道理などを明らかにすること。
A0191,◆１,咆哮,"咆哮（ほうこう）
┌猛獣などが、ほえたけること。また、その声〈大辞泉〉
┌猛獣などが、たけりほえること。また、その声。〈漢字ペディア〉",ほうこう,猛獣などが、ほえたけること。また、その声
A0192,◆１,罵詈,"罵詈（ばり）
┌口汚くののしること。また、その言葉。ののしり。〈大辞泉〉
┌ののしること。悪口を言うこと。〈漢字ペディア〉
★罵詈讒謗(ｻﾝﾎﾞｳ)･･･悪口の限りを言い、手ひどくののしること。また、その言葉。〈大辞泉〉",ばり,口汚くののしること。また、その言葉。ののしり。
A0193,◆１,指嗾,"指嗾（しそう）
┌さしずして、そそのかす。けしかける。〈漢字源〉
┌人をそそのかすこと。けしかけること。≒使嗾、教唆〈漢字ペディア〉",しそう,さしずして、そそのかす。けしかける。
A0194,◆１,開闢,"開闢（かいびゃく）
┌1.天と地が初めてできた時。世界の始まりの時。
├2.信仰の地としての山を開き、あるいは初めて寺院などをつくること。また、その人。開山。
└3.荒れ地などが切り開かれること。〈大辞泉〉
┌1.天地が開いた始まり。この世の始まり。≒創世
└2.物事の始まり。〈漢字ペディア〉",かいびゃく,天と地が初めてできた時。世界の始まりの時。信仰の地としての山を開き、あるいは初めて寺院などをつくること。また、その人。開山。荒れ地などが切り開かれること。
A0195,◆１,屹度,"屹度（きっと）
┌1.(国)たしかに。必ず。
└2.厳重に。〈漢字源〉
┌≒急度
├1.必ず。確かに。
└2.きびしく。きっぱりと。表情に強い感情を表すさま。〈漢字ペディア〉",きっと,たしかに。必ず。厳重に。
A0196,◆１,瞋恚,"瞋恚（しんい、しんに）
┌1.(仏)三毒･十悪の一。怒り･憎しみ･怨みなどの憎悪の感情。
└2.怒り恨むこと。腹立ち。いかり。〈大辞林〉
┌1.(仏)自分の心に反するものを怒り恨む。
└2.目をむいて怒る。〈漢字源〉
┌1.はげしく怒ること。≒瞋怒
└2.(仏)貪欲(ﾄﾝﾖｸ)･愚痴とともに三毒の一つ。自分の心に反するものをはげしく怒り、恨むこと。〈漢字ペディア〉",しんい、しんに,三毒･十悪の一。怒り･憎しみ･怨みなどの憎悪の感情。怒り恨むこと。腹立ち。いかり。
A0197,◆１,箏曲,"箏曲（そうきょく）
┌箏(ｺﾄ)で奏する音楽。〈漢字源〉
┌ことを演奏する楽曲。ことで伴奏する声楽曲と、ことと他の楽器とを合わせた器楽曲がある。〈漢字ペディア〉",そうきょく,箏で奏する音楽。
A0198,◆１,彷徨,"彷徨（ほうこう）
┌あてもなくさまよい歩くこと。〈漢字ペディア〉
┌当てもなく歩き回ること。さまようこと。〈大辞泉〉",ほうこう,あてもなくさまよい歩くこと。
A0199,◆１,旱魃,"旱魃（かんばつ）
┌ひでり。特に、農作物に必要な雨が長い間降らないこと。〈大辞泉〉
┌長い期間雨が降らず、水がかれてしまうこと。ひでり。≒干天〈漢字ペディア〉",かんばつ,ひでり。特に、農作物に必要な雨が長い間降らないこと。
A0200,◆１,捏造,"捏造（ねつぞう、でつぞう）
┌事実でないことを事実らしく作ること。〈漢字ペディア〉
┌1.土などをこねまわして、形だけにせた物を作ること。
└2.事実でない事柄を事実のように作り上げる。でっちあげる。〈漢字源〉",ねつぞう、でつぞう,事実でないことを事実らしく作ること。
A0201,◆１,微醺,"微醺（びくん）
┌ほんのりと酒に酔うこと。ほろよい。微酔。〈大辞泉〉
┌少し酒に酔うこと。ほろよい。≒微酔〈漢字ペディア〉",びくん,ほんのりと酒に酔うこと。ほろよい。微酔。
A0202,◆１,欺瞞,"欺瞞（ぎまん）
┌あざむくこと。だますこと。〈大辞泉〉
┌いつわってだますこと。また、いつわり。〈漢字源〉
┌あざむき、だますこと。≒瞞着〈漢字ペディア〉",ぎまん,あざむくこと。だますこと。
A0203,◆１,諮詢,"諮詢（しじゅん）
┌参考として問い尋ねること。意見をきくこと。諮問。〈大辞林〉
┌≒咨詢
├1.相談すること。とうこと。
└2.他の機関の意見を求め、参考にすること。〈漢字ペディア〉",しじゅん,参考として問い尋ねること。意見をきくこと。諮問。
A0204,◆１,欸乃,"欸乃（あいだい、あいない）
┌1.船頭のかけ声。また、櫓(ﾛ)のきしむ音。
├2.舟歌。
└3.きこりの歌。〈漢字ペディア〉
┌1.船頭が舟をこぐときに掛け合う掛け声。また櫓のきしる音。転じて、船歌のこと。
└2.きこりが木を切るときに歌う歌。〈漢字源〉
┌舟人が相応える声。櫓の音。舟歌。〈字通〉",あいだい、あいない,船頭のかけ声。また、櫓のきしむ音。舟歌。きこりの歌。
A0205,◆１,魍魎,"魍魎（もうりょう）
┌山･川･木･石などに宿っている精霊。すだま。〈大辞泉〉
┌古代中国の山の霊気や木石の精。すだま。〈漢字ペディア〉",もうりょう,山･川･木･石などに宿っている精霊。すだま。
A0206,◆１,涅槃,"涅槃（ねはん）
┌1.いっさいの煩悩(ﾎﾞﾝﾉｳ)を滅却した、不生不滅の悟りの境地。
└2.死ぬこと。特に、釈迦(ｼｬｶ)の死。入滅。〈漢字ペディア〉
┌1.煩悩を滅して真理を悟り知恵が完成する悟りの境地。仏教の最終的な理想。
└2.釈迦の死のこと。〈漢字源〉",ねはん,いっさいの煩悩を滅却した、不生不滅の悟りの境地。死ぬこと。特に、釈迦の死。入滅。
A0207,◆１,玲瓏,"玲瓏（れいろう）
┌1.玉のように輝くさま。美しくすきとおるさま。
└2.金属や玉が触れ合って澄んだ音で鳴るさま。また、そのような人の声のたとえ。〈漢字ペディア〉
┌1.宝玉や金属がふれあって鳴るさわやかな音の形容。≒玲玲、玲琅
└2.宝玉のように冷たく冴えて輝くさま。〈漢字源〉",れいろう,玉のように輝くさま。美しくすきとおるさま。金属や玉が触れ合って澄んだ音で鳴るさま。また、そのような人の声のたとえ。
A0208,◆１,濾過,"濾過（ろか）
┌液体をこして混じり物をのぞくこと。〈大辞林〉
┌液体や気体をこして、固形の不純物を取り除くこと。〈漢字ペディア〉",ろか,液体をこして混じり物をのぞくこと。
A0209,◆１,饂飩,"饂飩（うんどん、うどん）
┌うどん。〈新漢和大字典〉
┌小麦粉をこねて薄くのばし、細く切ったものをゆでた食品。〈漢字ペディア〉",うんどん、うどん,うどん。
A0210,◆１,魑魅,"魑魅（ちみ）
┌1.山林･木石の精気から生じるという霊。人面鬼身で、よく人を迷わすという。ちみ。
└2.人の霊魂。たましい。〈大辞泉〉
┌1.「魑(ｽﾀﾞﾏ)」に同じ。
└2.人間の顔をした化け物。山の神。〈漢字ペディア〉",ちみ,山林･木石の精気から生じるという霊。人面鬼身で、よく人を迷わすという。ちみ。人の霊魂。たましい。
A0211,◆１,囂囂,"囂囂（ごうごう）
┌人の声のががやがやと騒がしいさま。〈新漢和大字典〉
┌人々が騒ぐさま。また、声や音がやかましいさま。〈漢字ペディア〉",ごうごう,人の声のががやがやと騒がしいさま。
A0212,◆１,呱呱,"呱呱（ここ）
┌産声。〈字通〉
┌乳飲み子の泣く声。〈漢字ペディア〉",ここ,産声。
A0213,◆１,余喘,"余喘（よぜん）
┌死ぬ間際の、とぎれとぎれの息遣い。虫の息。〈漢字源〉
┌今にも絶えそうなかすかな息。虫の息。〈漢字ペディア〉",よぜん,死ぬ間際の、とぎれとぎれの息遣い。虫の息。
A0214,◆１,傀儡,"傀儡（かいらい）
┌1.あやつり人形。くぐつ。でく。
└2.自分の意志や主義を表さず、他人の言いなりに動いて利用されているも。でくの坊。〈大辞泉〉
┌1.「傀儡(ｸｸﾞﾂ)」に同じ。
└2.他人に操られる者。〈漢字ペディア〉",かいらい,あやつり人形。くぐつ。でく。自分の意志や主義を表さず、他人の言いなりに動いて利用されているも。でくの坊。
A0215,◆１,放埒,"放埒（ほうらつ）
┌勝手気ままでしまりのないこと。また、そのさま。〈大辞泉〉
┌1.「放逸」に同じ。≒放縦
└2.酒や色欲にふけること。≒放蕩〈漢字ペディア〉",ほうらつ,勝手気ままでしまりのないこと。また、そのさま。
A0216,◆１,忖度,"忖度（そんたく）
┌他人の心をおしはかること。≒推察〈漢字ペディア〉
┌他人の気持ち･考えを、そっと推し量る。〈漢字源〉",そんたく,他人の心をおしはかること。
A0217,◆１,輓近,"輓近（ばんきん）
┌ちかごろ。最近。近来。〈大辞泉〉
┌1.古代に対して、のちの世。
└2.ちかごろ。〈新漢和大字典〉
┌1.近ごろ。近年。
└2.古代に対して、最近の世。〈漢字ペディア〉",ばんきん,ちかごろ。最近。近来。
A0218,◆１,齟齬,"齟齬（そご）
┌物事がうまくかみ合わないこと。食い違うこと。ゆきちがい。〈大辞泉〉
┌物事がくいちがうこと。行きちがい。〈漢字ペディア〉",そご,物事がうまくかみ合わないこと。食い違うこと。ゆきちがい。
A0219,◆１,齠齔,"齠齔（ちょうしん）
┌ぬけかわりかけている乳歯。7、8歳の年ごろのこと。また、その頃の子ども。〈新漢和大字典〉
┌七八歲のこども。〈字源〉",ちょうしん,ぬけかわりかけている乳歯。7、8歳の年ごろのこと。また、その頃の子ども。
A0220,◆１,輜重,"輜重（しちょう）
┌軍隊の糧食･被服･武器･弾薬など、輸送すべき軍需品の総称。〈大辞泉〉
┌1.重い荷物をのせるほろのついた車。
├2.旅人の荷物。
└3.軍隊が必要とする兵器･食糧などのこと。〈新漢和大字典〉
┌1.軍隊の荷物。食糧・武器など。
└2.旅行者の荷物。また、荷物を運ぶ車。〈漢字ペディア〉",しちょう,軍隊の糧食･被服･武器･弾薬など、輸送すべき軍需品の総称。
A0221,◆１,餡蜜,"餡蜜（あんみつ）
蜜豆の上に餡をのせたもの。〈大辞泉〉",あんみつ,蜜豆の上に餡をのせたもの。
A0222,◆１,贔屭,"贔屭（ひいき、ひき）
┌1.気に入った人に特に目をかけ世話をすること。気に入ったものを特にかわいがること。
└2.目をかけて世話してくれる人。パトロン。後援者。〈大辞林〉
┌1.(国)自分の気に入った者を特にかわいがって力をそえること。また、その人。後援者。
├2.ひいひいと鼻息を吹いてがんばるさま。
└3.重みをささえる大きなカメ。竜の九匹の子の一匹で、重いものを背負うのが好きだというので、石碑の下に石を負った形で彫られている。≒奰屭〈新漢和大字典〉
★贔屭の引き倒し･･･ひいきし過ぎて、かえってその人の迷惑になること。〈大辞林〉",ひいき、ひき,気に入った人に特に目をかけ世話をすること。気に入ったものを特にかわいがること。目をかけて世話してくれる人。パトロン。後援者。
A0223,◆１,歔欷,"歔欷（きょき）
┌1.すすりなく。むせびなく。
└2.悲しみ恐れるさま。〈漢字源〉
┌すすり泣くこと。むせび泣き。≒噓唏〈漢字ペディア〉",きょき,すすりなく。むせびなく。悲しみ恐れるさま。
A0224,◆１,貪婪,"貪婪（どんらん、たんらん、とんらん）
┌飽くことを知らないこと。大変に欲深であること。また、そのさま。貪欲。たんらん。〈大辞泉〉
┌非常に欲が深いこと。≒貪欲〈漢字ペディア〉",どんらん、たんらん、とんらん,飽くことを知らないこと。大変に欲深であること。また、そのさま。貪欲。たんらん。
A0225,◆１,贖罪,"贖罪（しょくざい）
1.金品を出して罪を免れること。
2.罪ほろぼしをすること。
3.キリスト教の教義の一つ。キリストが十字架にかかり、人々の罪をあがなったこと。〈漢字ペディア〉",しょくざい,金品を出して罪を免れること。罪ほろぼしをすること。キリスト教の教義の一つ。キリストが十字架にかかり、人々の罪をあがなったこと。
A0226,◆１,繻子,"繻子（しゅす）
┌「繻子織」の略。縦糸を長く浮かせた、光沢のある地の厚い織物。多く、帯地に用いる。サテン。〈漢字ペディア〉
┌(国)絹織物の一種。地が厚くなめらかで、つやがある布。≒朱子〈新漢和大字典〉",しゅす,「繻子織」の略。縦糸を長く浮かせた、光沢のある地の厚い織物。多く、帯地に用いる。サテン。
