ID,難易度,問題,解答,意味
B0271,1,神饌の【粢】を調える,しとぎ,"関連熟語：粢餅（シヘイ）
★粢（しとぎ）神前に供える、米の粉で作った卵形のもち。しとぎもち。〈漢字ペディア〉"
B0272,1,臣、弱才を以て【叨】に非拠を窃む,みだり,関連熟語：叨恩（トウオン）
B0273,1,親子三代、殿に【傅】き仕えた,かしず,"関連熟語：傅育（フイク）
★傅く（かしず-く）
そばに付き添ってたすける。人に仕えて大切に世話をする。〈漢字ペディア〉"
B0274,1,身綺麗な【大髻】の若衆が同道した,おおたぶさ,"関連熟語：--
★大髻（おおたぶさ）
男の髪の髻(ﾓﾄﾄﾞﾘ)を大きく結ぶこと。また、そのもの。〈日本国語大辞典〉"
B0275,1,進退谷まって自ら【刎】ねる,"は
くびは","関連熟語：刎頸（フンケイ）
★刎ねる（は-ねる）
飛ばすように切り捨てる。薙ぎ切る。〈漢字ペディア〉"
B0276,1,人々の膏血を【浚】う,さら,"関連熟語：浚渫（シュンセツ）
★浚う（さら-う）
1.溝などの底にある土砂をすっかりすくい取る。≒濬う
2.他人の物を奪い取る。〈漢字ペディア〉"
B0277,1,人の【褌】で相撲を取る,ふんどし,"関連熟語：緊褌（キンコン）
▼人(ﾋﾄ)の褌で相撲を取る…他人のものを利用して、自分のことをするずる賢いやり方のこと。 類人の牛蒡(ｺﾞﾎﾞｳ)で法事する。〈漢字ペディア〉"
B0278,1,人を【蔑】するにも程がある,なみ,"関連熟語：蔑視（ベッシ）
★蔑する（なみ-する）
ないがしろにする。あなどる。蔑視する。〈日本国語大辞典〉"
B0279,1,水田の底に【蜷】の這った迹が見える,にな,"関連熟語：--
★蜷／蝸螺（にな）
細長い巻貝の総称。カワニナ･ウミニナなど。食用。〈漢字ペディア〉"
B0280,1,世に寄すること【将】幾何ぞ,はた,"関連熟語：--
★将（はた）
1.あるいは。それとも。
2.そのうえにまた。〈漢字ペディア〉"
B0281,1,清旦、方に案に【堆】し,うずたか,"関連熟語：堆積（タイセキ）
★堆い（うずたか-い）
盛り上がって高い。積み重なって高い。〈漢字ペディア〉"
B0282,1,生活の記述を【蔑】ろにする,ないがし,"関連熟語：蔑視（べっし）
★蔑ろ（ないがし-ろ）
あなどり軽んじるさま。無視すること。〈漢字ペディア〉"
B0283,1,盛栄一場の世を【儚】む,はかな,"関連熟語：--
★儚む（はかな-む）
はかないと思う。〈漢字ペディア〉"
B0284,1,西瓜の種を【齧】っている,かじ,"関連熟語：齧噬（ゲツゼイ）
★齧る（かじ-る）
1.かたいものに歯を立てて、けずり取る。
2.物事の一部だけの知識や体験を得る。〈漢字ペディア〉"
B0285,1,西陲の戍客、金革を【褥】とす,しとね,"関連熟語：病褥（ビョウジョク）
★褥／蓐（しとね）
寝たり座ったりするときに用いる、柔らかい敷物。また、ふとん。〈漢字ペディア〉"
B0286,1,青鷺の【番】いわたるやきょうの月,つが,"関連熟語：--
★番い（つが-い）
1.二つそろって一組になること。また、そのもの。
2.雄と雌。
3.つなぎめ。また、関節。〈漢字ペディア〉"
B0287,1,青大将が【塒】を巻いている,とぐろ,"関連熟語：--
★塒／蜷局（とぐろ）
ヘビなどが渦巻き状に体を巻くこと。〈漢字ペディア〉"
B0288,1,昔【葎】が生い茂っていた,むぐら,"関連熟語：--
★葎（むぐら）
ヤエムグラやカナムグラなどのつる草の総称。とげがあり、生い茂る。〈漢字ペディア〉"
B0289,1,石に【跌】く,つまず,"関連熟語：蹉跌（サテツ）
★跌く（つまず-く）
1.足先が物にあたって、ころびそうになる。
2.途中で失敗する。〈漢字ペディア〉"
B0290,1,石畳の上に【踞】る,うずくま,"関連熟語：蹲踞（ソンキョ）
★踞る（うずくま-る）
ひざを曲げ、体をかがめてしゃがむ。〈漢字ペディア〉"
B0291,1,折り目正しく【着熟】した,きこな,"関連熟語：--★着熟す（きこな-す）
衣服を自分に似合うように上手に着る。〈漢字ペディア〉"
B0292,1,先輩に【肖】って外遊した,あやか,"関連熟語：--
★肖る（あやか-る）
好ましい状態の人やめでたいものなどの影響を受けて、同じようになる。"
B0293,1,煽てと【畚】には乗りやすい,もっこ,"関連熟語：畚築（ホンチク）
★畚（もっこ）
土砂や農産物などを運ぶ道具。縄などで編んだ正方形の網の四隅に綱をつけ、棒でつって使う。〈漢字ペディア〉
▼煽てと畚には乗りやすい…人のおだてと土運びの畚には乗りやすいものだ。〈漢字ペディア〉"
B0294,1,船は【纜】を解き、岸を離れた,ともづな,"関連熟語：解纜（カイラン）
★纜（ともづな）
船を岸などにつなぎとめる船尾の綱。もやいづな。〈漢字ペディア〉"
B0295,1,全く【噯】にも出さなかった,おくび,"関連熟語：噯気（アイキ）
★噯／噯気／噫気（おくび）
胃の中にたまったガスが口の外へ出たもの。げっぷ。〈漢字ペディア〉"
B0296,1,組んず【解】れつの大挌闘,ほぐ,"関連熟語：--
★組んず解れつ（く-んず-ほぐ-れつ）
取っ組み合ったり離れたりして、激しく争うさま。〈大辞泉〉"
B0297,1,組織に【罅割】れが生じている,ひびわ,"関連熟語：罅隙（カゲキ）
★罅割れ（ひびわ-れ）
1.ひびが入ること。ひびが入って割れ目ができること。また、そのもの。ひび。
2.人と人の仲が不和になること。へだたりができること。〈日本国語大辞典〉"
B0298,1,相手から小胆と【見縊】られている,みくび,"関連熟語：--
★見縊る（みくび-る）
相手の力を軽く見る。あなどる。見さげる。〈漢字ペディア〉"
B0299,1,袖口の綻びを【絎】ける,く,"関連熟語：--
★絎ける（く-ける）
くけ縫いをする。布の端を折りこみ、表側に縫い目が見えないように縫う。〈漢字ペディア〉"
B0300,1,其の声尖く【咽】び梭を鳴らすが如し,むせ,"関連熟語：嗚咽（オエツ）
★咽ぶ（むせ-ぶ）
1.飲食物や煙などで息がつまりそうになる。
2.感情がこみ上げて声がつまる。
3.風や水の音が激しく泣くように聞こえる。〈漢字ペディア〉"
B0301,1,体は尋常の【犢】よりも大きい,こうし,"関連熟語：舐犢（シトク）
★犢（こうし）
ウシの子。〈漢字ペディア〉"
B0302,1,耐えがたい【癢】さに襲われた,かゆ,"関連熟語：痛癢（ツウヨウ）
★癢い／痒い（かゆ-い）
皮膚がむずむずとして、搔きたい感じである。〈漢字ペディア〉"
B0303,1,怠けて終日炬燵に【燻】ぶっていた,"くす
ふす","関連熟語：燻灼（クンシャク）
★燻ぶる（くす-ぶる）
1.炎が燃え出さずに、けむる。
2.すすける。すすで黒くなる。
3.家にこもって、することもなく暮らす。
4.問題が表面化せず、はっきりと解決されないまま内部に残っている。〈漢字ペディア〉"
B0304,1,代々【髢屋】を生業としている,かもじや,"関連熟語：施髢（シテイ）
★髢屋（かもじや）
髢(ｶﾓｼﾞ)を作り、また、売る店。
2.婦人の髪の毛を洗う商売。湯をわかした車を引いて町中を回った。〈日本国語大辞典〉"
B0305,1,大きな【椈】の純林がある,ぶな,"関連熟語：--
★椈／山毛欅（ぶな）
ブナ科の落葉高木。温帯の山地に自生。樹皮は灰色。葉は広い卵形。実は「どんぐり」と呼ばれる。〈漢字ペディア〉"
B0306,1,大きな【鼾】だ,いびき,"関連熟語：鼾声（カンセイ）
★鼾（いびき）
睡眠中に、呼吸とともに鼻や口から出る雑音。〈漢字ペディア〉"
B0307,1,大きな困難が【開】かっている,はだ,"関連熟語：--
★開かる（はだ-かる）
1.手足を大きく広げて人の前に立つ。たちふさがる。
2.着衣の合わせ目が乱れて広がり開く。はだける。〈漢字ペディア〉"
B0308,1,大概の事なら目を【瞑】ろう,"つぶ
つむ","関連熟語：瞑想（メイソウ）
★瞑る（つぶ-る／つむ-る）
目を閉じる。ふさぐ。また、見て見ぬふりをする。〈漢字ペディア〉"
B0309,1,大向こうを【唸】らせる演技だ,うな,"関連熟語：--
★唸る（うな-る）
1.苦しそうな声を出す。うめく。
2.機械が低く鈍い音を出す。
3.力を入れてのどをしぼり、長く声を出す。
4.感嘆の声を出す。
5.力や物があり余っている。〈漢字ペディア〉"
B0310,1,鷹居眠るとき鳥雀【喧】し,"かまびす
やかま","関連熟語：囂喧（ゴウケン）
★喧しい／諠しい（かまびす-しい）
やかましい。がやがやと騒がしいさま。〈漢字ペディア〉
★喧しい（やかま-しい）
1.不快に感じるほど音が大きい。騒がしい。
2.面倒でわずらわしい。決まり事などがきびしい。
3.好みがむずかしい。
4.世間で話題になっている。〈漢字ペディア〉"
B0311,1,啄木鳥の子は卵から【頷】く,うなず,"関連熟語：頷首（ガンシュ）
★頷（うなず-く）
理解・承諾の意を表すために、首をたてに動かす。〈漢字ペディア〉
▼啄木鳥(ｷﾂﾂｷ）の子は卵から頷く…生まれながらにして、将来を思わせる才能があることのたとえ。栴檀は二葉より芳し。〈故事俗信ことわざ大辞典〉"
B0312,1,沢の流れで米を【精】げる,しら,"関連熟語：搗精（トウセイ）
★精げる（しら-げる）
1.玄米をついて白くする。精米にする。
2.細工物などを磨いて仕上げる。〈漢字ペディア〉"
B0313,1,壇上に向かって熾んに【捲】し立てた,まく,"関連熟語：席捲（セッケン）
★捲し立てる（まく-し-た-てる）
1.息もつかせず、激しく言い立てる。立て続けに述べ立てる。まくしかける。
2.激しく追い立てる。あおりたてる。〈日本国語大辞典〉"
B0314,1,地獄の羅刹に【魘】される,うな,"関連熟語：夢魘（ムエン）
★魘される（うな-される）
恐ろしい夢におびえて、眠ったまま苦しそうにうなる。〈漢字ペディア〉"
B0315,1,恥ずかしげに扇を【翳】す,かざ,"関連熟語：掩翳（エンエイ）
★翳す（かざ-す）
1.頭上に掲げる。
2.物の上にさしかける。
3.額のあたりにおおいかける。〈漢字ペディア〉"
B0316,1,中たらずと【雖】も遠からず,いえど,"関連熟語：--
★雖も（いえど-も）
たとえ…であっても。…といっても。〈漢字ペディア〉
▼中(ｱ)たらずと雖も遠(ﾄｵ)からず…何事も真心から行えば、完全とはいえないまでも、ほぼそれに近い成果をあげることができるということ。転じて、的中しないまでも、それほど見当が外れていないこと。〈漢字ペディア〉"
B0317,1,忠臣は其の君に【諂】わず,へつら,"関連熟語：諂諛（テンユ）
★諂う（へつら-う）
気に入られようと機嫌をとる。こびる。おもねる。〈漢字ペディア〉"
B0318,1,長葱を土に【埋】けて保存する,い,"関連熟語：--
★埋ける（い-ける）
1.炭火が消えないように、灰にうずめる。
2.土の中にうめる。〈漢字ペディア〉"
B0319,1,庭に大きな【棗】の木がある,なつめ,"関連熟語：梨棗（リソウ）
★棗（なつめ）
1.クロウメモドキ科の落葉小高木。中国原産。夏、黄緑色の小花をつけ、楕円形の果実を結ぶ。果実は食用や薬用。
2.抹茶を入れる茶入れ。形が①の果実に似る。〈漢字ペディア〉"
B0320,1,敵の荒肝を【拉】いでみせよう,"ひし
ひしゃ","関連熟語：拉朽（ロウサツ／ラサツ）
★拉ぐ（ひし-ぐ）
1.押しつぶす。
2.勢いをくじく。〈漢字ペディア〉"
B0321,1,笛のような美しい声で【鷽】が囀る,うそ,"関連熟語：--
★鷽（うそ）
アトリ科の小鳥。スズメよりやや大きい。背は青灰色で尾は黒く、雄のほおは紅色。口笛のような声で鳴く。〈漢字ペディア〉"
B0322,1,天を恨みず人を【咎】めず,とが,"関連熟語：追咎（ツイキュウ）
★天(ﾃﾝ)を恨(ｳﾗ)みず人(ﾋﾄ)を咎めず…不遇であるからといって、天を恨んだり人を咎めたりしないで、みずから修養に努める。〈日本国語大辞典〉"
B0323,1,都大路を【直】走る,ひた,"関連熟語：--
★直走る（ひたはし-る）
ひたすら走り続ける。休むことなく一心に走る。〈漢字ペディア〉"
B0324,1,冬の宿阿寒の【毬藻】のみ青く,まりも,"関連熟語：--
★毬藻（まりも）
緑藻類シオグサ科の淡水藻。湖などに自生。緑色の糸状細胞がもつれ、球形になる。阿寒湖のものは特別天然記念物。〈漢字ペディア〉"
B0325,1,唐詩数首を【諷】んじる,そら,"関連熟語：諷経（フギン）
★諷んじる（そら-んじる）
そら読みする。そらでうたう。また、声を出して朗読したり、節をつけてうたう。〈漢字ペディア〉"
B0326,1,東屋の中で煙草を【燻】らしていた,くゆ,"関連熟語：燻煙（クンエン）
★燻らす（くゆ-らす）
煙をゆるやかに立てる。くゆらせる。〈漢字ペディア〉"
B0327,1,藤蔓を【箍】とした桶を使っていた,たが,"関連熟語：--
★箍（たが）
桶や樽の周りにはめる、竹や金属製の輪。〈漢字ペディア〉"
B0328,1,豆腐に【鎹】,かすがい,"関連熟語：--
▼豆腐に鎹…手ごたえや効き目のないたとえ。豆腐にかすがいを打ちこんでも、豆腐がくずれるだけの意から。糠に釘。暖簾に腕押し。〈漢字ペディア〉"
B0329,1,頭蓬たりて【梳】るに暇あらず,くしけず,"関連熟語：梳盥（ソカン）
★梳る（くしけず-る）
櫛ですいて髪の毛をととのえる。けずる。とかす。すく。〈日本国語大辞典〉"
B0330,1,頭領としての【弁】えがある,わきま,"関連熟語：勘弁（カンベン）
★弁える（わきま-える）
1.正しく判断して見きわめる。判別する。
2.物事を十分に理解している。心得る。〈漢字ペディア〉"
B0331,1,堂奥に御神体が【祀】ってある,まつ,"関連熟語：合祀（ゴウシ）
★祀る（まつ-る）
1.神霊をなぐさめ儀式を行う。
2.神としてあがめ一定の場所に安置する。〈漢字ペディア〉"
B0332,1,道具箱から【鏝】を取り出す,こて,"関連熟語：泥鏝（デイマン）
★鏝（こて）
壁などを塗るときに使う、鉄の平たい板に柄をつけた道具。〈漢字ペディア〉"
B0333,1,独活を【饅】にして一献ふるまう,ぬた,"関連熟語：--
★饅（ぬた）
魚介類や野菜などを酢みそであえた料理。ぬたあえ。ぬたなます。〈漢字ペディア〉"
B0334,1,南瓜の葉や茎が【萎】びている,しな,"関連熟語：萎禾（イカ）
★萎びる（しな-びる）
水分や生気を失いしわがよる。〈漢字ペディア〉"
B0335,1,二十歳は【丁未】の歳となる,ひのとひつじ,"関連熟語：丁未（テイビ）
★十干十二支。"
B0336,1,二人の足音が【谺】するばかりでした,こだま,"関連熟語：--
★谺／木霊（こだま）
1.樹木に宿る精霊。木の精。
2.声や音が山･谷などに反響すること。やまびこ。〈漢字ペディア〉"
B0337,1,肉を串に刺して【榾火】で焼く,"ほたび
ほだび","関連熟語：榾柮（コツトツ／コットツ）
★榾火（ほたび／ほだび）
木の切れはしや枯れ枝などを燃やす火。たき火。〈漢字ペディア〉"
B0338,1,日がな一日苧を【績】む,う,"関連熟語：紡績（ボウセキ）
★績む（う-む）
麻などの繊維をより、つないで糸にする。つむぐ。〈漢字ペディア〉"
B0339,1,日常生活の【一齣】を描く,ひとこま,"関連熟語：--
★一齣（ひとこま）
映画や演劇などの短いひと区切り。一場面。転じて、一般的なできごとの一場面。〈漢字ペディア〉"
B0340,1,熱烈な意気が彼女の心を【撼】かした,うご,"関連熟語：震撼（シンカン）
★撼かす（うご-かす）
物や人の心に衝撃を与えて、揺り動かす。揺さぶる。〈漢字ペディア〉"
B0341,1,濃密の花の香りに【噎】せる,む,"関連熟語：噎嘔（エツオウ）
★噎せる（む-せる）
煙や飲食物がのどにつかえてせきこむ。〈漢字ペディア〉"
B0342,1,梅は食うとも【核】食うな,さね,"関連熟語：肴核（コウカク）
★核（さね）
1.果物の中心にある堅い部分。種(ﾀﾈ)。
2.板をつなぎ合わせるために、片方の板に作る細長い突起。〈漢字ペディア〉"
B0343,1,白日放歌【須】らく酒を縦にすべし,すべか,"関連熟語：--
★須らく（すべか-らく）
多くは下に「べし」を伴って、ある事をぜひともしなければならないという気持ちを表す。当然。ぜひとも。〈大辞泉〉"
B0344,1,白布を川の流れに【醂】す,さわ,"関連熟語：醂柿（リンシ）
★醂す（さわ-す）
1.焼酎などにつけてカキの渋をぬく。あわす。
2.水につけてさらす。
3.黒い漆を、光沢の出ない程度に薄く塗る。〈漢字ペディア〉"
B0345,1,反発と憎悪を【綯】い交ぜにして睨んだ,な,"関連熟語：索綯（サクトウ）
★綯い交ぜ（な-い-ま-ぜ）
種類や性質の異なるものが、一つにまぜ合わさること。また、そのもの。ごちゃごちゃなもの。〈漢字ペディア〉"
B0346,1,彼の不心得を諫め【窘】めた,たしな,"関連熟語：--
★窘める（たしな-める）
言葉で穏やかに注意する。反省を促す。〈漢字ペディア〉"
B0347,1,彼は名立たる棟梁の【悴】である,せがれ,"関連熟語：--
★悴（せがれ）
1.自分の息子を謙遜していう語。
2.他人の息子をいやしめていう語。〈漢字ペディア〉"
B0348,1,秘伝の【釉】を調える,うわぐすり,"関連熟語：釉薬（ユウヤク）
★釉／釉薬（うわぐすり）
素焼の陶磁器の表面に塗り、焼いてつやを出すガラス質の珪酸(ケイサン)塩化化合物を主成分とするもの。つやぐすり。〈漢字ペディア〉"
B0349,1,秘仏を【丙寅】の年のみ開帳する,ひのえとら,"関連熟語：丙寅（ヘイイン）
★十干十二支。"
B0350,1,浜辺で漁網を【結】く,す,"関連熟語：--
★結く（す-く）糸や縄を編んでつなげる。〈漢字ペディア〉"
B0351,1,不賛成の意を【仄】めかす,ほの,"関連熟語：仄聞（ソクブン）
★仄めかす（ほの-めかす）
それとなく態度や言葉などで表す。ほのかに示す。〈漢字ペディア〉"
B0352,1,楓に【鶸色】の若葉が萌え出た,ひわいろ,"関連熟語：--
★鶸色（ひわいろ）
ヒワの羽のような黄緑色。黄色の強い萌葱(ﾓｴｷﾞ)色。〈漢字ペディア〉"
B0353,1,風が強いので【蔀】を下ろさせた,しとみ,"関連熟語：蔀屋（ホウオク）
★蔀（しとみ）
昔の建具の一つ。格子組みの裏に板を張り、上下二枚からなる戸。日光をさえぎり、風雨を防いだ。蔀戸（しとみど）。〈漢字ペディア〉"
B0354,1,風に草木が【靡】く,なび,"関連熟語：風靡（フウビ）
★靡く（なび-く）
1.風や水などの勢いによって、動いたり傾いたりする。
2.ある者の意志や威力にしたがう。また、はたらきかけられて、相手を好きになる。〈漢字ペディア〉"
B0355,1,風呂敷の隅を【抓】んで丁寧に折る,"つま
つ","関連熟語：--
★抓む（つま-む）
指先ではさみつかむ。〈漢字ペディア〉"
B0356,1,払子の毛先を【剪】み切る,はさ,"関連熟語：剪截（センセツ）
★剪む（はさ-む）
はさみで切断する。はさみきる。〈漢字ペディア〉"
B0357,1,物を見る度に軽く眉を【皺】めている,しわ,"関連熟語：皺面（シュウメン）
★皺む（しわ-む）
しわが寄る。しなびる。〈漢字ペディア〉"
B0358,1,文中、人の心を【擽】るものがあった,くすぐ,"関連熟語：--
★擽る（くすぐ-る）
1.皮膚を軽く刺激して、こそばゆい感じにさせる。
2.人の感情を刺激する。感じやすい心にはたらきかけて快い気分にさせる。
3.人を笑わせようとして、こっけいなことを言う。〈漢字ペディア〉"
B0359,1,兵を起こし城を【屠】る,ほふ,"関連熟語：狗屠（クト/コウト）
★屠る（ほふ-る）
1.鳥獣の体を切り裂く。2.
みなごろしにする。
3.敵を打ち破る。〈漢字ペディア〉"
B0360,1,兵馬を【小倅】などと侮っている,こせがれ,"関連熟語：--
★小倅（こせがれ）
1.青年をののしっていう語。こわっぱ。
2.自分または他人のむすこを卑しめていう語。〈日本国語大辞典〉"
B0361,1,平生の【身嗜】みに無関心である,みだしな,"関連熟語：嗜好（シコウ）
★身嗜み（みだしな-み）
衣服などを整えて、人に不快を感じさせないように、身のまわりをきちんとすること。〈漢字ペディア〉"
B0362,1,柄も折れよ刃も砕けよと【抉】る,えぐ,"関連熟語：剔抉（テッケツ）
★抉る／刳る（えぐ-る）
1.刃物などを突き刺して回す。
2.物事の内部を鋭く指摘する。〈漢字ペディア〉"
B0363,1,米【搗】つ男等、恐れ惑いて蹲る,か,"関連熟語：--
★搗つ（か-つ）
1.搗(ﾂ)く。臼で舂(ﾂ)く。
2.たたいて落とす。〈日本国語大辞典〉"
B0364,1,米を【舂】きながら思考する,"つ
うすづ","関連熟語：舂米（ショウマイ／ショウベイ）
★舂く（つ-く）
棒状の物で穀物などを打って押しつぶしたり、つきかためたりする。〈漢字ペディア〉"
B0365,1,墓木【已】に拱す,すで,"関連熟語：已往（イオウ）
▼墓木(ﾎﾞﾎﾞｸ)已に拱(ｷｮｳ)す…墓上に植えた木がひとかかえもあるほど大きくなっている。本来ならとっくに死んでいるはずだ。相手を、死にぞこない、長生きをして邪魔だなどとののしることば。また、転じて、実際に死後長い年月が過ぎる。〈故事俗信ことわざ大辞典〉"
B0366,1,蓬萊曲【将】に稿を脱せんとす,まさ,"関連熟語：将来（ショウライ）
★将に（まさ-に）
これから。今にも。きっと。近い将来を表す語。〈漢字ペディア〉"
B0367,1,鱒専用の【筌】を仕掛ける,うえ,"関連熟語：筌蹄（センテイ）
★筌（うえ）
魚を捕る道具。細い竹を筒状または底のあいた徳利状に編み、水中に置くもの。ふせご。うけ。〈漢字ペディア〉"
B0368,1,明日香の風が【采女】の袖を吹き返す,うねめ,"関連熟語：采女（サイジョ）
★采女（うねめ）
昔、宮中で天皇や皇后の食事の世話などをした女官。〈漢字ペディア〉"
B0369,1,銘木の槐を【床框】に使用している,とこがまち,"関連熟語：--
★床框（とこがまち）
床の間の前につけてある化粧横木。床縁(とこぶち)。〈漢字ペディア〉"
B0370,1,鳴り物入りで【囃】す,はや,"関連熟語：--
★囃す（はや-す）
1.声をかけたり手を打ったりして調子をとる。
2.囃子（はやし）を演奏する。
3.口をそろえてひやかしたりほめたりする。〈漢字ペディア〉"
B0371,1,木の下に汁も【膾】も桜かな,なます,"関連熟語：魚膾（ギョカイ）
★膾／鱠（なます）
生の魚介類や野菜を細かく刻んで酢にひたした料理。〈漢字ペディア〉"
B0372,1,木を伐って【桴】に編む,いかだ,"関連熟語：桴筏（フバツ）
★桴（いかだ）
木材や竹をつるなどでつないで、水上に浮かべるもの。〈漢字ペディア〉"
B0373,1,黙って【俯】いていた,うつむ,"関連熟語：俯仰（フギョウ）
★俯く（うつむ-く）
頭を下げて顔を下に向ける。"
B0374,1,門に入りて【諱】を問う,いみな,"関連熟語：偏諱（ヘンキ）
★諱（いみな）
1.亡くなった人の生前の名。
2.死者を尊んでおくる名。諡(おくりな)。
3.身分の高い人の実名。〈漢字ペディア〉"
B0375,1,夜の【帳】が落ちかかる,とばり,"関連熟語：緞帳（ドンチョウ）
▼夜の帳（よる-の-とばり）
夜の闇のこと。夜の幕。〈日本国語大辞典〉"
B0376,1,薬と鍼灸を用うるは、【已】む事を得ざる下策なり,や,"関連熟語：生滅滅已（ショウメツメツイ）
▼薬(ｸｽﾘ)と鍼灸(ｼﾝｷｭｳ)を用(ﾓﾁ)うるは、已む事を得(ｴ)ざる下策(ｹﾞｻｸ)なり…薬や鍼灸を用いる前に病気にならないよう、ふだんから健康に気をつけることが第一である。〈故事俗信ことわざ大辞典〉"
B0377,1,油をしぼった残り【滓】だ,かす,"関連熟語：渣滓（サシ）
★滓（かす）
1.液体などの底にたまるもの。おり。
2.必要な部分を取り除いたあとに残った不用物。つまらないもの。〈漢字ペディア〉"
B0378,1,友の便りには真情が【迸】っていた,ほとばし,"関連熟語：迸出（ホウシュツ／ヘイシュツ）
★迸る（ほとばし-る）
激しい勢いで飛び散る。〈漢字ペディア〉"
B0379,1,夕顔が【仄仄】と咲いていた,ほのぼの,"関連熟語：--
★仄仄（ほのぼの）
1.ほんのりと。かすかに。
2.心があたたまるようなさま。〈漢字ペディア〉"
B0380,1,予想外の事態に【目眩】くような思いだ,めくるめ,"関連熟語：瞑眩（メンゲン）
★目眩く（めくるめ-く）
目がくらむ。目まいがする。〈漢字ペディア〉"
B0381,1,幼気盛りの笑顔が【眩】しい,まぶ,"関連熟語：眩耀（ゲンヨウ）
★眩しい（まぶ-しい）
光が強くて目をあけていられないほどだ。まばゆい。〈漢字ペディア〉"
B0382,1,幼児をなだめ【賺】す,すか,"関連熟語：啜賺（セッタン）
★賺す（すか-す）
1.機嫌をとってなだめる。
2.言葉でだます。たぶらかす。〈漢字ペディア〉"
B0383,1,洋書に【栞】を挟む,しおり,"関連熟語：--
★栞（しおり）
1.読みかけの書物に目印としてはさむもの。
2.物事についての案内書。手引き。〈漢字ペディア〉"
B0384,1,慾に目が【眩】れて家産を蕩尽する,く,"関連熟語：眩惑（ゲンワク）
★眩れる（く-れる）
心がまどい、どうしてよいかわからない。〈漢字ペディア〉"
B0385,1,来年の干支は【辛巳】である,かのとみ,関連熟語：辛巳（シンシ）
B0386,1,里人は神隠しだ【人攫】いだと噂した,ひとさら,"関連熟語：--
★人攫い／人掠い（ひとさら-い）
暴力で、または、だまして女子や子どもを連れ去ること。また、その人。〈日本国語大辞典〉"
B0387,1,竜躍りて淵に在り、五雲【裹】む,つつ,"関連熟語：裹頭（カトウ）
★裹む（つつ-む）
くるむ。まとう。〈漢字ペディア〉"
B0388,1,竜鱗に【攀】じ鳳翼に附す,よ,"関連熟語：登攀（トハン／トウハン）
★攀じる（よ-じる）
のぼろうとしてすがりつく。また、よじのぼる。〈漢字ペディア〉"
B0389,1,良き絵師といえども丹の色に【咎】あり,とが,"関連熟語：罪咎（ザイキュウ）
▼良(ﾖ)き絵師(ｴｼ)といえども丹(ﾆ)の色(ｲﾛ)に咎あり…上手な画家でも、必ずどこかに彩色の欠点があるものである。その道に長じた人でも完璧ということはありえないというたとえ。〈故事俗信ことわざ大辞典〉"
B0390,1,良驥の足を【絆】し責む,ほだ,"関連熟語：羈絆（キハン）
★絆す（ほだ-す）
1.ウシやウマを綱などでつなぎ止める。
2.人間の自由を奪う。束縛する。〈漢字ペディア〉"
B0391,1,鱗を【刮】げてから筒切りにした,こそ,"関連熟語：--
★刮げる（こそ-げる）
こすりけずって取る。また、表面に付着している物をかきとってはがす。〈漢字ペディア〉"
B0392,1,烈士は営みを【苟】にせず,かりそめ,"関連熟語：苟且（コウショ）
★苟にす（かりそめ-にす）
かりそめな。いいかげんなさま。〈漢辞海〉"
B0393,1,蓮の花が【萼】を動かして香気を漂わす,"うてな
はなぶさ","関連熟語：萼片（ガクヘン）
★萼（うてな）
花の最も外側にあって、花を保護し支えているもの。花のがく。〈漢字ペディア〉"
B0394,1,老大家に褒められて【脂下】がっている,やにさ,"関連熟語：--
★脂下がる（やにさ-がる）
気取ってかまえる。いい気分になってにやにやする。キセルを吸うとき、脂(ﾔﾆ)が吸い口のほうに下がるように、雁首(ｶﾞﾝｸﾋﾞ)を上げて反り気味になる格好から。〈漢字ペディア〉"
B0395,1,腕に【縒】りを掛けて料理する,よ,"関連熟語：--
★腕(ｳﾃﾞ)に縒りを掛ける…十分に腕前を発揮しようとして意気込む。〈故事俗信ことわざ大辞典〉"
B0396,1,腕を【拱】きて大会に対す,"こまぬ
こまね","関連熟語：拱手（キョウシュ）
★拱く（こまぬ-く／こまね-く）
1.両手を重ねて胸の前に置く。腕組みをする。
2.何もしないでただ見ている。〈漢字ペディア〉"
B0397,1,咄嗟に【前褌】を取った,まえみつ,"関連熟語：--br>★前褌（まえみつ）
相撲のまわしで、体の前面の横にわたっている部分。前まわし。〈漢字ペディア〉"
B0398,1,囮捜査で犯人を【誘】き出した,おび,"関連熟語：--
★誘き出す（おび-き-だ-す）
だましてさそい出す。〈大辞泉〉"
B0399,1,寇に兵を藉して、盗に糧を【齎】す,もたら,"関連熟語：齎糧（セイリョウ）
★齎す（もたら-す）
1.持ってくる。また、持って行く。
2.何かの原因で、ある結果や影響が出てくる。〈漢字ペディア〉"
B0400,1,揣摩臆測を【逞】しくする,たくま,"関連熟語：逞志（テイシ）
★逞しい（たくま-しい）
1.体ががっしりしている。
2.意志や勢いが盛んで力強い。〈漢字ペディア〉"
B0401,1,檜の薄板を【綰】ねて円筒形の器を作る,わが,"関連熟語：--
★綰ねる（わが-ねる）
輪の形に曲げて結ぶ。〈漢字ペディア〉"
B0402,1,梟の【塒】を探しあてた,"ねぐら
とや","関連熟語：鶏塒（ケイジ／ケイシ）
★塒（ねぐら）
1.ニワトリのねどこ。転じて、鳥の寝る所。巣。
2.人の泊まる所。〈漢字ペディア〉"
