ID,難易度,問題,指定,語群,解答,問題熟語の意味,解答熟語の意味
H0278,1,【相剋】,類義語,"はいじく
かんかく
ぼくとつ","扞格
捍格","▼【相剋／相克】ソウコク
1.対立･矛盾するものが互いに争うこと。
2.五行説で、木は土に、土は水に、水は火に、火は金に、金は木に勝つこと。⇔相生〈漢字ペディア〉
1.対立･矛盾する二つのものが互いに相手に勝とうと争うこと。
2.五行説で、木は土に、土は水に、水は火に、火は金に、金は木にそれぞれ剋(ｶ)つとされること。五行相克。〈大辞泉〉","▼〔扞格／捍格〕カンカク
互いに相手をこばみ、受け入れないこと。〈漢字ペディア〉"
H0279,1,【蒼氓】,類義語,"けんしゅ
そうきゅう
ばくしん",黔首,"▼【蒼氓】ソウボウ
人々。民衆。≒蒼生、蒼民〈漢辞海〉
もろもろのたみ。≒蒼生、蒼民〈字源〉
「蒼生」に同じ。〈漢字ペディア〉
民(ﾀﾐ)。人民。蒼生。〈大辞泉〉","▼〔黔首〕ケンシュ
中国、秦(ｼﾝ)の時代の人民。民衆が冠をかぶらず、黒い頭髪のままだったことから。また、黒い頭巾をかぶっていたことからともいう。のちに、人民の通称となる。〈漢字ペディア〉
くろい頭。人民のこと。冠をかぶらずに黒髪をあらわしていることから。また、一説に、黒頭巾をかぶったからという。古くは黎民(ﾚｲﾐﾝ)･黎首(ﾚｲｼｭ)といい、秦代には黔首といった。≒黔細、黔庶、黔愚、黔黎〈漢字源〉"
H0280,1,【造詣】,類義語,"うんちく
せんぎょう
けんさん","蘊蓄
薀蓄","▼【造詣】ゾウケイ
学問や技芸などの分野で、深くすぐれている知識や理解。≒識見、蘊蓄〈漢字ペディア〉","▼〔蘊蓄／薀蓄〕ウンチク
深く研究し、身にたくわえた知識。〈漢字ペディア〉"
H0281,1,【卒然】,類義語,"こうえん
きつりつ
てんちゅう",溘焉,"▼【卒然／率然】ソツゼン
にわかなさま。≒突然〈漢字ペディア〉","▼〔溘焉〕コウエン
思いがけず急に起こること。突然のこと。多く、人の死去についていう。〈漢字ペディア〉
にわかなさま。多く、人の死去のさまにいう。〈大辞泉〉"
H0282,1,【体面】,類義語,"たいじ
てきめん
こけん","沽券
估券","▼【体面】タイメン
世間に対する見栄(ﾐｴ)。世間体。≒面目〈漢字ペディア〉","▼〔沽券／估券〕コケン
1.人の値打ち。体面。品位。
2.土地や家などの売り渡しの証券。〈漢字ペディア〉"
H0283,1,【泰斗】,類義語,"やた
せきじゅ
なんめん",碩儒,"▼【泰斗】タイト
ある分野における権威者。泰山北斗の略。〈日本国語大辞典〉
★山の泰山と北斗星の意。","▼〔碩儒〕セキジュ
ひろく深い学問を身につけた学者。大学者。大儒。鴻儒。〈日本国語大辞典〉"
H0284,1,【退屈】,類義語,"りょうれき
べいべつ
ぶりょう",無聊,"▼【退屈】タイクツ
1.あきていやになること。
2.することがなく、時間をもてあますこと。〈漢字ペディア〉","▼〔無聊〕ブリョウ／ムリョウ
1.することがなく、退屈なこと。つれづれ。
2.気になることがあって楽しめないこと。〈漢字ペディア〉"
H0285,1,【大黒】,類義語,"ぼんさい
りろく
びゃくごう",梵妻,"▼【大黒】ダイコク<br1.(仏)「大黒天」の略。仏･法･僧の三宝の守護神。中国や日本では、食物の神として寺の台所にまつった。
2.七福神の一人。頭巾をかぶり、左肩に大きな袋を負い、右手に打ち出の小づちを持つ福徳の神。
3.僧の妻の俗称。〈漢字ペディア〉
★大黒天は、元来厨(ｸﾘﾔ)にまつられた神であるところから、寺院の飯炊き女をいい、また、私妾や妻をもいうようになったという。また、世を憚って厨だけに居て、世間に出さないからとも、大黒天の甲子祭から、子(寝)祭とのしゃれからともいう。","▼〔梵妻〕ボンサイ
(仏)僧の妻。大黒。〈漢字ペディア〉"
H0286,1,【脱稿】,類義語,"かくひつ
かくりん
すうまつ","擱筆
閣筆","▼【脱稿】ダッコウ
原稿を最後まで書き終えること。⇔起稿〈漢字ペディア〉","▼〔擱筆〕カクヒツ
筆をおく。特に、文章を書き終えて筆を下におく。⇔起筆〈漢字ペディア〉"
H0287,1,【端倪】,類義語,"ぎゃくと
へいげい
ぜってん",逆睹,"▼【端倪】タンゲイ
1.物事のはじめと終わり。
2.物事のなりゆきをおしはかること。推測すること〈漢字ペディア〉
1.物事の初めと終わり。事の始終。
2.物事の本と末、終わりと始めを推しはかること。あらかじめ予想すること。推測。〈大辞泉〉","▼〔逆睹〕ギャクト／ゲキト
あらかじめ見通しをつけること。〈漢字ペディア〉"
H0288,1,【鳥目】,類義語,"がちゅう
がんけん
あとぶつ",阿堵物,"▼【鳥目】チョウモク
穴のあいた銭。また、金銭。〈漢字ペディア〉
★昔の銭で、中央にあいた穴が鳥の目に似ていたことから。","▼〔阿堵物〕アトブツ
銭の異名。〈漢字ペディア〉
★中国六朝(ﾘｸﾁｮｳ)時代の俗語で、このもの、の意。晋の王衍(ｵｳｴﾝ)が金銭を忌んで呼んだところからという。"
H0289,1,【鶴首】,類義語,"ぎょうぼう
ふけい
てきよう",翹望,"▼【鶴首】カクシュ
鶴のように首を長くして、物事の到来を待ちわびること。〈漢字ペディア〉","▼〔翹望〕ギョウボウ
首をのばして待ち望むこと。物事の実現を強く願うこと。切望。≒鶴首〈漢字ペディア〉"
H0290,1,【挺身】,類義語,"じんすい
わいく
りょりょく",尽瘁,"▼【挺身】テイシン
 身を投げ出し、人に先んじて事にあたること。","▼〔尽瘁〕ジンスイ
全力をつくして労苦すること。ほねおり。≒尽力〈漢字ペディア〉"
H0291,1,【天河】,類義語,"けいでん
しゅうびん
ぎんかん",銀漢,"▼【天河】テンガ
あまのがわ。銀河。天漢。〈日本国語大辞典〉","▼〔銀漢〕ギンカン
あまのがわ。≒銀河〈漢字ペディア〉"
H0292,1,【天資】,類義語,"ぎょうそ
ひんしつ
とうしゅ","稟質
禀質","▼【天資】テンシ
生まれつき備わっている性質や資質。≒天性、天賦、天質〈漢字ペディア〉","▼〔稟質〕ヒンシツ
生まれつきの性質。≒稟性、稟賦、天性〈漢字ペディア〉"
H0293,1,【天性】,類義語,"ひんしつ
せんけん
いとん","稟質
禀質","▼【天性】テンセイ
生まれつきの性質。≒天資、天成〈漢字ペディア〉","▼〔稟質〕ヒンシツ
生まれつきの性質。≒稟性、稟賦、天性〈漢字ペディア〉"
H0294,1,【添刪】,類義語,"ふえつ
かいしゅん
さんじょ","斧鉞
斧戉","▼【添刪／添竄】テンザン／テンサン
詩文･答案などの語句を補ったり除いたりして直すこと。≒添削〈漢辞海〉","▼〔斧鉞／斧戉〕フエツ
1.おのとまさかり。
2.昔中国で、天子から諸侯に生殺の権のしるしとして、また、出征の将軍に兵士を統率するしるしとして与えられたもの。転じて、兵器。また、征伐をいう。
3.重刑。重い刑罰。②が軍中での極刑具であったところから。
4.手を入れてなおすこと。文章の詩句をけずること。添削。〈日本国語大辞典〉"
H0295,1,【点竄】,類義語,"きつぎゃく
ふえつ
はいたく","斧鉞
斧戉","▼【点竄】テンザン
文章の字句を訂正すること。〈漢字ペディア〉
文章などの字句を、ところどころあらためること。〈漢字源〉","▼〔斧鉞／斧戉〕フエツ
1.おのとまさかり。
2.昔中国で、天子から諸侯に生殺の権のしるしとして、また、出征の将軍に兵士を統率するしるしとして与えられたもの。転じて、兵器。また、征伐をいう。
3.重刑。重い刑罰。②が軍中での極刑具であったところから。
4.手を入れてなおすこと。文章の詩句をけずること。添削。〈日本国語大辞典〉"
H0296,1,【徒然】,類義語,"ぶりょう
けっか
ばんこく",無聊,"▼【徒然】トゼン／つれづれ
1.何もすることがなく退屈なさま。
2.つくづくと物思いにひたるさま。また、しんみりともの寂しいさま。〈漢字ペディア〉","▼〔無聊〕ブリョウ／ムリョウ
1.することがなく、退屈なこと。つれづれ。
2.気になることがあって楽しめないこと。〈漢字ペディア〉"
H0297,1,【登極】,類義語,"とうか
あんが
せんそ",践祚,"▼【登極】トウキョク
天子の位につくこと。即位。登祚(ﾄｳｿ)。〈大辞泉〉
★「極」は、最高の位の意。","▼〔践祚〕センソ
天皇の位につくこと。天皇の地位を受けつぐこと。〈漢字ペディア〉"
H0298,1,【盗品】,類義語,"きんかく
ぞうぶつ
とうあん",贓物,"▼【盗品】トウヒン
ぬすんだ品物。贓品(ｿﾞｳﾋﾝ)。贓物。〈日本国語大辞典〉","▼〔贓物〕ゾウブツ／ゾウモツ
窃盗･詐欺などで不法に侵害して手に入れた他人の財物。盗品など。≒贓品〈漢字ペディア〉
不正手段によって得た財物。≒贓品〈漢辞海〉
犯罪によって他人の財産を侵害し、手に入れた物。盗品の類。贓品。ぞうもつ。〈大辞泉〉"
H0299,1,【陶冶】,類義語,"かんよう
こうきん
ふえつ",涵養,"▼【陶冶】トウヤ
1.陶器を焼くことと鋳物(ｲﾓﾉ)を作ること。
2.才能･素質を引き出し、人材を育てること。≒薫陶〈漢字ペディア〉","▼〔涵養〕カンヨウ
自然に心にしみこむように育てること。徐々に育成していくこと。〈漢字ペディア〉"
H0300,1,【瞳人】,類義語,"せきし
すうじょう
ぼうし",眸子,"▼【瞳人】ドウジン
ひとみ。広く、目。〈漢辞海〉
★相手の瞳の中に自分の姿が映るから。","▼〔眸子〕ボウシ
ひとみ。黒目。瞳孔。〈漢字ペディア〉"
H0301,1,【読経】,類義語,"ぎゃくと
かんきん
ふうじゅ",諷誦,"▼【読経】ドキョウ／ドッキョウ
声を出して経文を読み上げること。≒読誦(ﾄﾞｸｼﾞｭ)、⇔看経(ｶﾝｷﾝ)〈漢字ペディア〉","▼〔諷誦〕フウジュ／フジュ／フウショウ
(仏)経文などを声を出して読むこと。読経(ﾄﾞｷｮｳ)。〈漢字ペディア〉"
H0302,1,【廃頽】,類義語,"えきせい
さんじょう
しきび",式微,"▼【廃頽／廃退】ハイタイ
≒退廃、頽廃
1.すたれくずれること。衰えすたれること。
2.道徳などがすたれること。〈漢字ペディア〉","▼〔式微〕シキビ／ショクビ
勢いがひどく衰えること。〈漢字ペディア〉
★「式」は、助辞。「微」は、衰えるの意。"
H0303,1,【白面】,類義語,"だいこく
ひやく
こうふん",黄吻,"▼【白面】ハクメン
1.素顔。
2.色の白い顔。
3.年が若く、経験の少ないこと。未熟なこと。〈漢字ペディア〉","▼〔黄吻〕コウフン
1.ひなどりの黄色いくちばし。
2.年少で経験の浅いこと。また、その人。≒黄口(ｺｳｺｳ)〈漢字ペディア〉"
H0304,1,【八荒】,類義語,"うだい
ろっぴ
けいし",宇内,"▼【八荒】ハッコウ
国の八方の遠い果て。地上のありとあらゆる方面。国のすみずみ。天下。全世界。八極。八紘(ﾊｯｺｳ)。〈日本国語大辞典〉
★「荒」は、国の果ての意。","▼〔宇内〕ウダイ
あめのした。天下。世界。〈漢字ペディア〉"
H0305,1,【繁華】,類義語,"じょくしょ
いんしん
りひ",殷賑,"▼【繁華】ハンカ
いつも人が多く集まって、にぎやかなさま。〈漢字ペディア〉","▼〔殷賑〕インシン
非常ににぎやかで、活気にあふれること。≒繁華〈漢字ペディア〉
活気があってにぎやかなこと。また、そのさま。≒繁華〈大辞泉〉
栄え賑わうこと。にぎわしいこと。〈新大字典〉"
H0306,1,【卑猥】,類義語,"いんび
わいさ
へんすい","淫靡
婬靡","▼【卑猥／鄙猥】ヒワイ
いやしくて、みだらなこと。下品でけがわらしいこと。〈漢字ペディア〉","▼〔淫靡／婬靡〕インビ
男女の関係や風俗などが乱れているさま。〈漢字ペディア〉"
H0307,1,【肥沃】,類義語,"こうゆ
いじょう
ぶりょう",膏腴,"▼【肥沃】ヒヨク
土地の栄養分が十分で、作物の生育に適していること。≒肥饒(ﾋｼﾞｮｳ)〈漢字ペディア〉","▼〔膏腴〕コウユ
地味が豊かで肥えていること。また、その土地。≒膏沃、肥沃〈漢字ペディア〉"
H0308,1,【匹耦】,類義語,"そんぷうし
こうれい
ききゅう",伉儷,"▼【匹耦／匹偶】ヒツグウ
1.相手や仲間になること。また、その相手や仲間。
2.結婚すること。また、つれあい、めおと。≒配偶〈漢字ペディア〉","▼〔伉儷〕コウレイ
夫婦。伴侶。つれあい。配偶者。〈漢字ペディア〉"
H0309,1,【表掲】,類義語,"ひょうぼう
ほうへん
はいせい",標榜,"▼【表掲】ヒョウケイ
人目にふれるようにかかげること。掲示。〈大辞泉〉","▼〔標榜〕ヒョウボウ
1.主義･主張を公然と掲げること。
2.人の善行をほめ、それを札などに記して公衆に示すこと。〈漢字ペディア〉"
H0310,1,【斧鉞】,類義語,"はんろう
すいこう
ひんしつ",推敲,"▼【斧鉞／斧戉】フエツ
1.おのとまさかり。
2.昔中国で、天子から諸侯に生殺の権のしるしとして、また、出征の将軍に兵士を統率するしるしとして与えられたもの。転じて、兵器。また、征伐をいう。
3.重刑。重い刑罰。②が軍中での極刑具であったところから。
4.手を入れてなおすこと。文章の詩句をけずること。添削。〈日本国語大辞典〉","▼〔推敲〕スイコウ
詩や文章を作るとき、より適切な字句や表現を求めて、練り上げること。〈漢字ペディア〉
詩歌･文章の字句を良くしようとして、何度も作り直すこと。〈漢字源〉
★唐の賈島(ｶﾄｳ)が、「僧は推す月下の門」という句で「推す」にするか「敲く」にするかと、迷い苦しんだことから。"
H0311,1,【父母】,類義語,"あじゃり
こじ
こうどう",怙恃,"▼【父母】フボ／ブモ
父と母。両親。〈日本国語大辞典〉","▼〔怙恃〕コジ
1.たのみとすること。
2.父母。子がたのみとする者。詩経の「父無ければ何をか怙(ﾀﾉ)まん、母無ければ何をか恃(ﾀﾉ)まん」による。〈漢字ペディア〉"
H0312,1,【腹心】,類義語,"がいてい
ここう
けいきょく",股肱,"▼【腹心】フクシン
1.心の奥底。真心。
2.心から信頼していて、なんでも相談したりまかせたりすることのできる人。〈漢字ペディア〉","▼〔股肱〕ココウ
1.股(ﾓﾓ)と肱(ﾋｼﾞ)。
2.なくてはならないもの。最もたよりにするもの。手足となって働く大切な家来。腹心。〈日本国語大辞典〉"
H0313,1,【覆載】,類義語,"れいめい
こぼん
しょうじょう",霄壌,"▼【覆載】フウサイ
1.天が万物を覆い、地が万物を載せること。また、天地や君主の恩恵のたとえ。
2.転じて、天と地。宇宙。乾坤(ｹﾝｺﾝ)。〈大辞林〉
1.万物をおおう天と、万物をのせる地。また、天が万物をおおい、地が万物をのせること。
2.天地。宇宙。乾坤(ｹﾝｺﾝ)。〈漢字ペディア〉","▼〔霄壌〕ショウジョウ
1.天と地。天地。
2.天地ほどに、大きな隔たりであることのたとえ。雲泥。〈漢辞海〉
天と地。また、天と地のように非常に隔たりのあるたとえ。≒雲泥〈漢字ペディア〉"
H0314,1,【淵源】,類義語,"らんしょう
えいまい
しそ",濫觴,"▼【淵源】エンゲン
物事の起源。≒根源、本源〈漢字ペディア〉","▼〔濫觴〕ランショウ
物事の最初。起こり。起源。〈漢字ペディア〉
★揚子江も源に遡れば、觴(ｻｶｽﾞｷ)を濫(ｳ)かべるほどの細流であったとの意から。一説に、「濫」は、あふれる意で、觴を溢れさせるほどのわずかな水流をいうとも。"
H0315,1,【僻陬】,類義語,"しゃきょう
ふくへき
へんすい","辺陲
辺垂","▼【僻陬】ヘキスウ
へんぴな土地。僻地。〈大辞林〉
「僻地」に同じ。〈漢字ペディア〉","▼〔辺陲／辺垂〕ヘンスイ
国のさかい。国の果て。辺境。辺陬。"
H0316,1,【碧空】,類義語,"そうきゅう
てんけん
そくじつ",蒼穹,"▼【碧空】ヘキクウ
あおい空。≒青空、碧天〈漢字ペディア〉","▼〔蒼穹〕ソウキュウ
あおぞら。大空。≒蒼天、蒼空〈漢字ペディア〉"
H0317,1,【別懇】,類義語,"わいせつ
しんじつ
ぎょうそ",親昵,"▼【別懇】ベッコン
とりわけ親しいこと。≒昵懇〈漢字ペディア〉","▼〔親昵〕シンジツ
したしくしてなじむ。また、親しく仲の良い人。〈漢字源〉
よく親しみなじむこと。≒昵懇〈漢字ペディア〉"
H0318,1,【輔佐】,類義語,"かじ
ゆうえき
かくしゅ",誘掖,"▼【輔佐／補佐】ホサ
人の仕事に力添えして助けること。また、その役や人。≒補弼、輔弼〈漢字ペディア〉","▼〔誘掖〕ユウエキ
導き助けること。導き教えること。〈漢字ペディア〉
★「誘」は、前に居て導く。「掖」は、側から助ける。"
H0319,1,【輔弼】,類義語,"さんじょう
きょうかく
りょうじ",賛襄,"▼【輔弼／補弼】ホヒツ
君主が政治を行うのを助けること。また、その役や人。≒補佐、輔佐〈漢字ペディア〉","▼〔賛襄〕サンジョウ
助力して、事をなしとげさせる。〈新漢和大字典〉
たすけて成さしめる。〈字通〉
君徳をたすけてその治を成す。〈字源〉
助けて物事を行なうこと。君主を助けて政治を行なうこと。〈日本国語大辞典〉
★「襄」は、成す･行なうの意。"
H0320,1,【輔弼】,類義語,"びょうえい
そいん
ゆうえき",誘掖,"▼【輔弼／補弼】ホヒツ
君主が政治を行うのを助けること。また、その役や人。≒補佐、輔佐〈漢字ペディア〉","▼〔誘掖〕ユウエキ
導き助けること。導き教えること。〈漢字ペディア〉
★「誘」は、前に居て導く。「掖」は、側から助ける。"
H0321,1,【崩御】,類義語,"はきょう
がいりゃく
とうか","登遐
登霞
登仮","▼【崩御】ホウギョ
天皇･皇后･皇太后･太皇太后の死去を敬っていう語。〈漢字ペディア〉","▼〔登遐／登霞／登仮〕トウカ
天子の崩御をいう語。≒登霞〈大辞泉〉
≒登仮
1.仙界に登る。天子などの死を間接的に表現した言い方。
2.ある境界･状態にまで登りいたる。〈漢辞海〉"
H0322,1,【本営】,類義語,"いばく
がとう
りょうき",帷幕,"▼【本営】ホンエイ
総指揮官がいる軍営。≒本陣〈漢字ペディア〉","▼〔帷幕〕イバク／イマク
1.垂らした仕切り布。とばり。幕。引き幕。≒帷幄、帷帳
2.作戦計画を立てるところ。≒帷幄、帷帳
3.婦人の居室。〈漢字ペディア〉"
H0323,1,【妹背】,類義語,"けいごう
こんてい
こうれい",伉儷,"▼【妹背／妹兄】いもせ
1.愛し合う男女。夫婦。
2.兄と妹。まれに、姉と弟のこともいう。〈漢字ペディア〉","▼〔伉儷〕コウレイ
夫婦。伴侶。つれあい。配偶者。〈漢字ペディア〉"
H0324,1,【末世】,類義語,"ぎょうき
びょうえい
えきよう",澆季,"▼【末世】マッセ
1.道義がすたれ、乱れた世の中。すえの世。≒末代、澆季
2.(仏)仏法の衰えた末法の世。〈漢字ペディア〉","▼〔澆季〕ギョウキ
人情や道徳意識が薄れてこの世の終わりとも感じられるほど、乱れた世の中。末世。≒澆末〈漢字ペディア〉"
H0325,1,【未曽有】,類義語,"こうこ
しゅうぼく
ききょ","曠古
昿古","▼【未曽有】ミゾウ／ミゾウウ
1.これまでになかった、素晴らしいこと、という賛嘆の語。梵語adbhutaの漢訳。
2.かつて一度なかったさま。未だ曽(ｶﾂ)て有らず。〈漢辞海〉","▼〔曠古〕コウコ
昔から前例のないこと。≒空前、未曽有〈漢字ペディア〉
★古(ｲﾆｼｴ)を曠(ﾑﾅ)しくする意。"
H0326,1,【民草】,類義語,"そうこく
そうもう
そうぼう",蒼氓,"▼【民草】たみくさ／たみぐさ
人民。民衆。たみ。〈漢字ペディア〉
★人民の数の多さを草にたとえた語。","▼〔蒼氓〕ソウボウ
人々。民衆。≒蒼生、蒼民〈漢辞海〉
もろもろのたみ。≒蒼生、蒼民〈字源〉
「蒼生」に同じ。〈漢字ペディア〉
民(ﾀﾐ)。人民。蒼生。〈大辞泉〉"
H0327,1,【面妖】,類義語,"しれつ
けげん
けっさ",怪訝,"▼【面妖】メンヨウ
不思議なこと。怪しいさま。〈漢字ペディア〉","▼〔怪訝〕ケゲン／カイガ
理由･事情がわからず合点がいかないこと。あやしみ、いぶかしく思うこと。〈漢字ペディア〉
不思議で納得がいかないこと。また、そのさま。〈大辞泉〉"
H0328,1,【目蓋】,類義語,"がいさい
ぼうし
がんけん",眼瞼,"▼【目蓋／瞼】まぶた
眼球を覆う皮膚のひだで、上下に分かれる部分。まなぶた。≒眼瞼〈漢字ペディア〉","▼〔眼瞼〕ガンケン
まぶた。〈漢字源〉
眼球の上下をおおい、開閉する部分。まぶた。〈漢字ペディア〉"
H0329,1,【誘掖】,類義語,"りゅうじょ
ていせい
こうえん",提撕,"▼【誘掖】ユウエキ
導き助けること。導き教えること。〈漢字ペディア〉
★「誘」は、前に居て導く。「掖」は、側から助ける。","▼〔提撕〕テイセイ／テイゼイ
1.手に提げて持つ。
2.後輩や後進の者を教え導く。
3.励ます。〈漢字源〉
1.師が弟子を奮起させ導くこと。特に禅宗で、師が語録や公案などを講義して導くこと。
2.後進を教え導くこと。
3.奮い起こすこと。盛んにすること。〈大辞泉〉"
H0330,1,【余命】,類義語,"よおう
ざんぜん
かんたん",残喘,"▼【余命】ヨメイ
死ぬまでに残っているいのち。≒余生〈漢字ペディア〉","▼〔残喘〕ザンゼン
残り少ない余命。余生。≒残生〈漢字ペディア〉"
H0331,1,【与同】,類義語,"しょくろく
あくらつ
さたん",左袒,"▼【与同】ヨドウ
同意して力を貸すこと。仲間にはいること。また、その人。〈日本国語大辞典〉","▼〔左袒〕サタン
人の意見に賛成して、味方をすること。
★中国、漢の太尉の周勃(ｼｭｳﾎﾞﾂ)が帝室劉氏(ﾘｭｳｼ)を守って、権勢を振るっていた呂太后(ﾘｮﾀｲｺﾞｳ)の呂氏一族を討とうとしたとき、全軍に向かって呂氏に味方する者は右袒せよ、劉氏に味方する者は左袒せよと言い、全員が左袒(衣の袖を脱いで肩を現すこと)した故事による。〈漢字ペディア〉"
H0332,1,【来駕】,類義語,"ひりん
ちょうきん
きき",賁臨,"▼【来駕】ライガ
身分の高い人や目上の人が訪ねてくることを敬った言い方。おいでいただくこと。〈漢字ペディア〉","▼〔賁臨〕ヒリン
他人が自分の家に訪れてくることを敬って言うことば。おいでになる。御光来。御光臨。〈新漢和大字典〉
御来臨。御光臨。〈字通〉
客を敬って、その来訪をいう語。光来。光臨。来臨。〈大辞泉〉
客が訪れてくることの敬称。お越し。≒光臨〈漢字ペディア〉"
H0333,1,【落魄】,類義語,"せんめつ
らいらく
ちんりん",沈淪,"▼【落魄】ラクハク／ラクバク／ラクタク
おちぶれること。≒零落〈漢字ペディア〉","▼〔沈淪〕チンリン
1.深く沈むこと。
2.落ちぶれること。≒零落〈漢字ペディア〉
1.深く沈み込む。
2.おちぶれる。≒零落、淪落〈日本国語大辞典〉"
H0334,1,【乱雑】,類義語,"きかく
ろうすい
ろうぜき",狼藉,"▼【乱雑】ランザツ
秩序だっておらず、ばらばらに散らかっているさま。入りまじって整理されていないこと。だらしのないさま。〈漢字ペディア〉","▼〔狼藉〕ロウゼキ
1.取り散らかって乱雑なこと。
2.乱暴で無法な行い。〈漢字ペディア〉
★狼が草を藉(ｼ)いて寝たあとの乱れたようすから。"
H0335,1,【乱丁】,類義語,"しんろう
あんとく
さっかん",錯簡,"▼【乱丁】ランテイ
書物のページの順序が、とじちがえられていること。また、そのページ。≒落丁〈漢字ペディア〉","▼〔錯簡〕サッカン
書物の紙の順序があやまっていること。また、文字･文章の前後の乱れ。〈漢字ペディア〉
★竹簡が入り交じる意。"
H0336,1,【濫觴】,類義語,"はらん
しょうけつ
ようらん",揺籃,"▼【濫觴】ランショウ
物事の最初。起こり。起源。〈漢字ペディア〉
★揚子江も源に遡れば、觴(ｻｶｽﾞｷ)を濫(ｳ)かべるほどの細流であったとの意から。一説に、「濫」は、あふれる意で、觴を溢れさせるほどのわずかな水流をいうとも。","▼〔揺籃〕ヨウラン
1.「揺籠(ゆりかご)」に同じ。
2.物事が発展する最初の時期や場所。〈漢字ペディア〉
1.ゆりかご。
2.幼少期。
3.物事の初期、発祥地のたとえ。〈漢辞海〉
1.ゆりかご。
2.幼児期。また、物事が発展する初めの時期や場所。〈大辞泉〉"
H0337,1,【流浪】,類義語,"はせん
ほうふつ
かんすい",播遷,"▼【流浪】ルロウ
あてどもなく、さまよい歩くこと。さすらうこと。≒浮浪、放浪〈漢字ペディア〉","▼〔播遷〕ハセン
遠くをさすらうこと。遠国をさまよい歩くこと。〈日本国語大辞典〉"
H0338,1,【凌虐】,類義語,"きょうだ
こうゆ
じゅうりん","蹂躪
蹂躙","▼【凌虐／陵虐】リョウギャク
虐げて痛めつけること。はずかしめ、いじめること。〈漢字ペディア〉","▼〔蹂躪〕ジュウリン
権力や腕力で相手の権利などをふみにじること。〈漢字ペディア〉"
H0339,1,【累世】,類義語,"えきよう
えんおう
せんげ",奕葉,"▼【累世】ルイセイ
世を重ねること。代々。累代。るいせ。〈日本国語大辞典〉","▼〔奕葉〕エキヨウ
世を重ねること。世々。代々。累世。奕世(ｴｷｾｲ)。〈大辞泉〉
「奕世（ｴｷｾｲ:代々。よよ。世を重ねること。≒奕葉、累世、累代）」に同じ。〈漢字ペディア〉"
H0340,1,【朗報】,類義語,"きっそう
おんこう
ほうひ",吉左右,"▼【朗報】ロウホウ
よい知らせ。明るい知らせ。≒吉報、⇔悲報〈漢字ペディア〉","▼〔吉左右〕キッソウ
1.良い便り。喜ばしい知らせ。≒吉報
2.良いか悪いか、どちらかの便り。〈漢字ペディア〉
★「左右」は知らせ･便りの意。"
H0341,1,【牢記】,類義語,"えんざん
れいぎょ
ふくよう",服膺,"▼【牢記】ロウキ
かたく心のなかにとどめて記憶すること。≒銘記〈漢字ペディア〉","▼〔服膺〕フクヨウ
心にしっかりとどめて、片時も忘れないこと。〈漢字ペディア〉
他人の戒め･命令などをしっかりと心にとめて忘れないこと。忘れずに守ること。相手のことばを受け入れて実行すること。〈日本国語大辞典〉"
H0342,1,【老大家】,類義語,"こうりょう
きしゅく
もうろく",耆宿,"▼【老大家】ロウタイカ
年功や経験を積んで、その道にすぐれた老人。〈大辞泉〉","▼〔耆宿〕キシュク
経験豊かで学徳の備わった老人。≒宿老〈漢字ペディア〉"
H0343,1,【仄日】,類義語,"ひっきょう
らっき
あゆ",落暉,"▼【仄日】ソクジツ
夕日。夕方のかたむいた太陽。≒斜陽〈漢字ペディア〉
西に傾く日。夕日。斜陽。〈日本国語大辞典〉
夕方のかたむいた太陽。夕日。","▼〔落暉〕ラッキ
沈みかけている太陽。夕日。入り日。≒落陽〈漢字ペディア〉"
H0344,1,【倥偬】,類義語,"はんげき
かんか
こうれい",繁劇,"▼【倥偬】コウソウ
1.忙しくてあわただしいさま。
2.うろたえるさま。〈漢字源〉
あわただしいさま。いそがしいさま。せわしないさま。〈漢字ペディア〉","▼〔繁劇〕ハンゲキ
仕事がこまごましていて、非常に忙しいこと。また、そのさま。≒繁忙〈漢字ペディア〉"
H0345,1,【儔侶】,類義語,"せいはい
てんぼ
ゆうぶつ",儕輩,"▼【儔侶】チュウリョ
仲間。ともがら。〈漢字ペディア〉","▼〔儕輩〕セイハイ
仲間。ともがら。〈漢字源〉
なかま。同輩。〈字通〉
同じ仲間。ともがら。同類。≒同輩〈漢字ペディア〉"
H0346,1,【冀求】,類義語,"せんぼう
りんせい
しょき",庶幾,"▼【冀求／希求】キキュウ
こうあってほしいと強く願い求めること。こいねがうこと。≒熱望、切望〈漢字ペディア〉","▼〔庶幾〕ショキ
1.望み願うこと。いちずに希望すること。
2.きわめて似ること。近似すること。"
H0347,1,【甸服】,類義語,"ちょうぶく
りょうしゅう
きない",畿内,"▼【甸服】デンプク
中国、古代の五服（五つの地域）の一つ。王城の周囲、各五百里以内の天子に直属した地。畿内(ｷﾅｲ)。〈漢字ペディア〉","▼〔畿内〕キナイ／キダイ
山城(ﾔﾏｼﾛ)･大和(ﾔﾏﾄ)･河内(ｶﾜﾁ)･和泉(ｲｽﾞﾐ)･摂津(ｾｯﾂ)の五か国の総称。五畿内。〈漢字ペディア〉"
