ID,難易度,問題⒜,解答⒜,問題⒝,解答⒝,意味
G0191,1,鞫獄,きくごく,鞫す,ただ,"裁判をする。〈漢辞海〉
罪を調べ上げて、裁きをつける。≒鞠獄、断獄、究獄〈漢字源〉
"
G0192,1,徼冀,"きょうき
ぎょうき",徼める,もと,"強いて求め願う。〈字源〉
願い求めること。〈新大字典〉"
G0193,1,泝沿,そえん,泝る,さかのぼ,"川の流れをさかのぼることと、流れに沿って下ること。〈漢字源〉
流れをさかのぼることとくだること。〈新大字典〉"
G0194,1,嫩緑,どんりょく,嫩い,わか,芽生えたばかりの若葉の緑。≒新緑〈漢字ペディア〉
G0195,1,釁鍾,きんしょう,釁る,ちぬ,鐘にちぬる。〈字通〉
G0196,1,祓禳,ふつじょう,禳う,はら,"神に祈り、災いをはらい除く。〈漢辞海〉
神に祈り、災いをはらい除く。〈漢字源〉"
G0197,1,抔飲,ほういん,抔う,すく,"手ですくって飲む。〈漢辞海〉
手ですくって飲む。〈漢字源〉"
G0198,1,綰摂,"わんしょう
わんせつ",綰べる,す,"統べる。〈字通〉
ととのえ治めること。〈新大字典〉"
G0199,1,稟質,ひんしつ,稟ける,う,生まれつきの性質。≒稟性、稟賦、天性〈漢字ペディア〉
G0200,1,豢擾,かんじょう,擾らす,な,"家畜を飼いならす。〈漢辞海〉
やしないならす。豢養馴擾。〈字源〉飼いならす。〈字通〉
獣などを養ってならす。〈新漢和大字典〉"
G0201,1,噴嚔,ふんてい,嚔る,はなひ,くしゃみ。〈漢字ペディア〉
G0202,1,緝綴,"しゅうてい
しゅうてつ",緝める,あつ,"文章を集めてつづる。〈漢辞海〉
あつめつづる。文を作る。〈字源〉
≒輯綴
1.あつめてつづる。
2.文を作る。〈漢字源〉"
G0203,1,幎冒,べきぼう,幎う,おお,顔隠しで死者の顔を覆う。〈漢字源〉
G0204,1,鬯浹,ちょうしょう,鬯びる,の,"のびやかに広くゆきわたる。〈漢辞海〉
のびてあまねくゆきわたる。〈字源〉
のびのびと、広く行き渡ること。≒暢浹〈漢字源〉"
G0205,1,淹漬,えんし,淹す,ひた,"水につかること。また、水につけること。水びたし。〈漢字源〉
ひたす。〈字通〉"
G0206,1,愨愿,かくげん,愿む,つつし,"つつしみ深いこと。〈新大字典〉
つつしみ深く、すなお。〈字通〉"
G0207,1,摎結,"きゅうけつ
こうけつ",摎わる,まつ,しめて結ぶ。まといつく。〈漢字源〉
G0208,1,曄桃,ようとう,曄く,かがや,"義未詳。
★現存する最古の日本漢詩集『懐風藻』に記載あり。曄桃は桃が咲く意か。"
G0209,2,刎頸,ふんけい,刎ねる,"は
くびは",首をはねること。首を切ること。斬首。〈漢字ペディア〉
G0210,2,乂寧,がいねい,乂める,おさ,"治まって無事。≒乂安〈字通〉
よく治まって安らかなこと。≒乂安〈新大字典〉
治まりて安らか。≒安寧〈字源〉"
G0211,2,乖戻,かいれい,乖く,そむ,"道理に逆らい、そむくこと。≒背戻〈漢字ペディア〉
そむき逆らうこと。≒背戻〈大辞泉〉
そむきもとること。食い違うこと。≒乖悖〈新大字典〉
さからい、そむくこと。また、性質が反抗的なさま。〈日本国語大辞典〉"
G0212,2,仍旧,じょうきゅう,仍る,よ,"古い方法･習慣に従って今まで通りにする。≒仍貫〈漢字源〉
1.旧による。すべて旧習に照らして行う。
2.依然として。仍然。〈漢辞海〉"
G0213,2,仄聞,そくぶん,仄か,ほの,"風のたよりに聞くこと。ほのかに聞くこと。≒側聞〈漢字ペディア〉
ほのかに聞く。〈字通〉"
G0214,2,屠狗,とく,屠る,ほふ,"1.犬を殺して肉を売る。
2.いやしい出身の豪傑。〈漢辞海〉
1.犬を殺し、その肉を売るのを職業とする人。犬殺し。
2.転じて、いやしい職業に従事する者のたとえ。〈漢字源〉"
G0215,2,腥穢,せいわい,腥い,なまぐさ,"なまぐさくて、けがれている。〈新漢和大字典〉
けがれる。〈字通〉
なまぐさくてけがれていること。また、そのもの〈日本国語大辞典〉"
G0216,2,翦剔,"せんてき
せんてい",剔る,"えぐ
そ","切ること。また、切り平らげること。〈新大字典〉
切り除く。〈字通〉"
G0217,2,顰蹙,ひんしゅく,顰める,"しか
ひそ",顔をしかめて不快感を表すこと。〈漢字ペディア〉
G0218,2,窘蹙,きんしゅく,蹙る,せま,"くるしみ、ちぢまる。すくむ。〈漢字源〉
すくむ。〈字通〉
苦しみ縮むこと。すくむこと。また、迫り苦しめること。≒窘縮〈日本国語大辞典〉"
G0219,2,恤民,じゅつみん,恤む,めぐ,人民をあわれんで、金品を施すこと。民にめぐむこと。〈漢字ペディア〉
G0220,2,齧噬,げつぜい,噬む,か,"物をかむ。〈新漢和大字典〉
かむ。〈字通〉"
G0221,2,延攬,えんらん,攬る,と,"人を引き招いて味方につけること。〈新大字典〉
味方として引き入れる。〈漢辞海〉"
G0222,2,蟠踞,ばんきょ,踞る,うずくま,"≒盤踞
1.しっかりと根を張って動かないこと。
2.広く領地を占領して勢力をふるうこと。〈漢字ペディア〉"
G0223,2,勖厲,きょくれい,厲む,はげ,"精を出して努めはげむこと。〈漢字ペディア〉
つとめはげむ。〈字通〉"
G0224,2,渾身,こんしん,渾て,すべ,からだ全体。全身。≒満身〈漢字ペディア〉
G0225,2,嚬呻,ひんしん,呻く,うめ,"顔をしかめて、苦しんでうめく。〈漢字源〉
1.眉をしかめて苦しみうめく。
2.苦吟する。〈漢辞海〉"
G0226,2,均沾,きんてん,沾う,うるお,利益や恩恵をみんながひとしく受けること。恩恵が均等にいきわたること。≒均沾〈漢字ペディア〉
G0227,2,鑽燧,さんすい,鑽る,き,"木の棒をきりもみして火を起こす。〈漢辞海〉
木や石などをきりもみして、火をおこすこと。〈漢字源〉
木に穴をあけて、すりもみて火をとる。〈字源〉"
G0228,2,枉駕,おうが,枉げる,ま,乗り物の進路を変えてわざわざ訪ねて来ること。相手の来訪を敬っていう語。御来駕。≒枉車、枉顧〈漢字ペディア〉
G0229,2,瞋目,しんもく,瞋らす,いか,"1.目をみはる。
2.怒って目をむく。〈漢辞海〉
怒って目をむく。〈漢字源〉
目をいからすこと。〈日本国語大辞典〉"
G0230,2,鬩牆,げきしょう,鬩ぐ,せめ,兄弟げんか。うちわもめ。〈漢字ペディア〉
G0231,2,銜冤,"がんえん
かんえん",銜む,ふく,"無実の罪を受けながら釈明できないこと。≒含冤〈漢字源〉
無念の思いをいだく。無実の罪や屈辱を他に訴える方法がないこと。含冤。〈漢辞海〉
冤罪をうけて伸理するを得ざる義。〈字源〉"
G0232,2,偸安,とうあん,偸む,ぬす,将来のことを考えず目前の安楽をむさぼること。一時逃れ。〈漢字ペディア〉
G0233,2,滔天,とうてん,滔る,はびこ,水が、天に届くほど満ちあふれること。また、勢力の盛んなたとえ。〈漢字ペディア〉
G0234,2,捫蝨,もんしつ,捫る,ひね,"人前で蝨をつぶす。物事にこだわらないさま。
人前で、蝨を手探りしてつぶす。無頓着で、あたりをかまわないさま。〈漢字源〉"
G0235,2,倚閭,いりょ,倚る,よ,"村の入り口の門によりかかり、遠くを眺める。子どもの帰りを首を長くして待つ形容。倚門の望。倚門。〈漢辞海〉
村の門によりかかる。母が子を帰るのを待つことのたとえ。〈漢字源〉
村の入口の門によりかかって母がわが子の帰りを待ち望むこと。〈日本国語大辞典〉"
G0236,2,簪筆,しんぴつ,簪す,かざ,"1.筆や冠を笏（コツ：手に持つしゃく）にさす。帝王の近臣や士大夫の心得の一つ。
2.官吏になる。〈漢辞海〉
1.筆を頭にさす。下級の官吏になること。
2.毛で飾ったかんざし。〈漢字源〉
筆をかしらにさす。小吏となるにいう。〈字源〉"
G0237,2,騁懐,ていかい,騁せる,は,"心に思っていることをよく述べる。〈漢辞海〉
遠くを思いやる。自由に思いめぐらす。〈漢字源〉
心に思うところを開きのべる。〈字源〉
思いを充分に述べること。〈新大字典〉"
G0238,2,闕疑,けつぎ,闕ける,か,"疑問で解決がつかないものは無理にこじつけたりしないで、そのまま残しておく慎重な態度をいう。〈漢辞海〉
疑わしいものとして、決定を保留しておくこと。また、そのような事柄。〈日本国語大辞典〉
1.疑わしいと思うことは、やらないでとりのけておく。
2.疑問な点は省いて触れないでおく。
3.疑わしい場合は、あえて罰しない。〈漢字源〉"
G0239,2,攘臂,じょうひ,攘う,はら,"腕まくりする。尽力する。〈漢辞海〉
うでまくりをすること。〈日本国語大辞典〉"
G0240,2,攘羊,じょうよう,攘む,ぬす,"1.迷い込んできた他人の羊をぬすんで、自分のものとする。
2.転じて、父親の悪事を訴えるような、ばか正直者のたとえ。〈漢字源〉"
G0241,2,効顰,こうひん,顰み,ひそ,善悪を区別することなく人の真似をすること。〈漢字ペディア〉
G0242,2,偃柝,えんたく,偃す,ふ,"夜景で使う拍子木を使用しない。治安が良く、盗賊を警戒する必要がないということ。〈漢辞海〉
夜回りの柏子木をふせて用いず、世が治まって盗賊の警戒を要しない義。〈字源〉"
G0243,2,刮刷,かっさつ,刮る,けず,"削り取る。≒刮去〈漢辞海〉
汚れをけずりとって綺麗にする。〈漢字源〉"
G0244,2,相軋,そうあつ,軋る,きし,"互いに争う。〈漢字源〉
あい争う。〈字通〉"
G0245,2,結紮,けっさつ,紮げる,から,血管をしばって血液の流れを止めること。〈漢字ペディア〉
G0246,2,嗜虐,しぎゃく,嗜む,たしな,残虐なことを好むこと。〈漢字ペディア〉
G0247,2,舐犢,しとく,舐める,な,親牛が子牛をなめて愛すること。犢は、小牛。転じて、親が子を愛撫するたとえ。舐犢之愛。〈新大字典〉
G0248,2,焦熬,しょうごう,熬る,い,"こがしいる。〈字源〉
こげいる。こがしいる。〈新大字典〉"
G0249,2,引咎,いんきゅう,咎め,とが,"責任をとる。≒引責〈漢辞海〉
責任を負う。≒引責〈漢字源〉"
G0250,2,舒巻,"じょけん
じょかん",舒べる,の,"1.広げることと、巻くこと。
2.時勢や物事に応じて進退し、身を処す。〈漢辞海〉
1.広げることと、巻くこと。
2.時勢や物事に応じて進退すること。〈漢字源〉"
G0251,2,偸俗,とうぞく,偸い,うす,偸薄（トウハク：軽薄で人情に欠ける）の俗。〈字通〉
G0252,2,傅愛,ふあい,傅く,"かしず
つ","かしずき愛する。〈字源〉
かしずき愛すること。〈新大字典〉"
G0253,2,僂身,"ろうしん
るしん",僂める,かが,"1.身をかがめること。
2.背骨が前方に湾曲している人。〈新大字典〉"
G0254,2,繊嗇,せんしょく,嗇か,やぶさ,"金銭にこまかい。けちで、ものおしみすること。≒吝嗇、孅嗇〈新漢和大字典〉
やぶさかなこと。惜しむこと。≒吝嗇〈新大字典〉
やぶさか。≒繊悋、吝嗇〈字源〉
ものおしみするさま。吝嗇。〈漢辞海〉
金銭にこまかい。けちで、ものおしみすること。≒孅嗇、吝嗇〈漢字源〉"
G0255,2,倹吝,けんりん,吝か,やぶさ,"つづまやかにしておしむ、やぶさか。〈字源〉
倹約して、物惜しみをする。≒倹嗇〈漢字源〉
物惜しみする。≒倹嗇〈漢辞海〉"
G0256,2,咬菜,こうさい,咬む,か,"野菜を食う。粗食する義。〈字源〉
野菜を食べる。粗末なものを食べること。〈新大字典〉
菜食。清貧の生活。〈字通〉"
G0257,2,鼻哂,びしん,哂う,わら,"鼻でわらう。せせらわらう。〈漢字源〉
せせら笑い。〈字通〉
鼻でせせら笑う。〈漢辞海〉
せせらわらい。〈字源〉"
G0258,2,哮噬,こうぜい,哮る,たけ,"1.たけりてかみつく。
2.転じて、賊軍の兵威の猛烈なるをいう言葉。〈字源〉
たけりかみつく。〈字通〉
1.怒りかみつく。
2.反乱軍の勢いの盛んなこと。〈漢字源〉
反乱軍などがたけり狂う。〈漢辞海〉"
G0259,2,哮虎,こうこ,哮える,ほ,怒りほえる虎。〈字通〉
G0260,2,健啖,けんたん,啖う,く,たくさん食べるさま。大食。〈漢字ペディア〉
G0261,2,牛喘,ぎゅうぜん,喘ぐ,あえ,"牛が暑に苦しみてあえぐ。〈字源〉
牛が暑熱によってあえぐ。〈漢辞海〉
牛が暑熱に苦しんであえぐこと。〈漢字源〉
牛が暑さにあえぐこと。〈新大字典〉
牛があえぐ。〈字通〉"
G0262,2,嗔詬,しんこう,嗔る,いか,"怒りてののしる。〈字源〉
罵る。〈字通〉"
G0263,2,嗚噎,おえつ,噎ぶ,むせ,"むせび泣く。≒嗚咽〈新漢和大字典〉
≒嗚咽
1.むせび泣く。
2.低く悲しげな声のさま。〈漢辞海〉"
G0264,2,噎嘔,えつおう,噎せる,む,"1.むせて食べ物を吐き出す。
2.笑い喜ぶ声。〈漢辞海〉
1.むせて吐くこと。
2.笑い喜ぶ声。〈新大字典〉"
G0265,2,曼嘯,まんしょう,嘯く,うそぶ,"音調を長くしてうそぶく。〈字源〉
声を長く引く。〈字通〉"
G0266,2,嚮背,"きょうはい
こうはい",嚮く,む,"1.正面と背面。こちらとあちら。
2.味方することと、背くこと。〈漢辞海〉
むかうと、そむくと。〈字源〉
くみすることとそむくこと。向背。郷背。〈新大字典〉"
G0267,2,嚮日,"きょうじつ
こうじつ",嚮に,さき,"1.さきごろ。先日。
2.太陽に向かう。
1.さきごろ。先日。往日。
2.太陽のほうに向くこと。〈漢字ペディア〉"
G0268,2,嚼蠟,しゃくろう,嚼む,か,"蠟をかむ。無味のはなはだしいことのたとえ。〈新大字典〉
無味。〈字通〉"
G0269,2,奢佚,しゃいつ,奢る,おご,"ぜいたくに暮らすさま。〈漢辞海〉
奢侈と逸楽。ぜいたくに遊びくらすこと。おごりなまけること。≒奢逸〈日本国語大辞典〉"
G0270,2,嬾拙,らんせつ,嬾い,ものう,"ものうくつたなし。〈字源〉
無精で世渡り上手。〈字通〉
ものうくてつたない。〈新大字典〉"
G0271,2,孕婦,ようふ,孕む,はら,"妊婦。妊娠している女性。〈漢辞海〉
妊娠している女。はらみおんな。妊婦。〈日本国語大辞典〉"
G0272,2,孚養,ふよう,孚む,はぐく,"養い育てること。≒孚育〈漢字源〉
はぐくみ養う。〈新大字典〉"
G0273,2,孵卵,ふらん,孵す,かえ,卵がかえること。また、卵をかえすこと。〈大辞泉〉
G0274,2,尸政,しせい,尸る,つかさど,政治をつかさどる。〈新大字典〉
G0275,2,萊孱,らいせん,孱い,よわ,"身分が卑しく、かよわいさま。〈漢辞海〉
いやしくしてかよわし。〈字源〉
身分がいやしく、からだが弱い。〈漢字源〉"
G0276,2,徇名,じゅんめい,徇う,したが,"名誉のために身命を捨てること。殉名。〈新大字典〉
名声のために命を棄てる。〈字通〉"
G0277,2,徇陳,じゅんちん,徇える,とな,宣示する。〈字通〉
G0278,2,所怙,しょこ,怙む,たの,"親の別称。〈漢辞海〉
頼りにするものの意から、親のこと。〈漢字源〉
親。〈字通〉
頼みにする人の意で、父母をいう。〈新大字典〉"
G0279,2,憑恃,ひょうじ,恃む,たの,"たよりにする。≒憑仗、憑藉〈漢字源〉
よりたのむ。〈字源〉
頼む。たよりにする。依存する。≒憑藉、憑仗、憑頼〈漢辞海〉"
G0280,2,国恤,こくじゅつ,恤える,うれ,"1.憂うべき国の大事。国家の危機。国難。
2.天子･皇后の喪。〈漢辞海〉
1.天子･皇后などが死ぬこと。
2.≒国難〈漢字源〉"
G0281,2,弔恤,ちょうじゅつ,恤れむ,あわ,"死を弔い、あわれむ。≒弔愍〈漢辞海〉
人の死を弔い、哀れむこと。〈日本国語大辞典〉"
G0282,2,悖繆,はいびゅう,悖る,もと,道理にはずれたさま。≒悖謬〈漢辞海〉
G0283,2,厳愨,げんかく,愨む,つつし,"おごそかで、つつしみ深い。≒厳恪〈漢辞海〉
おごそかにしてつつしむ。≒厳恪〈字源〉"
G0284,2,靦愧,てんき,愧じる,は,"恥じ入る。〈漢辞海〉
恥じて顔を赤くする。〈字源〉
恥じて顔を赤くする。≒靦慙〈漢字源〉"
G0285,2,懶困,らんこん,懶い,"ものう
ものぐさ","ものうくて。だるい。〈漢辞海〉
ものうくて、つかれる。≒嬾困〈漢字源〉"
G0286,2,畏憚,いたん,憚る,はばか,"おそれはばかること。〈大辞泉〉
おそれる。〈漢辞海〉"
G0287,2,依憑,いひょう,憑む,たの,"よりたのむ。≒依賴、依馮〈字源〉
たよる。よりかかる。≒依倚〈漢辞海〉
たよりとする。〈字通〉"
G0288,2,憫笑,びんしょう,憫れむ,あわ,あわれだとさげすんで笑うこと。また、その笑い。≒愍笑〈漢字ペディア〉
G0289,2,懋績,ぼうせき,懋ん,さか,"すぐれて盛んなるいさお。≒殊功〈字源〉
盛大な功績。≒懋勲〈漢辞海〉
大きく盛んな手柄。偉大な功績。〈漢字源〉"
G0290,2,懼讒,くざん,懼れる,おそ,"讒言をおそる。〈字源〉
讒言をおそれること。〈新大字典〉"
G0291,2,扣制,こうせい,扣える,ひか,"ひきとめる。おさえとどめる。≒牽制、抑制〈字源〉
引きとめる。おさえとどめる。控制。〈漢辞海〉
ひき止める。おさえとどめる。控制。〈漢字源〉
おさえること。引きとめること。制肘。〈新大字典〉"
G0292,2,扣鐘,こうしょう,扣く,たた,"鐘をうつこと。〈新大字典〉
鐘を打つ。〈字通〉"
G0293,2,扼腕,やくわん,扼える,おさ,自分の腕をおさえて、悔しがったり意気込んだりすること。≒搤腕〈漢字ペディア〉
G0294,2,抉摘,けってき,抉る,えぐ,"1.隠れたものをえぐり出す。
2.秘密･欠点をあばく。〈漢辞海〉
隠されたものや、内部に秘められたものをえぐり出す。≒摘抉〈漢字源〉
隠れたるものをかかげ出す。精義をさぐり出す。〈字源〉"
G0295,2,拱揖,きょうゆう,拱く,"こまぬ
こまね","両手を胸の前で組み合わせて会釈する。〈新漢和大字典〉
お辞儀する。〈字通〉
両手を胸の前に組んで会釈する。〈漢辞海〉"
G0296,2,挂錫,"けいしゃく
かいしゃく
けしゃく
かしゃく",挂ける,か,"錫杖を壁にかける。僧が一か所に長く滞在すること。〈漢辞海〉
錫杖をかける。僧が一か所に長くとどまること。≒掛錫〈漢字源〉
錫扙をかく。僧の一所にとどまるにいう。〈字源〉"
G0297,2,挈瓶,けつべい,挈げる,ひっさ,"1.水をくむための小さな、かめ。わずかな知識のたとえ。
2.かめを手にして水をくむ。〈漢辞海〉
小瓶。少量のものにたとえる。〈字通〉★「挈（さ）げる」と読むことは字通に記されているが、過去に出題された「挈げる」は標準解答が「ひっさげる」しか記されていないため、ここでは誤答扱いとする。"
G0298,2,掀掲,きんけい,掀げる,"あ
かか","あげかかげること。〈新大字典〉
掲げる。〈字通〉"
G0299,2,掉尾,"ちょうび
とうび",掉う,ふる,"1.物事や文章の終わりの勢いがよいこと。また、そのさま。
2.終わり。〈漢字ペディア〉
尾をふるう。〈字通〉
1.尻尾を振る。
2.(国)物事の最後の勢いがさかんなさま。
3.(国)物事の最後。〈新漢和大字典〉"
G0300,2,揣知,"しち
すいち",揣る,"はか
おしはか","推し測って知る。〈漢辞海〉
おしはかって知る。〈漢字源〉
さぐりてさとる。〈字源〉
さぐって知ること。はかり知ること。〈新大字典〉"
G0301,2,玉摧,ぎょくさい,摧く,"くだ
くじ",名誉や忠義などを守っていさぎよく死ぬこと。玉のごとく砕け散る意から。≒散華、⇔瓦全〈漢字ペディア〉
G0302,2,屈撓,くっとう,撓む,たわ,"1.しりごみする。ひるむ。
2.たわめる。≒屈橈〈漢辞海〉
1.物がたわむ。
2.おそれてひるむ。〈漢字源〉
たわむ。また、たわます。〈字源〉"
G0303,2,撥簾,はつれん,撥げる,かか,"外が見えるように、すだれをはね上げる。〈漢字源〉
すだれをかかげる。〈字源〉
すだれをあげること。〈新大字典〉"
G0304,2,震撼,しんかん,撼かす,うご,ふるえ動くこと。また、ショックを与えること。〈漢字ペディア〉
G0305,2,擯却,ひんきゃく,擯ける,しりぞ,"排斥する。≒擯斥、擯棄〈漢辞海〉
おしのける。のけものにする。≒擯斥、擯棄、排斥〈漢字源〉"
G0306,2,追攀,ついはん,攀る,すが,"1.追いすがって別れを惜しむ。
2.死者をいたむ。
3.人のあとにつき従う。〈漢辞海〉
人のあとを追ってすがりつく。たすけあう。〈漢字源〉
たすけあうこと。〈新大字典〉"
G0307,2,攣急,れんきゅう,攣る,"つ
ひきつ","ひきつる。〈字通〉
はげしくひきつること。急にこわばること。〈日本国語大辞典〉"
G0308,2,敲門,こうもん,敲く,たた,"人を訪れてその家の門をたたく。≒叩門〈漢字源〉
門をたたきて人を訪う。≒叩門、款門〈字源〉
門をたたいて人を訪ねること。〈新大字典〉"
G0309,2,餒斃,だいへい,斃れる,たお,"うえて、行き倒れになって死ぬこと。〈漢字源〉
うえてたおれ死す。〈字源〉
飢えて行き倒れ、死ぬ。≒餒饉〈漢辞海〉"
G0310,2,日昃,"にっしょく
にっそく",昃く,かたむ,"日がかたむく。ひぐれ。〈字源〉
午後。〈字通〉
昼過ぎ。午後二時ごろ。≒日仄〈漢辞海〉
昼過ぎ。未の刻。午後二時ごろ。〈新大字典〉"
G0311,2,曩勲,のうくん,曩に,さき,"かつて立てた勲功。〈新大字典〉
さきにたてたるいさお。〈字源〉
前勲。〈字通〉"
G0312,2,矯枉,きょうおう,枉げる,ま,"曲がったものを、直して真っ直ぐにする。〈漢辞海〉
まがれる者をためて正しくする。〈字源〉
枉曲を改めなおす。〈字通〉"
G0313,2,髻梳,けいそ,梳る,くしけず,"もとどりをくしけずる。〈字源〉
くしけずる。〈字通〉"
G0314,2,梳櫛,そしつ,梳く,"と
す","髪をとかす。≒梳頭、梳髪〈漢辞海〉
髪をくしけずること。〈新大字典〉"
G0315,2,殃戮,おうりく,殃い,わざわ,"禍にあいて殺される。〈字源〉
災いにあって殺される。〈漢辞海〉
わざわいにあって殺される。〈字通〉"
G0316,2,殞殪,いんえい,殪れる,たお,"たおれる。〈字通〉
死にたおれる。〈字源〉
死ぬ。〈漢辞海〉"
G0317,2,殫慮,たんりょ,殫くす,つ,思慮をつくす。〈字通〉
G0318,2,殷阜,いんぷ,殷ん,さか,"盛んで豊かなこと。≒殷昌、繁茂〈新大字典〉
財がゆたか。≒繁盛、繁茂〈字源〉
繁昌する。〈字通〉"
G0319,2,沽名,こめい,沽る,う,"ほまれを売る。名を衒う。≒売名〈字源〉
名を売る。名誉をほしがること。〈新大字典〉"
G0320,2,夷泯,いびん,泯びる,ほろ,"尽き滅ぶこと。〈新大字典〉
滅びる。〈字通〉"
G0321,2,熙洽,きこう,洽し,あまね,"楽しみやわらぐ。名君が続いて、世の中が安らかに治まっているたとえ。班固･東都賦「重ねて熙（おこ）り累（かさ）ねて洽（あまね）し」にもとづく。〈漢辞海〉
1.とけあってやわらぐ。
2.徳のある君主が次々と位を継ぐこと。〈漢字源〉"
G0322,2,妖孼,ようげつ,孼い,わざわ,"あやしいわざわい。また、わざわいをもたらす不気味な前兆。〈漢字ペディア〉
あやしいわざわい。災厄をもたらす前兆。不吉な事件の前ぶれ。夭逆(ﾖｳｹﾞｷ)。〈日本国語大辞典〉"
G0323,2,濬潭,しゅんたん,濬い,ふか,"ふかいふち。深淵。〈漢字源〉
深いふち。深潭。〈新大字典〉
深いうふち。深淵。〈漢辞海〉"
G0324,2,濘滞,ねいたい,濘る,ぬか,"どろがつかえる。〈字源〉
ぬかるみにはまる。〈漢辞海〉
泥水のたまること。泥がつかえること。〈新大字典〉"
G0325,2,傾瀉,けいしゃ,瀉ぐ,そそ,"1.液体が高い所から注ぎ落ちる。
2.さらけ出す。〈漢辞海〉
1.傾けてそそぐこと。
2.化学で、溶液中から沈殿物を分離するため、容器を傾けて上澄み液だけを流し出す操作。デカンテーション。〈大辞泉〉"
G0326,2,濺涙,せんるい,濺ぐ,そそ,涙をそそぐ。〈字通〉
G0327,2,灑沃,さいよく,灑ぐ,そそ,"水をそそぎかけてうるおす。〈漢字源〉
水をはらはらと、注ぎかける。〈漢辞海〉"
G0328,2,燔炙,"はんしゃ
はんせき",炙る,あぶ,"1.食物を焼き、あぶる。
2.あぶり肉。〈漢辞海〉
1.食物を焼いたり、あぶったりする。
2.焼き肉。あぶり肉。〈漢字源〉"
G0329,2,熾灼,ししゃく,熾ん,さか,"1.火が盛んに燃えるさま。
2.権勢の盛んなさま。〈漢辞海〉
1.火が盛んに燃える。
2.転じて、権勢が盛んなこと。〈漢字源〉"
G0330,2,燬犀,きさい,燬く,や,犀角を燃やす。〈字通〉
G0331,2,爛額,らんがく,爛れる,ただ,"額にやけどをする。あわてふためくさま。〈漢辞海〉
額にやけどをする。〈漢字源〉"
G0332,2,旗靡,きび,靡く,なび,"旗がなびき倒れる。転じて、戦いに負けて逃げること。〈漢字源〉
軍機が倒れる。敗退するたとえ。〈漢辞海〉"
G0333,2,狎昵,こうじつ,狎れる,な,なれなれしくすること。なれ親しみ、遠慮がなくなること。〈漢字ペディア〉
G0334,2,倏瞬,しゅくしゅん,倏ち,たちま,"たちまち。わずかの間。一瞬時。〈新大字典〉
極めて短き時間。〈字源〉
一瞬。〈字通〉"
G0335,2,猥多,わいた,猥りに,みだ,"ごたごたと多いさま。雑多。〈漢辞海〉
雑多。〈字通〉
みだりに多いこと。〈新大字典〉
みだりに多し。〈字源〉"
G0336,2,無疆,むきょう,疆り,かぎ,"限りのないこと。〈漢辞海〉
無窮。〈字通〉
きわまりなし。≒無窮〈字源〉
≒無窮〈日本国語大辞典〉"
G0337,2,尽瘁,じんすい,瘁れる,"つか
やつ",全力をつくして労苦すること。ほねおり。≒尽力〈漢字ペディア〉
G0338,2,疲羸,ひるい,羸い,よわ,"疲れてぐったりすること。〈大辞泉〉
つかれ弱ったさま。〈漢辞海〉
つかれ弱る。〈漢字源〉"
G0339,2,羸骸,るいがい,羸せる,や,"疲れた弱いからだ。〈新大字典〉
やせおとろえる。〈字通〉"
G0340,2,癢痛,ようつう,癢い,かゆ,かゆみと、いたみ。〈字通〉
G0341,2,眇目,びょうもく,眇める,すが,"1.やぶにらみ。すがめ。また、片目が不自由なこと。
2.目を細くして凝視すること。〈漢字ペディア〉"
G0342,2,眩惑,げんわく,眩む,くら,目がくらんでまどうこと。また、人の目をくらませ、まどわせること。〈漢字ペディア〉
G0343,2,睨視,げいし,睨む,にら,"流し目にちらりとみる。傲慢な態度の形容。〈漢辞海〉
じっと見つめること。にらむこと。〈大辞林〉
にらむようにみる。≒睨視〈新大字典〉"
G0344,2,眩耀,げんよう,眩い,まばゆ,"目をあけていられないほどに光り輝くこと。〈漢字ペディア〉
≒まばゆいほどにかがやく。≒眩燿〈漢字源〉
≒眩燿
1.光り輝いて、目をうばう。まばゆいほどに光り輝く。
2.まよう。まどわす。〈漢辞海〉"
G0345,2,瞑坐,めいざ,瞑る,つぶ,"目を閉じ、心静かに座ること。〈漢字ペディア〉
目を閉じてすわること。〈新大字典〉
静坐。瞑目。〈字通〉"
G0346,2,鳥瞰,ちょうかん,瞰る,み,"高い所や空中から地上を見下ろすこと。≒俯瞰〈漢字ペディア〉
上空から地上の景色をながめること。〈漢字源〉
鳥が空から見おろすように、高い所から広い範囲を見おろすこと。また転じて、全体を大きく見渡すこと。俯瞰。〈大辞泉〉"
G0347,2,矜厳,きょうげん,矜む,つつし,"容貌などが厳粛なさま。〈漢辞海〉
自信にあふれ、おごそかなこと。≒矜荘〈漢字源〉
つつしみ深くしておごそか。≒謹厳〈字源〉
つつしみふかく、おごそか。〈字通〉"
G0348,2,自矜,じきょう,矜る,ほこ,"自分で自分の長所をほこる。〈漢辞海〉
みずから己の長をほこる。〈字源〉
自分で自分のすぐれた点をほこる。≒自慢〈漢字源〉
自慢。〈字通〉"
G0349,2,矜育,きょういく,矜れむ,あわ,"子どもなどをあわれんで育てる。〈漢字ペディア〉
あわれみ育てること。〈新大字典〉
あわれみそだてる。〈字源〉"
