ID,難易度,問題,読み,解答,別答,意味,出典
D0406,1,____積玉,たいきんせきぎょく,堆金,,"➡堆金積玉（たいきんせきぎょく）
多大な富を集めること。金持ちのたとえ。〈漢字ペディア〉★金銀や珠玉を積み上げる意から。
類：積金累玉（せききんるいぎょく）／類：猗頓之富（いとんのとみ）／類：陶朱猗頓（とうしゅいとん）",＊『東谷所見-貪欲』
D0407,1,____壺漿,たんしこしょう,簞食,箪食,"➡簞食壺漿／箪食壺漿／簞食壷漿／箪食壷漿／簞食瓠漿／箪食瓠漿（たんしこしょう）
自分たちを救ってくれた軍隊を歓迎すること。〈漢検四字熟語辞典〉
★竹の器の飯（簞食）と、壺の飲み物（壺漿）で軍隊を迎える意。",＊『孟子-梁恵王･下』
D0408,1,____握髪,とほあくはつ,吐哺,,"➡吐哺握髪（とほあくはつ）
すぐれた人材を求めるのに熱心なこと。〈漢検四字熟語辞典〉
★「吐哺」は、口の中の食べ物を吐き出す。
★「握髪」は、洗髪中に髪を握って洗うのを中断する。
★昔、中国の周公旦が来客があると、食事中のときには口の中の食べ物を吐き出し、入浴中のときには濡れた髪を握ったまますぐに出迎え、有能な人材を求めたという故事から。
★略して「吐握」ともいう。
類：吐哺捉髪（とほそくはつ）／類：握髪吐哺（あくはつとほ）",＊『史記-魯周公世家』
D0409,1,槃根____,ばんこんさくせつ,錯節,,"➡槃根錯節／盤根錯節（ばんこんさくせつ）
事柄が入り組んで、解決が困難なこと。〈漢検四字熟語辞典〉
★「槃根」は、地中で曲がりくねっている木の根のこと。
★「錯節」は、入り組んだ木の節の意。
類：紆余曲折（うよきょくせつ）／類：複雑多岐（ふくざつたき）",＊『後漢書-虞詡伝』
D0410,1,____斬棘,ひけいざんきょく,披荊,披荆,"➡披荊斬棘／披荆斬棘（ひけいざんきょく）
困難を克服し前進すること。〈漢検四字熟語辞典〉
★いばら（荊棘）の道を斬り披(ﾋﾗ)いて前へ進むこと。
「荊(ｲﾊﾞﾗ)を披(ﾋﾗ)き棘(ｲﾊﾞﾗ)を斬(ｷ)る」",＊『後漢書-馮異伝』
D0411,1,____長目,ひじちょうもく,飛耳,,"➡飛耳長目（ひじちょうもく）
物事の観察が鋭く世情にも精通していること。〈漢字ペディア〉
★「飛耳」は、遠くのことを聞くことができる耳。
★「長目」は、遠方まで見通せる目。
類：長目飛耳（ちょうもくひじ）／類：鳶目兎耳（えんもくとじ）",＊『太平策』
D0412,1,____秋月,ひょうこしゅうげつ,氷壺,氷壷,"➡氷壺秋月／氷壷秋月（ひょうこしゅうげつ）
心がたいへん清く明らかであることのたとえ。〈漢検四字熟語辞典〉
★「氷壺」は、氷の入った白玉の壺。
★「秋月」は、秋の月。",＊『宋史-李侗伝』
D0413,1,流連____,りゅうれんこうぼう,荒亡,,"➡流連荒亡（りゅうれんこうぼう）
家にも帰らず酒食や遊興にふけって仕事をなまけること。〈漢検四字熟語辞典〉
★「流連」は、遊びに耽って家に帰るのも忘れること。
★「荒亡」は、狩猟や酒食などの楽しみに耽って国を滅ぼす意。
類：放蕩無頼（ほうとうぶらい）",＊『孟子-梁恵王･王』
D0414,1,雲竜____,"うんりょうせいあ
うんりゅうせいあ",井蛙,,"➡雲竜井蛙（うんりょうせいあ／うんりゅうせいあ）
地位や賢愚の差が甚だしいことのたとえ。〈漢字ペディア〉★「雲竜」は、雲高く翔る竜の意から、高貴または高いことのたとえ。
★「井蛙」は井戸の蛙の意で、貧賤または低いことのたとえ。
類：雲壌月鼈（うんじょうげつべつ）／類：雲壌懸隔（うんじょうけんかく）",＊『類書纂要』
D0415,1,____反照,"かいこうへんしょう
えこうへんしょう",回光,"廻光
迴光","➡回光反照／廻光反照／迴光反照／回光返照／廻光返照／迴光返照（かいこうへんしょう／えこうへんしょう）
人が死ぬ間際に一時持ち直すこと。また、物事が滅びる直前に一瞬勢いを回復すること。〈漢字ペディア〉
★「回光」は、照り返しのこと。
★「反照」は、夕焼けの光の意。
★夕日の照り返しで、日没の直前に一瞬空が明るくなることから。",＊『五灯会元･一四』
D0416,1,回光____,"かいこうへんしょう
えこうへんしょう",反照,返照,"➡回光反照／廻光反照／迴光反照／回光返照／廻光返照／迴光返照（かいこうへんしょう／えこうへんしょう）
人が死ぬ間際に一時持ち直すこと。また、物事が滅びる直前に一瞬勢いを回復すること。〈漢字ペディア〉
★「回光」は、照り返しのこと。
★「反照」は、夕焼けの光の意。
★夕日の照り返しで、日没の直前に一瞬空が明るくなることから。",＊『五灯会元･一四』
D0417,1,円木____,えんぼくけいちん,警枕,,"➡円木警枕（えんぼくけいちん）
勉学に懸命に励むたとえ。〈漢字ペディア〉
★「警枕」は眠りこまないよう工夫した枕(ﾏｸﾗ)。
★宋の司馬光は若いころ読書に熱中し、眠り過ぎると枕が転がってすぐ目が覚めるようにと、丸木を枕にして寝て勉学に励んだという故事から。
類：懸頭刺股（けんとうしこ）／類：蛍雪之功（けいせつのこう）",＊『范祖禹-司馬温公布衾銘記』
D0418,1,甕牖____,おうゆうじょうすう,縄枢,,"➡甕牖縄枢（おうゆうじょうすう）
貧しく粗末な家の形容。〈漢検四字熟語辞典〉
★「甕牖」は、一説に割れたかめの口を壁につけた窓の意。
★かめの口のように小さな丸窓と縄を枢(ﾄﾎﾞｿ:戸の開閉をする軸の所)の代わりにした家の意。
類：蓬戸甕牖（ほうこおうゆう）／類：甕牖桑枢（おうゆうそうすう）",＊『賈誼-過秦論』
D0419,1,夏虫____,かちゅうぎひょう,疑氷,,"➡夏虫疑氷（かちゅうぎひょう）
見識の狭い者が自分の狭い知識以外のものを信じようとしないたとえ。〈漢字ペディア〉
★夏の虫は他の季節を知らず、冬の氷を信じないという意から。
「夏虫(ｶﾁｭｳ)、氷を疑う」
類：井蛙之見（せいあのけん）／類：井底之蛙（せいていのあ）／類：尺沢之鯢（せきたくのげい）",＊『荘子-秋水』
D0420,1,玩物____,がんぶつそうし,喪志,,"➡玩物喪志（がんぶつそうし）
珍しいものに心を奪われてもてあそび、大切な志や正しい心を忘れてしまうたとえ。〈漢字ペディア〉
「物を玩(ﾓﾃｱｿ)べば志(ｺｺﾛｻﾞｼ)を喪(ｳｼﾅ)う」",＊『書経-旅獒』
D0421,1,____鼓腹,がんぽこふく,含哺,,"➡含哺鼓腹（がんぽこふく）
人々が豊かで平和な世を楽しむこと。〈漢字ペディア〉
★「含哺」は、食べ物を口に含むこと。
★「鼓腹」は、腹鼓を打つ意。
類：鼓腹撃壌（こふくげきじょう）
「哺(ﾎ)を含み腹を鼓(ｺ)す」",＊『荘子-馬蹄』
D0422,1,気韻____,きいんせいどう,生動,,"➡気韻生動（きいんせいどう）
絵画や文章などに生き生きとした気品や情趣があふれていること。〈漢字ペディア〉
★中国南斉の画家、謝赫(ｼｬｶｸ)が初めて画論の中で使った言葉で、画の六法の第一。もとは人物画だけに言ったが、唐代以降絵一般に用い、古来東洋画の神髄を表わすものといわれる。",＊『輟耕録-巻一八･叙画』
D0423,1,____生動,きいんせいどう,気韻,,"➡気韻生動（きいんせいどう）
絵画や文章などに生き生きとした気品や情趣があふれていること。〈漢字ペディア〉
★中国南斉の画家、謝赫(ｼｬｶｸ)が初めて画論の中で使った言葉で、画の六法の第一。もとは人物画だけに言ったが、唐代以降絵一般に用い、古来東洋画の神髄を表わすものといわれる。",＊『輟耕録-巻一八･叙画』
D0424,1,規矩____,きくじゅんじょう,準縄,,"➡規矩準縄（きくじゅんじょう）
物事や行為の標準･法則となるもののたとえ。〈漢字ペディア〉
★「規」は、円を描くコンパス。
★「矩」は、方形を描く曲尺(ｶﾈｼﾞｬｸ)。
★「準」は、水平を測る水盛(水準器)。
★「縄」は、直線を引く墨縄(ｽﾐﾅﾜ)。
類：規矩縄墨（きくじょうぼく）／類：鉤縄規矩（こうじょうきく）",＊『孟子-離婁･上』
D0425,1,橘井____,きっせいきょうりん,杏林,,"➡橘井杏林（きっせいきょうりん）
語義未詳。
★医者の異称、あるいは美称の意か。
★「橘井」は、医者のこと。漢の蘇仙公(ｿｾﾝｺｳ)が死に臨んで母に遺言し、来年は疫病が流行するが、庭の井戸水と軒端の橘の葉とを用いれば病を治すことができると告げ、果たしてその通りになったという故事から。
★「杏林」は、医者の美称。中国で廬山の董奉(ﾄｳﾎｳ)が、病気を治した礼として杏子の木を植えさせたところ、数年で立派な杏子の林ができ、自ら董仙杏林(ﾄｳｾﾝｷｮｳﾘﾝ)と号したという故事による。●H09-3㈣書",＊『神仙伝』
D0426,1,脚下____,きゃっかしょうこ,照顧,,"➡脚下照顧（きゃっかしょうこ）
身近なことに気をつけること。自分のことをよく反省すること。〈漢字ペディア〉
★自分の足元をよくよく見る意から。
★もと禅家の語で、他に向かって悟りを求めず、まず自分の本性をよく見よということ。
「脚下を照顧せよ」
類：照顧脚下（しょうこきゃっか）",＊『大川普済禅師語録』
D0427,1,____捕影,けいふうほえい,繫風,"繋風
係風","➡繫風捕影／繋風捕影／係風捕影／繫風捕景／繋風捕景／係風捕景（けいふうほえい）
雲をつかむような取り留めなくあてにならないたとえ。〈漢検四字熟語辞典〉
★風を繫ぎ留め、影を捕まえる意で、とてもできないことをいう。",＊『漢書-郊祀志･下』
D0428,1,____撒手,けんがいさっしゅ,懸崖,,"➡懸崖撒手（けんがいさっしゅ）
勇気を奮い起こし思い切って事を行うたとえ。〈漢検四字熟語辞典〉
★「懸崖」は、断崖絶壁。
★「撒手」は、放す意。
「懸崖に手を撒(ｻｯ)す」
類：勇猛果敢（ゆうもうかかん）／類：勇往邁進（ゆうおうまいしん）",＊『無門関-三二』
D0429,1,____汲水,さいしんきゅうすい,採薪,采薪,"➡採薪汲水／采薪汲水（さいしんきゅうすい）
自然の中で簡素な生活を営むこと。〈漢検四字熟語辞典〉
★薪(ﾀｷｷﾞ)を採り、谷川の水を汲むという意から。
類：負薪汲水（ふしんきゅうすい）／類：逍遥自在（しょうようじざい）／類：一竿の風月（いっかんのふうげつ）
「薪(ﾀｷｷﾞ)を採り水を汲む」",＊『不明』
D0430,1,____秋鴻,しゃえんしゅうこう,社燕,,"➡社燕秋鴻（しゃえんしゅうこう）
出会ったかと思うとまたすぐ別れることのたとえ。〈漢検四字熟語辞典〉
★「社燕」は、春の社日(ｼｬﾆﾁ:立春から五番目の戊(ﾂﾁﾉｴ)の日)に来て、秋の社日(立秋から五番目の戊の日)に飛び去る燕。
★「鴻」は、秋に来て春に去る白鳥。",＊『蘇軾-送陳睦知潭州』
D0431,1,城狐____,じょうこしゃそ,社鼠,,"➡城狐社鼠（じょうこしゃそ）
権力者の影に隠れて悪事を働く者のたとえ。〈漢検四字熟語辞典〉
★城に住む狐、神社に巣くう鼠の意で、手を下しにくいところからいう。",＊『晋書-謝鯤伝』
D0432,1,笑面____,しょうめんやしゃ,夜叉,,"➡笑面夜叉（しょうめんやしゃ）
顔は笑っていても心の底に一物あること。陰険な人や裏表のある人にいう。〈漢検四字熟語辞典〉
★「笑面」は、笑顔。
★「夜叉」は、人を害する猛悪な鬼神。
類：笑面老虎（しょうめんろうこ）",＊『説郛-四引･老学庵続筆記』
D0433,1,____玉樹,しらんぎょくじゅ,芝蘭,,"➡芝蘭玉樹（しらんぎょくじゅ）
すぐれた人材。すぐれた子弟。他人の子弟のすぐれているのをほめる語。〈漢字ペディア〉
★「芝」は、瑞兆とされた霊芝。
★「蘭」は、ふじばかまで香草。
★「玉樹」は、美しい木。",＊『世説新語-言語』
D0434,1,____汗簡,せいしかんかん,青史,,"➡青史汗簡（せいしかんかん）
歴史書。〈漢字ペディア〉
★「青史」は、歴史のこと。
★「汗簡」は、文書･書籍の意。
★昔、まだ紙がなかったころには、竹で火を炙って青みと油(汗)を抜き、それに漆で記録したことからこのようにいう。",＊『不明』
D0435,1,斉紫____,せいしはいそ,敗素,,"➡斉紫敗素（せいしはいそ）
失敗を成功に、災いを福に転じることのたとえ。〈漢字ペディア〉
★「斉紫」は、中国の戦国時代の斉の国産出の紫染めの服地。
★「敗素」は、質の悪い白絹。
★世にもてはやされる紫色の絹も粗悪な白絹を染めたものである意。斉紫は敗素を染めただけで十倍の値になったという。",＊『戦国策-燕策』
D0436,1,____捧心,せいしほうしん,西施,,"➡西施捧心（せいしほうしん）
病に悩む美女のようす。また、同じ行いでも人によって場合によって善悪の差が生まれるたとえ。〈漢検四字熟語辞典〉
★「捧心」は、胸をかかえること。
★中国、春秋時代、絶世の美女西施が病気になり、痛む胸を手で押さえ、眉を顰めて歩いた。人々はその姿の美しさに見惚れた。すると村で評判の醜い女が自分もあのようにすれば美しく見えると思って、顔を顰めて歩いたところ、人々はみな逃げ出したという故事から。",＊『荘子-天運』
D0437,1,____濁賢,せいせいだくけん,清聖,,"➡清聖濁賢（せいせいだくけん）
酒の異称。清酒と濁酒のこと。〈漢字ペディア〉
★魏の曹操が禁酒礼を出したとき、酒好きの人が清酒を聖人、濁り酒を賢人と呼んで、ひそかに飲んだという故事。
類：麦曲之英（ばくきょくのえい）／類：米泉之精（べいせんのせい）／類：百薬之長（ひゃくやくのちょう）／類：忘憂之物（ぼうゆうのもの）",＊『三国志-魏書･徐邈伝』
D0438,1,____低唱,せんしゃくていしょう,浅酌,,"➡浅酌低唱（せんしゃくていしょう）
ほどよく酒を飲みながら、詩歌を小声で口ずさむこと。〈漢字ペディア〉
★「浅酌」は、ほどよく酒を飲むこと。
★「低唱」は、小さい声で歌うこと。
類：低唱浅酌（ていしょうせんしゃく）／類：浅斟低唱（せんしんていしょう）",＊『陸羯南-秋夜倦読誌』
D0439,1,千射____,せんしゃばんせん,万箭,,"➡千射万箭（せんしゃばんせん）
弓道で射手の心構えを説いた語。弓を射る場合には常に、千本、万本の矢を射る場合でも、あとの矢をたのむことなしに、今射る一本の矢を疎かにしてはならないということ。〈漢検四字熟語辞典〉
★「万箭」は、万本の矢。",＊『不明』
D0440,1,禅譲____,ぜんじょうほうばつ,放伐,,"➡禅譲放伐（ぜんじょうほうばつ）
古代中国で、王朝が交代するときの二つの手段のこと。一つは天子が徳のある者に穏やかに位をゆずる禅譲で、放伐は、悪虐な君主を徳のある者が武力で討伐し、新王朝を建てること。〈漢字ペディア〉
★禅譲の同義に擅譲(ｾﾝｼﾞｮｳ／ｾﾞﾝｼﾞｮｳ)があるが、四字熟語としての用例は見られない。",＊『神道学則日本魂』
D0441,1,____放伐,ぜんじょうほうばつ,禅譲,,"➡禅譲放伐（ぜんじょうほうばつ）
古代中国で、王朝が交代するときの二つの手段のこと。一つは天子が徳のある者に穏やかに位をゆずる禅譲で、放伐は、悪虐な君主を徳のある者が武力で討伐し、新王朝を建てること。〈漢字ペディア〉
★禅譲の同義に擅譲(ｾﾝｼﾞｮｳ／ｾﾞﾝｼﾞｮｳ)があるが、四字熟語としての用例は見られない。",＊『神道学則日本魂』
D0442,1,____遺珠,そうかい（の）いしゅ,滄海,,"➡滄海遺珠（そうかい（の）いしゅ）
人に知られずに埋もれている賢者や珍品のたとえ。〈漢辞海〉
★大海(滄海)に取り遺(ﾉｺ)された真珠の意。",＊『新唐書-狄仁傑伝』
D0443,1,積悪____,せきあく（の）よおう,余殃,,"➡積悪余殃（せきあく（の）よおう／しゃくあく（の）よおう）
悪事を重ねた結果として、子孫にまで及ぶその報い。〈日本国語大辞典〉
★「積悪」は、数々の悪い行い、悪事の積み重ね。
★「余殃」は、祖先の悪事の報いとして子孫にまで残る殃(ﾜｻﾞﾜ)い。",＊『北史-三三･李孝伯伝』
D0444,1,____蓬矢,そうこほうし,桑弧,,"➡桑弧蓬矢（そうこほうし）
男子が志を立てること。〈漢検四字熟語辞典〉
★昔、男児が生まれると桑の木で作った弓で、蓬(ﾖﾓｷﾞ)の矢を射て、将来四方に雄飛せんことを祝ったことから。
類：桑蓬之志（そうほうのこころざし）",＊『礼記-射義』
D0445,1,____離裏,ぞくもうりり,属毛,,"➡属毛離裏（ぞくもうりり）
子と父母との深い繫がりのこと。〈漢検四字熟語辞典〉
★「属」と「離」は、連なる、繫がる意。
★「裏」は、母胎のこと。
★子の身体は、毛髪皮膚まで全て母胎(父子の血肉)と繫がっているという意。
「毛(ﾓｳ)に属(ｿﾞｸ)せざらんや、裏(ｳﾁ)に離(ﾂ)かざらんや」",＊『詩経-小雅･小弁』
D0446,1,____失路,たくらくしつろ,拓落,,"➡拓落失路（たくらくしつろ）
退けられて出世の道を絶たれること。また、落ちぶれて失意のどん底に沈むこと。〈漢字ペディア〉
★「拓落」は、落ちぶれるさま。
★「失路」は、出世の道を失うこと。
「拓落して路(ﾐﾁ)を失う」",＊『二葉亭四迷-浮雲･二』
D0447,1,____一片,"だじょういっぺん
たじょういっぺん",打成,,"➡打成一片（だじょういっぺん／たじょういっぺん）
仏語。一つになること。一つにすること。禅で、万物と一体となる境地を体得すること。また、そのさま。転じて、他を顧みないで一つの事柄だけを突き詰めること。一心不乱であること。また、そのさま。〈日本国語大辞典〉",＊『碧巌録』
D0448,1,多蔵____,たぞうこうぼう,厚亡,,"➡多蔵厚亡（たぞうこうぼう）
欲深いものは人間関係を損なって、やがては全てを失ってしまうということ。欲を抑えて足るを知ることが自らを保つことに繋がるという戒め。〈漢検四字熟語辞典〉
★「多蔵」は、多くの財物を蓄える意。
★「厚亡」は、失うものが多い意。
「多く蔵(ｿﾞｳ)すれば厚く亡(ｳｼﾅ)う」",＊『老子-四四章』
D0449,1,____瓢飲,"たんしひょういん
たんしょくひょういん",簞食,箪食,"➡簞食瓢飲／箪食瓢飲（たんしひょういん／たんしょくひょういん）
簡素な飲食物。また、製品に安んずることをいう。〈日本国語大辞典〉
★竹器に盛った飯と、瓢(ﾋｻｺﾞ)に入れた飲み物の意。
★略して「簞瓢(ﾀﾝﾋﾟｮｳ)」ともいう。
類：一汁一菜（いちじゅういっさい）／類：顔回簞瓢（がんかいたんぴょう）／類：朝齏暮塩（ちょうせいぼえん）
「一簞(ｲｯﾀﾝ)の食(ｼ)、一瓢(ｲｯﾋﾟｮｳ)の飲(ｲﾝ)」",＊『論語-雍也』
D0450,1,弾丸____,だんがんこくし,黒子,黒痣,"➡弾丸黒子／弾丸黒痣（だんがんこくし）
きわめて狭い土地のたとえ。〈漢字ペディア〉
★「弾丸」は、雀などを捕るために使う弾き玉。
★「黒子」は、ほくろ。
「地は惟(ｺ)れ黒子、城は猶(ﾅｵ)弾丸のごとし」
「弾丸黒子の地」
類：弾丸之地（だんがんのち）／類：黒子之地（こくしのち）／類：尺寸之地（せきすんのち）",＊『庾信-哀江南賦』
D0451,1,中原____,ちゅうげんちくろく,逐鹿,,"➡中原逐鹿（ちゅうげんちくろく）
群雄が割拠して天子の位を争う合うこと。また、ある地位を狙って競争する意にも用いる。〈漢検四字熟語辞典〉
★「中原」は、当時の中国の中央であった黄河流域を指す。
★中国、戦国時代に天子の位を得ようとして群雄が天下を争うことを、猟師が鹿を逐(ｵ)うのにたとえた語。
「中原に鹿(ｼｶ)を逐(ｵ)う」
類：中原之鹿（ちゅうげんのしか）",＊『史記-淮陰侯伝』
D0452,1,沈魚____,ちんぎょらくがん,落雁,落鴈,"➡沈魚落雁／沈魚落鴈（ちんぎょらくがん）
すぐれて艶やかな美人の形容。〈日本国語大辞典〉
★人間の目には美人と映っても魚や鳥はそれを見て恐れて逃げてしまうという意の転用。
類：落雁沈魚（らくがんちんぎょ）／類：羞花閉月（しゅうかへいげつ）／類：閉月羞花（へいげつしゅうか）",＊『通俗編-禽魚･沈魚落雁』
D0453,1,陶犬____,とうけんがけい,瓦鶏,,"➡陶犬瓦鶏（とうけんがけい）
格好ばかりで役に立たないもの。〈漢検四字熟語辞典〉
★陶製の犬と素焼きの鶏の意。
類：瓦鶏陶犬（がけいとうけん）",＊『金楼子-立言･上』
D0454,1,____蛇行,とせつだこう,斗折,,"➡斗折蛇行（とせつだこう）
道や川などが、くねくねと折れ曲がって続いていくさま。〈漢字ペディア〉
★斗(北斗七星)のように折れ曲がり、蛇のようにくねくねと曲がりながら進む意。
類：羊腸小径（ようちょうしょうけい）",＊『柳宗元-至小邱西小石潭記』
D0455,1,____残花,はいりゅうざんか,敗柳,,"➡敗柳残花（はいりゅうざんか）
美人の容色が衰えたことのたとえ。また、妓女や売春婦などのたとえ。〈漢検四字熟語辞典〉
★枯れた柳と盛を過ぎた花の意。
★中国では春を告げる柳と花を若々しい娘に見立て、柳葉眉(ﾘｭｳﾖｳﾋﾞ)、柳腰(ﾘｭｳﾖｳ)、花顔(ｶｶﾞﾝ)を美人のたとえとして用いるが、その敗れ残(ｿｺﾅ)われた姿を称した言葉。",＊『西廂記』
D0456,1,白衣____,はくいそうく,蒼狗,,"➡白衣蒼狗（はくいそうく）
世の変化の早いたとえ。〈漢検四字熟語辞典〉
★空の雲は白衣のように見えるかと思えばすぐに青い狗(犬)のように変わる意。
類：蒼狗白衣（そうくはくい）",＊『杜甫-可歎･詩』
D0457,1,____空谷,はっくくうこく,白駒,,"➡白駒空谷（はっくくうこく）
賢人が登用されず野にあること。〈漢検四字熟語辞典〉
★白毛の馬が寂しい谷にいる意。",＊『詩経-小雅･白駒』
D0458,1,____同眠,びょうそどうみん,猫鼠,,"➡猫鼠同眠（びょうそどうみん）
泥棒を捕らえる者と泥棒がなれ合うこと。また、上役と下僚が結託して悪事を働くことのたとえ。〈漢検四字熟語辞典〉
★猫と鼠が一緒に眠る意から。
類：猫鼠同処（びょうそどうしょ）／類：猫鼠同乳（びょうそどうにゅう）",＊『唐書-五行志』
D0459,1,舞文____,ぶぶんろうほう,弄法,,"➡舞文弄法（ぶぶんろうほう）
法を都合のいいように解釈すること。〈漢検四字熟語辞典〉
★「舞」と「弄」は、もてあそぶ、思うように解釈する意。
類：舞文巧法（ぶぶんこうほう）
「文を舞(ﾏ)わし法を弄(ﾓﾃｱｿ)ぶ」",＊『史記-貨殖伝』
D0460,1,米塩____,べいえんはくべん,博弁,,"➡米塩博弁（べいえんはくべん）
多方面にわたって詳細に交わされる議論。また、細かいことまで詳しく話すこと。〈漢字ペディア〉
★「米」と「塩」は、細かく小さな粒であることから、非常に細かいもののたとえ。
★「博」は広い、多方面の意。",＊『韓非子-説難』
D0461,1,____潔飢,めいせんけっき,鳴蟬,鳴蝉,"➡鳴蟬潔飢／鳴蝉潔飢（めいせんけっき）
高潔な士はどのような時にも節操を変えないたとえ。〈漢検四字熟語辞典〉
★蟬は高潔な性格なので飢えても汚い物は食べない意。",＊『不明』
D0462,1,____浮木,もうきふぼく,盲亀,,"➡盲亀浮木（もうきふぼく）
仏語。出会うことが非常に難しいたとえ。人として生まれること、また、仏法に会うことの難しさのたとえ。〈漢字ペディア〉
★大海中に棲み百年に一度だけ水面に浮かび上がる盲目の亀が、漂流している浮木の穴に入ろうとしても容易に入ることはできないという寓話から。
類：千載一遇（せんざいいちぐう）／類：曇華一現（どんげいちげん）
「盲亀浮木に値(ｱ)う」",＊『雑阿含経･一六』
D0463,1,問牛____,もんぎゅうちば,知馬,,"➡問牛知馬（もんぎゅうちば）
語義未詳。
★あるネット記事では誘導尋問のこと、無関係なことから聞き出し巧みに相手の隠している本意を聞き出すことと綴る。
★ことわざ「馬を問わんと欲してまず牛を問う（高価なもの、値の知らぬものを買うときは、身近なものの値段から、その店の懸値を知るのがよい）」と類諺同源の語と見える。
類：問羊知馬（もんようちば）
原文抜粋「鉤距者、設欲知馬賈、則先問狗、已問羊、又問牛、然後及馬。」",＊『漢書-趙広漢伝』
D0464,1,鷹視____,ようしろうほ,狼歩,,"➡鷹視狼歩（ようしろうほ）
貪欲で猛々しい、残忍な人物のたとえ。また、隙を与えない豪傑のたとえ。〈漢字ペディア〉
★鷹のように鋭い目つきと、狼の獲物を漁(ｱｻ)るような歩き方の意。",＊『呉越春秋-句践伐呉外伝』
D0465,1,____熱罵,れいちょうねつば,冷嘲,,"➡冷嘲熱罵（れいちょうねつば）
冷ややかに嘲り熱心に詰(ﾅｼﾞ)ること。〈漢検四字熟語辞典〉
★「嘲」は、あざける。
★「罵」は、ののしる。",＊『徳富蘇峰-時務一家言』
D0466,1,桑弧____,そうこほうし,蓬矢,,"➡桑弧蓬矢（そうこほうし）
男子が志を立てること。〈漢検四字熟語辞典〉
★昔、男児が生まれると桑の木で作った弓で、蓬(ﾖﾓｷﾞ)の矢を射て、将来四方に雄飛せんことを祝ったことから。
類：桑蓬之志（そうほうのこころざし）",＊『礼記-射義』
D0467,2,実践____,じっせんきゅうこう,躬行,,"➡実践躬行（じっせんきゅうこう）
自分自身の力で実際に進んで行動してみること。〈漢検四字熟語辞典〉
★「実践」は、実行すること。
★「躬行」は、自ら行うこと。
★口先だけでなく実行することが大切だという意。
類：率先垂範（そっせんすいはん）／類：率先励行（そっせんれいこう）／類：躬行実践（きゅうこうじっせん）／類：率先躬行（そっせんきゅうこう）",＊『最暗黒之東京』
D0468,2,雲烟____,うんえんひょうびょう,縹渺,"縹緲
縹眇","➡雲烟縹渺／雲煙縹渺／雲烟縹緲／雲煙縹緲／雲烟縹眇／雲煙縹眇（うんえんひょうびょう）
雲や霞が遠くたなびくさま。〈漢検四字熟語辞典〉
★「雲烟」は、雲と霞。
★「縹渺」は、遠くかすかなさま、ほのかに見えるさま、はるかに遠いさま。",＊『檀一雄-火宅の人』
D0469,2,余裕____,よゆうしゃくしゃく,綽綽,,"➡余裕綽綽（よゆうしゃくしゃく）
ゆったりと落ち着いて焦らないさま。〈漢検四字熟語辞典〉
★「余裕」は、ゆとりの意。
★「綽綽」は、ゆったりとしていること。
類：泰然自若（たいぜんじじゃく）",＊『孟子-公孫丑･下』
D0470,2,五臓____,ごぞうろっぷ,六腑,,"➡五臓六腑（ごぞうろっぷ）
からだの中すべて。また、心の中。〈漢検四字熟語辞典〉
★五つの臓（心･肺･脾･肝･腎）と、六つのはらわた（大腸･小腸･胃･胆･膀胱･三焦）の意。",＊『漢書-芸文志』
D0471,2,天真____,てんしんらんまん,爛漫,,"➡天真爛漫（てんしんらんまん）
純粋で無邪気なさま。自然のままの本性が言動に表れるさま。〈漢検四字熟語辞典〉
★「天真」は、天から与えられたままの本性。
★「爛漫」は、輝き表れるさま。
類：天衣無縫（てんいむほう）",＊『久米邦武-米欧回覧実記･一』
D0472,2,____三略,りくとうさんりゃく,六韜,,"➡六韜三略（りくとうさんりゃく）
中国の兵書「六韜」と「三略」の併称。転じて、兵法などの極意。奥の手。虎の巻。〈日本国語大辞典〉
★「六韜」は、周の太公望呂尚(ﾘｮｼｮｳ)の作とされ、文･武･竜･虎･豹･犬の六巻。韜は、剣袋･弓袋のことで兵法の奥義、戦略の意。
★「三略」は、前漢の功臣、張良に戦略を授けた黄石公(ｺｳｾｷｺｳ)の作とされ、上略･中略･下略の三巻。略は、はかりごと･計略の意。",＊『性霊集-三･与新羅道者化来詩』
D0473,2,好評____,こうひょうさくさく,嘖嘖,,"➡好評嘖嘖（こうひょうさくさく）
評判がよく、人々からほめそやされるさま。〈漢検四字熟語辞典〉
★「嘖嘖」は、口々に言いはやすさまをいう。
類：名声嘖嘖（めいせいさくさく）／類：名声赫赫（めいせいかくかく）",＊『菊池寛-話の屑籠』
D0474,2,桜花____,おうからんまん,爛漫,,"➡桜花爛漫（おうからんまん）
桜の花が見事に開き、満開になって咲き乱れているさま。〈漢検四字熟語辞典〉
★「爛漫」は、ここでは爛発の意で、花が見事に開く、咲き乱れること。",＊『太宰治-惜別』
D0475,2,非難____,ひなんごうごう,囂囂,,"➡非難囂囂（ひなんごうごう）
過失や欠点を責めとがめる声が多く大きいこと。〈漢検四字熟語辞典〉
★「囂囂」は、騒がしいこと。声の大きいこと。",＊『不明』
D0476,2,____丹田,せいかたんでん,臍下,,"➡臍下丹田（せいかたんでん）
へその三寸下あたりのところ。漢方医学ではここに力を集めると元気や勇気が湧いてくるという。〈漢検四字熟語辞典〉",＊『黄庭経･注』
