ID,難易度,問題,解答,別答,意味,同音異義語用
I0204,2,【ソウカイ】の一粟,滄海,,"👉そうかいのいちぞく。
広大なもののなかのきわめて微小なもののたとえ。また、大宇宙のなかの人間の存在のはかなさをいう。大海の一粟。〈漢字ペディア〉
★大海のなかの一粒の粟(ｱﾜ)の意から。
＊『蘇軾-前赤壁賦』",ソウカイ
I0205,2,【ソウカイ】変じて桑田と成る,滄海,,"👉そうかいへんじてそうでんとなる。
予測できないほど、世の中の移り変わりが激しいこと。また、時勢の大きな変遷のたとえ。〈漢字ペディア〉
★大海原(ｵｵｳﾅﾊﾞﾗ)が桑畑に変わってしまう意から。
＊『儲光羲-献八舅東帰詩』",ソウカイ
I0206,2,【ソクイン】の心は仁の端なり,惻隠,,"👉そくいんのこころはじんのたんなり。
人の不幸をあわれみいたむことは、仁のきざしである。〈漢字ペディア〉
★「惻隠」は、ある対象に同情、あわれみの心を抱くこと。
★「仁」は、儒教で最高の徳と説かれるもので、親愛の情を万人に及ぼすこと。
★「端」は、はじめ、いとぐち。
＊『孟子-公孫丑･上』",ソクイン
I0207,2,【ダイコウ】出でずんば蒼生を如何せん,乃公,"迺公
廼公","👉だいこういでずんばそうせいをいかんせん。
この自分が出馬して行動しなければ、世の人民はどうなるであろうか。世に出ようとする者の気負いを表す言葉。〈漢字ペディア〉
★「乃公･迺公」は、汝(ﾅﾝｼﾞ)の君主。転じて、目上の男子が目下の者に向かって、あるいはみずからを尊大にいうときの自称。
★「蒼生」は、人民の意。
＊『世説新語-排調』",ダイコウ
I0208,2,太鼓も【バチ】の当たりよう,撥,桴,"👉たいこもばちのあたりよう。
相手がどう応じてくるかは、こちらの出方しだいだというたとえ。〈漢字ペディア〉
★太鼓はばちの当て方ひとつで、音が大きくもなれば小さくもなることから。
＊『古今俚諺類聚』",バチ
I0209,2,玉を【テラ】いて石を賈る,衒,,"👉たまをてらいていしをうる。
表面はりっぱでも内実の劣っているもののたとえ。羊頭狗肉。〈漢字ペディア〉
★「衒」は、ひけらかすこと。また、売りこむこと。
★玉と偽って無価値の石ころを売りつける意から。
＊『唐書-柳渾伝』",テラ
I0210,2,民を貴しと為し【シャショク】之に次ぐ,社稷,,"👉たみをたっとしとなししゃしょくこれにつぐ。
人民が国家の根本で最も大切であり、国家のことはこれに次ぐものであるということ。〈漢字ペディア〉
★「社稷」は、国家の意。
＊『孟子-尽心･下』",シャショク
I0211,2,【チクハク】の功,竹帛,,"👉ちくはくのこう。
歴史に名を残すような功績のこと。〈漢字ペディア〉
＊『漢書』",チクハク
I0212,2,【チチュ】が網を張りて鳳凰を待つ,蜘蛛,,"👉ちちゅがあみをはりてほうおうをまつ。
力のないものが強大なものに立ち向かう。はかない抵抗のたとえ。到底太刀打ちできないことのたとえ。蟷螂が斧を以て隆車に向かう。〈漢字ペディア〉
＊『曽我物語-八･屋形まわりの事』",チチュ
I0213,2,朝菌は【カイサク】を知らず,晦朔,,"👉ちょうきんはかいさくをしらず。
短命であることのたとえ。また、いのちのはかないことのたとえ。〈漢字ペディア〉
★朝生えて夕方には枯れてしまうキノコ(朝菌)は、ひと月の晦(ﾐｿｶ)も、朔(ﾂｲﾀﾁ)も知らないという意から。
＊『荘子-逍遙遊』",カイサク
I0214,2,爪で拾って【ミ】で零す,箕,,"👉つめでひろってみでこぼす。
苦労して少しずつ蓄えたものを、あっという間に使い果たしてしまうこと。〈漢字ペディア〉
★「箕」は、穀物の殻･ごみなどをふるって取り除くために使われる、竹で編んだ農具。
★爪の先で拾い集めて蓄えたものを、箕で一気にこぼしてしまう意から。
＊『諺苑』",ミ
I0215,2,【テイガク】の情,棣鄂,,"👉ていがくのじょう。
仲むつまじい兄弟の情愛。〈漢字ペディア〉
★「棣鄂」は、ニワウメの花。兄弟にたとえる。
＊『詩経-小雅･常棣』",テイガク
I0216,2,【テイヨウ】藩に触る,羝羊,,"👉ていようまがきにふる。
見さかいなく突進して、うまくいかずに進退きわまることのたとえ。〈漢字ペディア〉
★「藩」は、垣根の意。
★「羝羊」は、牡羊。
★雄のヒツジがまがきに突っこんで、角が引っかかって動けなくなるという意から。
＊『易経-大壮卦』",テイヨウ
I0217,2,出る船の【トモヅナ】を引く,纜,,"👉でるふねのともづなをひく。
思い切りが悪く、未練たらしいことをするたとえ。〈漢字ペディア〉
★「纜」は、船をつなぎ止めるための綱。
＊『諺語大辞典』",トモヅナ
I0218,2,【テンダイ】の筆,椽大,,"👉てんだいのふで。
堂々としたりっぱな文章のたとえ。〈漢字ペディア〉
★「椽」は、垂木(ﾀﾙｷ)のこと。
★垂木のように太く大きな筆の意から。
＊『晉書-王珣伝』",テンダイ
I0219,2,【テン】なき森の鼬,貂,黄鼬,"👉てんなきもりのいたち。
権力者がいない所では、つまらない人間が幅をきかせるたとえ。〈漢字ペディア〉
★テンのいない森では、イタチが身勝手な振る舞いをする意から。
＊『随筆･愚雑俎-四』",テン
I0220,2,【トウソ】魚肉の際,刀俎,,"👉とうそぎょにくのさい。
＝俎上の肉
他人に運命がすべて握られ、身動きがとれない状態のたとえ。〈漢字ペディア〉
＊『史記-項羽本紀』",トウソ
I0221,2,桃李言わざれども、下自ら【ケイ】を成す,蹊,,"👉とうりいわざれども、したおのずからけいをなす。
人徳のある人には、自然と人々が慕って集まるというたとえ。〈漢字ペディア〉
★モモの木やスモモの木は何も言わないが、その花を見ようとして人が集まり、自然に道ができるということ。
＊『史記-李将軍伝･賛』",ケイ
I0222,2,【ドバ】も十駕,駑馬,,"👉どばもじゅうが。
才能に恵まれない者でも、たゆまぬ努力を続ければ、すぐれた者に追いつくことができるということ。〈漢字ペディア〉
★「十駕」は、一〇日間続けてウマを走らせること。
★あしの遅いウマでも一〇日走れば、名馬の一日分に追いつくことができる意から。
＊『荀子』",ドバ
I0223,2,鳥なき里の【コウモリ】,蝙蝠,,"👉とりなきさとのこうもり。
すぐれた人のいないところでは、つまらぬ者が我が物顔に振る舞うことのたとえ。〈漢字ペディア〉
★コウモリは、鳥がいない場所では鳥のような顔で飛び回る意から。
＊『黄表紙･玉磨青砥銭』",コウモリ
I0224,2,吞舟の魚も水を失えば則ち【ロウギ】に制せらる,螻蟻,,"👉どんしゅうのうおもみずをうしなえばすなわちろうぎにせいせらる。
大人物も、才能にふさわしい地位や役職を与えられなければ、その能力を存分に発揮できず、つまらぬ者に苦しめられることになるというたとえ。〈漢字ペディア〉
★「螻蟻」は、ケラとアリのことで、小人物のたとえ。
★舟をのみこむほどの大魚でも、水から離れると、虫けらにもかなわないという意から。
＊『荘子-庚桑楚』",ロウギ
I0225,2,【ナマリ】は国の手形,訛,譌,"👉なまりはくにのてがた。
話す言葉のなまりで、その人の故郷がわかるということ。〈漢字ペディア〉
＊『咄本･新噺庚申講-一･鉄きせる』",ナマリ
I0226,2,【ナンカ】の夢,南柯,,"👉なんかのゆめ。
人生のはかないことのたとえ。〈漢字ペディア〉
★「南柯」は、南にさし出した枝。
★唐の淳于棼(ｼﾞｭﾝｳﾌﾝ)が酔って邸内の槐(ｴﾝｼﾞｭ)の下で眠り、大槐安(ﾀﾞｲｶｲｱﾝ)国に行って国王の娘を娶り南柯郡の長官に封ぜられて二〇年を過ごした夢を見る。目がさめて槐の木の下を見ると蟻の穴が二つあり、その一つには大蟻が王としてすみ、他の一つは南に向いた枝に通じていたという故事による。
＊『李公佐-南柯記』",ナンカ
I0227,2,白璧の【ビカ】,微瑕,,"👉はくへきのびか。
すぐれたものにわずかな欠点のあるたとえ。完全無欠でないことのたとえ。〈漢字ペディア〉
★白い輪になった玉(ｷﾞｮｸ)に、ほんのわずかのきずがある意から。
＊『陶淵明集序』",ビカ
I0228,2,白駒の【ゲキ】を過ぐるが若し,郤,隙,"👉はっくのげきをすぐるがごとし。
年月がたつのが驚くほど早いことのたとえ。光陰矢の如し。〈漢字ペディア〉
★人間の一生は、白馬が走りすぎるのをわずかな隙間(ｽｷﾏ)から一瞬見るようなものだという意から。
＊『荘子-知北遊』",ゲキ
I0229,2,鳩に三枝の礼あり烏に【ハンポ】の孝あり,反哺,,"👉はとにさんしのれいありからすにはんぽのこうあり。
親に対して礼儀と孝行を尽くすこと。〈漢字ペディア〉
★「反哺」は、食物を口移しに食べさせる意。
★ハトは親と同じ木に止まるときに三本下の枝にとまり、カラスは育ててくれた親の恩に報いるために、えさを運んで口移しにして老いた親に食べさせて養う意。
＊『慈元抄-下』",ハンポ
I0230,2,比丘尼に【コウガイ】,筓,笄,"👉びくににこうがい。
必要のないことや不似合いなことのたとえ。〈漢字ペディア〉
★「筓」は、女性の髪を整えるのに使う道具。また、日本髪にさす飾り。
＊『俚言集覧』",コウガイ
I0231,2,人と【ビョウブ】は直には立たず,屏風,屛風,"👉ひととびょうぶはすぐにはたたず。
屛風が折り曲げないと立たないように、人も他人とほどほどに妥協しなければ、世渡りができないという教え。〈漢字ペディア〉
＊『尾張俗諺-他邦通諺』",ビョウブ
I0232,2,人の【センキ】を頭痛に病む,疝気,疝,"👉ひとのせんきをずつうにやむ。
人の腹痛を心配して自分が頭痛する意から、関係のないことに余計な心配をすること。〈漢字ペディア〉
★「疝気」は、腹痛や腰痛のこと。
＊『洒落本･桜河微言-跋』",センキ
I0233,2,【ヒニク】の嘆,髀肉,脾肉,"👉ひにくのたん。
実力を発揮し、手柄を立てる機会がないことを嘆くたとえ。〈漢字ペディア〉
★「髀肉･脾肉」は、ももの肉。
★中国、三国時代、蜀(ｼｮｸ)の劉備(ﾘｭｳﾋﾞ)が長い間戦いがなかったためウマに乗る機会がなく、股(ﾓﾓ)の部分の肉が肥えてしまったことを嘆いた故事から。
＊『三国志-蜀書･先主伝･注』",ヒニク
I0234,2,【フザン】の夢,巫山,,"👉ふざんのゆめ。
男女の情交のこと。〈漢字ペディア〉
★国、楚(ｿ)の懐王(ｶｲｵｳ)が巫山に近い高殿で遊び、夢のなかで、朝には雲となり夕には雨となる巫山の神女と情を交わしたという故事から。
＊『宋玉-高唐賦』",フザン
I0235,2,兵は【キドウ】なり,詭道,,"👉へいはきどうなり。
戦争はただ敵に勝てばよいので、相手をあざむく方法にほかならない。〈漢字ペディア〉
★「兵」は、戦争の意。
★「詭」は、いつわる意。
＊『孫子-始計』",キドウ
I0236,2,平地に【ハラン】を起こす,波瀾,,"👉へいちにはらんをおこす。
物事が平穏無事にいっているところに、あえてもめごとや騒ぎを起こすこと。〈漢字ペディア〉
＊『劉禹錫-竹枝詞』",ハラン
I0237,2,目は【ゴウモウ】を見るも睫を見ず,毫毛,,"👉めはごうもうをみるもまつげをみず。
他人の欠点は小さなことまで気がつくが、自分の欠点には気がつかないたとえ。〈漢字ペディア〉
★「毫毛」は、細かい毛の意。
★目は細い毛まで見ることができるが、自分のまつげを見ることはできない意から。
＊『史記』",ゴウモウ
I0238,2,【ヤスリ】と薬の飲み違い,鑢,,"👉やすりとくすりののみちがい。
一見すると似ているが、実際はまったく異なることのたとえ。また、十分に聞いたり確かめたりせずにわかったつもりになること、早合点することのたとえ。〈漢字ペディア〉
★「や(八)すり」と「く(九)すり」と数を並べた語呂合わせ。
＊不明",ヤスリ
I0239,2,病【コウコウ】に入る,膏肓,,"👉やまいこうこうにいる。
1.病気が重くなり、治る見込みがなくなること。
2.趣味や道楽におぼれて抜け出せなくなるたとえ。〈漢字ペディア〉
★「膏」「肓」は、内臓の深奥部の名で、薬も鍼(ﾊﾘ)も届かない箇所。
＊『春秋左伝-成公一〇年』",コウコウ
I0240,2,用ある時の地蔵顔、用なき時の【エンマ】顔,閻魔,,"👉ようあるときのじぞうがお、ようなきときのえんまがお。
人に物事を頼むときは笑顔をつくり、用事がないときは不愛想な顔でいること。人間の勝手なことをいう。〈漢字ペディア〉
＊『北条氏直時分諺留』",エンマ
I0241,2,【ランジャ】の室に入る者は自ら香ばし,蘭麝,,"👉らんじゃのしつにいるものはおのずからこうばし。
よい環境にいてよい友人と交われば、自然に感化されて自分の身も正しくなるということのたとえ。〈漢字ペディア〉
★よい香りのする部屋に入る者は、自然によい香りが身につくという意から。
＊『浄瑠璃･前太平記古跡鑑-五』",ランジャ
I0242,2,【リギュウ】の喩え,犂牛,,"👉りぎゅうのたとえ。
どんな家柄に生まれようと、本人がすぐれた才能をもっていさえすれば、必ず世に用いられるという教え。〈漢字ペディア〉
★「犂牛」は、まだら牛。農耕用の役牛で、祭りの生贄に供する赤毛の牛より劣るとされる。
＊『論語-雍也』",リギュウ
I0243,2,【リュウジョ】の才,柳絮,,"👉りゅうじょのさい。
非凡な才女。また、文才のある女性。才媛(ｻｲｴﾝ)。〈漢字ペディア〉
★中国、晋(ｼﾝ)の謝安(ｼｬｱﾝ)が降る雪を見て、甥(ｵｲ)と姪(ﾒｲ)にこれを何にたとえるかと尋ねた。甥は「塩を空中にまいたようだ」と答えたのに対して、姪は「柳絮が風に舞い散るようだ」と答え、謝安を大いに感心させたという故事から。
＊『晉書-烈女伝･王凝氏妻謝氏』",リュウジョ
I0244,2,【リョウゲン】の火,燎原,,"👉りょうげんのひ。
物事が非常な勢いで広がり、とどめることのできないたとえ。〈漢字ペディア〉
★野原を焼く火の意から。
＊『伊藤特派全権大使復命書附属書類-天津談判･四』",リョウゲン
I0245,2,【リンゲン】汗の如し,綸言,,"👉りんげんあせのごとし。
汗は体から出ると二度と戻せないように、一度君主の口から発せられた言葉は、取り消すことができないということ。〈漢字ペディア〉
＊『漢書』",リンゲン
I0246,2,老牛犢を【ネブ】る,舐,,"👉ろうぎゅうとくをねぶる。
親が子どもを深く愛することのたとえ。〈漢字ペディア〉
★「犢」は、子牛の意。
★「舐る」は、なめまわすの意。
＊『後漢書-楊彪伝』",ネブ
I0247,2,【ロウ】を得て蜀を望む,隴,,"👉ろうをえてしょくをのぞむ。
人の欲望には限りがないたとえ。〈漢字ペディア〉
＊『後漢書-岑彭伝』",ロウ
I0248,2,隴を得て【ショク】を望む,蜀,,"👉ろうをえてしょくをのぞむ。
人の欲望には限りがないたとえ。〈漢字ペディア〉
＊『後漢書-岑彭伝』",ショク
I0249,2,【ロカイ】の立たぬ海もなし,櫓櫂,艪櫂,"👉ろかいのたたぬうみもなし。
どのような困難においても、なんらかの方策はあることのたとえ。〈漢字ペディア〉
＊『浄瑠璃･忠臣青砥刀-上』",ロカイ
I0250,2,暁知らずの【ヨイマクラ】,宵枕,,"👉あかつきしらずのよいまくら。
宵ははやくから床につき、朝は遅くまで寝ていること。〈新明解故事ことわざ辞典〉
＊『譬喩尽-六』",ヨイマクラ
I0251,2,飽かぬは君の【ゴジョウ】,御諚,,"👉あかぬはきみのごじょう。
主君の命令であれば、どんな無理なことでも嫌だとは思わないということ。〈新明解故事ことわざ辞典〉
★「御諚」は、主君の命令。
＊『幸若･鎌田』",ゴジョウ
I0252,2,【オトガイ】の雫,頤,,"👉おとがいのしずく。
手近にありながら思うようにならないこと。顎(ｱｷﾞﾄ)の雫(ｼｽﾞｸ)、口に入らぬ。〈新明解故事ことわざ辞典〉
★「頤」は、下あご。
★涎でおわるだけという意。
＊『浄瑠璃･娥歌かるた-一』",オトガイ
I0253,2,商いは牛の【ヨダレ】,涎,,"👉あきないはうしのよだれ。
商売は気長に辛抱強く続けよということ。〈新明解故事ことわざ辞典〉
★牛のよだれが、細く長く垂れ続けることからいう。
＊『浮世草子･日本新永代蔵-二･三』",ヨダレ
I0254,2,商人の子は【ソロバン】の音で目をさます,算盤,十露盤,"👉しょうにんのこはそろばんのおとでめをさます。
人の習性が、生活環境の影響を受けることのたとえ。〈新明解故事ことわざ辞典〉
★商人の子どもは金銭感情や損得に敏感になり、算盤の音がすると目をさます意から。
＊『諺語大辞典』",ソロバン
I0255,2,【アザミ】の花も一盛り,薊,,"👉あざみのはなもひとさかり。
器量のあまりよくない女性でも、年頃になると魅力が出てくるということ。蕎麦の花も一盛り。鬼も十八。〈新明解故事ことわざ辞典〉
★あまり美しくない薊の花でも、美しい時がある意から。
＊『日本俚諺大全』",アザミ
I0256,2,普天の下、【ソット】の浜,率土,,"👉ふてんのもと、そっとのひん。
全世界のこと。空がおおっているすべて、地の続くかぎり。〈漢字ペディア〉
＊『詩経-小雅･北山』",ソット
I0257,2,【スウジョウ】に詢る,芻蕘,蒭蕘,"👉すうじょうにはかる。
物事は全ての人に相談するがよい。下層の人の声も聞くがよい。〈中国古典名言事典〉
★「芻」は、草を刈る人。
★「蕘」は、薪(ﾀｷｷﾞ)をとる人。
＊『詩経-大雅･板』",スウジョウ
I0258,2,口で【ケナ】して心で褒める,貶,,"👉くちでけなしてこころでほめる。
口では悪く言っているが、心の中では愛情を持って見守っていること。〈新明解故事ことわざ辞典〉
＊『日本俚諺大全』",ケナ
I0259,2,好きの道には【コモ】被る,菰,薦,"👉すきのみちにはこもかぶる。
好きな道にあまりのめり込むと、ついには破産して乞食の境涯に落ち込んでしまうことになる。また、好きな道のためにはそのような境涯になってもかまわない。〈故事俗信ことわざ大辞典〉
★「薦かぶる」は、乞食になる。
＊『日本俚諺大全』",コモ
I0260,2,因果が【ツクバ】う,蹲,,"👉いんががつくばう。
不運な境遇になることが避けられない。〈故事俗信ことわざ大辞典〉
★前世での悪行の報いがうずくまってちゃんと待ちかまえている意から。
＊『虎明本狂言･武悪』",ツクバ
I0261,2,善言は【フハク】よりも暖かなり,布帛,,"👉ぜんげんはふはくよりもあたたかなり。
言葉には、人の心をあたためる大きな力があることのたとえ。〈新明解故事ことわざ辞典〉
★「布帛」は、木綿と絹、織物の意。
★良い言葉は、身につける衣類よりも暖かい意から。
＊『荀子-栄辱』",フハク
I0262,2,【ウソ】の雄は晴れを呼び雌は雨を呼ぶ,鷽,,"👉うそのおすははれをよびめすはあめをよぶ。
その鳴き声で晴雨を判断する。〈故事俗信ことわざ大辞典〉
＊『諺語大辞典』",ウソ
I0263,2,【シュウレン】の臣あらんよりは寧ろ盗臣あれ,聚斂,,"👉しゅうれんのしんあらんよりはむしろとうしんあれ。
重税を取り立てて、人民の反感･反抗を招く臣よりも、公の財産を盗んで私腹をこやす臣の方がましである。政治の根本は財貨よりも民心を得ることにあることをいう。〈大辞林〉
＊『礼記-大学』",シュウレン
I0264,2,【スッポン】が時をつくる,鼈,,"👉すっぽんがときをつくる。
すっぽんが時を告げる。あるはずがないことのたとえ。〈大辞泉〉
＊『俳諧･七番日記-文化一五年-三月』",スッポン
I0265,2,【タイカ】の材は一丘の木に非ず,大廈,大厦,"👉たいかのざいはいっきゅうのきにあらず。
天下に平和をもたらすことは大勢の人の力によるもので、決して少数の力ではできないということ。〈漢字ペディア〉
★大きな建物を造るときの材木は、一つの丘の木だけではとても足りない意から。
＊『王褒-四子講徳論』",タイカ
I0266,2,【スイキョウ】して天下治まる,垂拱,,"👉すいきょうしててんかおさまる。
天子の徳がいきわたって、手をこまぬいて何もしなくても天下が平穏無事に収まること。古代中国の理想的な状態。〈新明解故事ことわざ辞典〉
★「垂拱」は、衣裳の袖を垂れ、手をこまぬいて何もしないこと。
＊『書経-武成』",スイキョウ
I0267,2,捨て【バシ】を突く,嘴,觜,"👉すてばしをつく。
追いつめられた弱い鳥でも反撃してかえって相手を傷つける。〈故事俗信ことわざ大辞典〉
★。「捨て嘴」は、捕らえられた鳥がくちばしではむかうこと。
＊『日葡辞書』",バシ
I0268,2,【ウジムシ】も一代,蛆虫,,"👉うじむしもいちだい。
どんな生き方をしても、一生は一生だということ。〈新明解故事ことわざ辞典〉
＊『俚言集覧』",ウジムシ
I0269,2,【ケラ】腹立つれば鶫喜ぶ,螻蛄,螻,"👉けらはらたつればつぐみよろこぶ。
一方が怒れば他方が喜ぶというように、両者の利害が反することのたとえ。〈日本国語大辞典〉
★ツグミを捕えるのに、ケラを餌として繫いで置くところからいう。
＊『名語記-五』",ケラ
I0270,2,【イチモツ】の鷹も放さねば捕らず,逸物,,"👉いちもつのたかもはなさねばとらず。
どんなにすぐれたものでも、実際に活用しなければ何の役にも立たないということのたとえ。〈漢字ペディア〉
★「逸物」は、とくにすぐれた存在の意。
★すぐれたタカでも、放たなければ獲物を捕らないという意から。
＊『俳諧･毛吹草-二』",イチモツ
I0271,2,河童に塩を【アツラ】える,誂,,"👉かっぱにしおをあつらえる。
見当はずれの注文をするたとえ。〈漢字ペディア〉
★海でとれる塩を川にすむかっぱに注文する意から。
＊『俚言集覧』",アツラ
I0272,2,君子は言に【トツ】なれども行いに敏ならんと欲す,訥,,"👉くんしはげんにとつなれどもおこないにびんならんとほっす。
君子は口べたであっても行動のうえでは素早くありたいと思うものである。〈漢字ペディア〉
＊『論語-里仁』",トツ
I0273,2,【ジンコウ】も焚かず屁もひらず,沈香,線香,"👉じんこうもたかずへもひらず。
可もなく不可もなく平々凡々であることのたとえ。〈漢字ペディア〉
★香をたいて良い香りを出すのでもなく、臭いおならをするのでもないという意から。
＊『尾張俗諺-京師通諺』",ジンコウ
I0274,2,積悪の家には必ず【ヨオウ】有り,余殃,,"👉せきあくのいえにはかならずよおうあり。
悪事を重ねて来た家には、必ず子孫に災いが及んでくるということ。〈漢字ペディア〉
★「殃」は、わざわい、災難の意。
＊『三代実録-貞観八年･九月二二日』",ヨオウ
I0275,2,【センダン】は双葉より芳し,栴檀,,"👉せんだんはふたばよりかんばし。
将来大成する人は、幼いときからすぐれた素質を現すたとえ。〈漢字ペディア〉
★栴檀はビャクダンのことで香木として知られる。ビャクダンは芽が出たころから芳香を放つことから。
＊『平家-一･殿下乗合』",センダン
I0276,2,【タイカ】の顚るや、一木の支うる所に非ず,大廈,大厦,"👉たいかのくつがえるや、いちぼくのささうるところにあらず。
国が滅びかかっているときは、一人の力ではいかんともしがたいたとえ。〈漢字ペディア〉
★「大廈･大厦」は、大きな家屋の意。
★大きな家が倒れかかったときには、一本の支柱だけで支えられるものではない意から。
＊『文中子-事君』",タイカ
I0277,2,【タイカン】は忠に似たり,大姦,大奸,"👉たいかんはちゅうににたり。
大悪人は、自分の本性を隠したくみに振る舞うので、いかにも忠臣のように見えるということ。〈漢字ペディア〉
★「大姦」は、人道にはずれた、非常に悪いこと。また、そのようなことをする人。
＊『宋史-呂誨伝』",タイカン
I0278,2,鶍の【ハシ】,嘴,觜,"👉いすかのはし。
物事がくいちがって、思いどおりにならないたとえ。〈漢字ペディア〉
★鶍は、嘴(ｸﾁﾊﾞｼ)が上下湾曲していて、ぴったり合わないことから。
＊『寛永刊本蒙求抄-七』",ハシ
I0279,2,田鼠化して【ウズラ】となる,鶉,,"👉でんそかしてうずらとなる。
陰暦三月のこと。ウズラが麦畑などでしきりに鳴くのどかな春の季節感を表した言葉。〈漢字ペディア〉
★「田鼠」は、モグラの異名。
★モグラがウズラになるという中国古代の民間伝承から。
＊『礼記-月令』",ウズラ
I0280,2,【トタン】の苦しみ,塗炭,,"👉とたんのくるしみ。
非常な苦しみ、苦痛のたとえ。〈漢字ペディア〉
★「塗」は、どろの意。
★「炭」は、すみ火の意。
★どろにまみれ、すみ火に焼かれる苦しみの意から。
＊『淡窓詩話-上』",トタン
I0281,2,【ハイカン】を摧く,肺肝,,"👉はいかんをくだく。
心を尽くして考え抜くこと。なみなみならぬ苦心をすること。〈漢字ペディア〉
★古くは肺や肝臓に心があって、物事を考えるとされていたことから。
＊『杜甫-垂老別詩』",ハイカン
I0282,2,百尺【カントウ】一歩を進む,竿頭,,"👉ひゃくせきかんとういっぽをすすむ。
ある目的や目標に到達しても、それに満足することもなく、さらなる向上をめざし努力することのたとえ。〈漢字ペディア〉
★百尺もある竿(ｻｵ)の先にいて、さらにもう一歩を進める意から。
＊『景徳伝燈録-一〇』",カントウ
I0283,2,百年【カセイ】を俟つ,河清,,"👉ひゃくせんかせいをまつ。
どんなに待ち望んでも、けっして実現しないことのたとえ。また、あてにできないことを期待するたとえ。〈漢字ペディア〉
★中国、黄河の水は常に黄土で濁っていて、百年たっても澄むことはないことから。
＊『』",カセイ
I0284,2,布施ない経に【ケサ】落とす,袈裟,,"👉ふせないきょうにけさおとす。
報酬が少ないと、手抜きをするたとえ。布施ない経は読まぬ。〈漢字ペディア〉
★僧は、布施がないときは略式にして、経を読むのに袈裟を掛けない意から。
＊『虎明本狂言･布施無経』",ケサ
I0285,2,【ブンボウ】牛羊を走らす,蚊虻,,"👉ぶんぼうぎゅうようをはしらす。
弱小なものが強大なものを制すること。また、ささいなことが原因で大事件や災害を引き起こすこと。〈漢字ペディア〉
★カやアブのような小虫でも多数集まって血を吸うと、それを嫌って大きなウシやヒツジも逃げる意から。
＊『説苑-説叢』",ブンボウ
I0286,2,【ブンボウ】の労,蚊虻,,"👉ぶんぼうのろう。
取るに足りない技能のたとえ。〈漢字ペディア〉
＊『荘子-天下』",ブンボウ
I0287,2,焼け野の【キギス】夜の鶴,雉,雉子,"👉やけののきぎすよるのつる。
親が子を思う愛情の深さのたとえ。〈漢字ペディア〉
★「きぎす」は、キジの古い言い方。
★キジは、巣のある野が焼かれると、子を守るために巣にもどり、ツルは、霜や雪の夜は、寒さから子を守るために、羽を広げたままで過ごすことから。
＊『謡曲･丹後物狂』",キギス
I0288,2,【リョウウン】の志,凌雲,陵雲,"👉りょううんのこころざし。
俗世間を高く超越したいと願う高い志。また、志気盛んに大いに立身出世しようとする志。〈漢字ペディア〉
＊『漢書-楊雄伝』",リョウウン
I0289,2,【リョウジョウ】の君子,梁上,,"👉りょうじょうのくんし。
盗賊･どろぼうのこと。転じて、ネズミの別称。〈漢字ペディア〉
★「梁」は、天井の上に横に渡して棟(ﾑﾈ)を支える木。
★中国、後漢の陳寔(ﾁﾝｼｮｸ)が梁(ﾊﾘ)の上にひそんでいる泥棒を見て、悪い習慣が身につくとあの梁の上の君子のようになるのだと子どもに言ってきかせたという故事による。
＊『後漢書-陳寔伝』",リョウジョウ
I0290,2,【ロギョ】の誤り,魯魚,,"👉ろぎょのあやまり。
文字の書き誤り。〈漢字ペディア〉
★「魯」と「魚」は、字形が似ていて、書きまちがいやすいことから。
＊『世俗俚言集』",ロギョ
I0291,2,当たる罰は【コモ】着ても当たる,薦,菰,"👉あたるばちはこもきてもあたる。
悪いことをすれば、薦(ｺﾓ)をかぶって罰を逃れようとしても、神様は見逃さないという戒め。〈新明解故事ことわざ辞典〉
＊不明",コモ
I0292,2,【アツウン】の曲,遏雲,,"👉あつうんのきょく。
空を流れていく雲を止めるほどの、すばらしい音楽。また、美しい歌声のこと。〈新明解故事ことわざ辞典〉
★「遏」は、さえぎり止めること。
＊『列子-湯問』",アツウン
I0293,2,新たに【モク】する者は必ず冠を弾く,沐,,"👉あらたにもくするものはかならずかんむりをはじく。
清潔な人ほど、不正を遠ざけようとするものだということ。〈漢字ペディア〉
★「沐する」は、髪を洗う意。
★「弾く」は、指などではねのける意。
★髪を洗ったばかりの人は、冠の汚れを手で払ってからかぶる意から。
＊『楚辞-漁父辞』",モク
I0294,2,大山も【ギケツ】より崩る,蟻穴,,"👉たいざんもぎけつよりくずる。
小さなことでも油断しておろそかにしていると、とりかえしのつかない大きな失敗を招く恐れがあること、ちょっとした油断や失敗が大きな危難を招くことのたとえ。〈故事俗信ことわざ大辞典〉
★どんな大きな山でも、蟻の小さな穴からしだいしだいにくずれていく意。
＊『浮世草子･五箇の津余情男-一･一』",ギケツ
I0295,2,【アンエイ】の狐裘,晏嬰,,"👉あんえいのこきゅう。
倹約に務めて職務に励むことのたとえ。一狐裘三十年。〈新明解故事ことわざ辞典〉
★「晏嬰」は、晏子。春秋時代の斉の名宰相。
★「狐裘」は、狐の脇の下の白い毛で作った高価なかわごろも。
★中国春秋時代、斉の名宰相晏嬰が質素倹約につとめ、高価なものではあるがたった一枚の狐裘を三十年間着続けて、国を治めることに励んだという故事による。
＊『礼記-檀弓･下』",アンエイ
